Net Demand 04/24/2022undefined,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour-ahead forecast,20816,20651,20651,20651,20420,20420,20420,20259,20259,20259,19983,19983,19983,19815,19815,19815,19623,19623,19623,19336,19336,19336,19185,19185,19185,19059,19059,19059,18919,18919,18919,18859,18859,18859,18807,18807,18807,18742,18742,18742,18636,18636,18636,18592,18592,18592,18583,18583,18583,18557,18557,18557,18559,18559,18559,18569,18569,18569,18701,18701,18701,18851,18851,18851,18866,18866,18866,18917,18917,18917,19041,19041,19041,19010,19010,19010,18754,18754,18754,18577,18577,18577,18605,18605,18605,18506,18506,18506,18237,18237,18237,18013,18013,18013,17878,17878,17878,17743,17743,17743,17310,17310,17310,17099,17099,17099,16807,16807,16807,16682,16682,16682,16448,16448,16448,16232,16232,16232,16022,16022,16022,15887,15887,15887,15699,15699,15699,15626,15626,15626,15487,15487,15487,15327,15327,15327,15228,15228,15228,15078,15078,15078,15087,15087,15087,15107,15107,15107,15073,15073,15073,15114,15114,15114,15162,15162,15162,15311,15311,15311,15491,15491,15491,15648,15648,15648,15631,15631,15631,15892,15892,15892,16173,16173,16173,16494,16494,16494,16807,16807,16807,17153,17153,17153,17432,17432,17432,17745,17745,17745,18173,18173,18173,18733,18733,18733,19158,19158,19158,19761,19761,19761,20319,20319,20319,20940,20940,20940,21564,21564,21564,22063,22063,22063,22600,22600,22600,23145,23145,23145,23624,23624,23624,24025,24025,24025,24286,24286,24286,24681,24681,24681,24983,24983,24983,25347,25347,25347,25557,25557,25557,25671,25671,25671,25496,25496,25496,25268,25268,25268,25093,25093,25093,24909,24909,24909,24818,24818,24818,24493,24493,24493,24087,24087,24087,23615,23615,23615,23295,23295,23295,22779,22779,22779,22344,22344,22344,21926,21926,21926,21600,21600,21600,21226,21226,21226,20968,20968,20968
Demand,20850,20786,20780,20742,20714,20661,20514,20435,20384,20298,20236,20175,20090,20021,19952,19817,19746,19671,19614,19527,19448,19422,19350,19295,19273,19230,19193,19140,19152,19107,19075,19040,19001,18959,18907,18889,18857,18845,18801,18776,18727,18728,18692,18672,18645,18623,18613,18602,18585,18614,18576,18624,18631,18603,18595,18611,18659,18740,18724,18725,18759,18784,18822,18850,18878,18890,18890,18919,18957,18980,19005,19040,19055,19103,19102,19030,18949,18884,18840,18780,18733,18680,18612,18580,18558,18490,18509,18465,18419,18379,18274,18209,18140,18077,18064,17991,17917,17844,17728,17683,17643,17587,17475,17361,17252,17205,17109,17004,16962,16878,16936,16921,16835,16749,16615,16533,16456,16342,16309,16197,16097,16000,15930,15881,15864,15818,15755,15676,15611,15509,15435,15389,15355,15319,15278,15249,15210,15114,15108,15011,14917,14911,14967,15059,15022,14974,14920,14944,14905,14898,14889,14917,14924,14941,14985,14990,15013,15139,15187,15208,15196,15236,15278,15308,15356,15380,15441,15509,15553,15601,15734,15816,15909,15986,16038,16156,16254,16353,16438,16519,16572,16639,16729,16850,16957,17108,17223,17381,17526,17692,17859,18013,18146,18255,18370,18551,18742,18911,19116,19290,19474,19683,19920,20115,20280,20438,20644,20809,21013,21219,21428,21634,21837,22064,22242,22424,22599,22686,22906,23175,23330,23515,23670,23777,23916,24012,24099,24229,24291,24431,24460,24586,24652,24790,24905,25014,25155,25289,25391,25497,25564,25578,25557,25495,25559,25537,25492,25437,25374,25300,25248,25162,25074,25156,25201,25138,25084,24996,24898,24779,24665,24521,24349,24216,24080,23943,23824,23684,23489,23350,23197,23067,22919,22770,22650,22501,22381,22244,22060,21885,21783,21657,21549,21383,21259,21148,21053,20953,20865
Day-ahead net forecast,18578,17558,17558,17558,17558,17558,17558,17558,17558,17558,17558,17558,17558,16855,16855,16855,16855,16855,16855,16855,16855,16855,16855,16855,16855,16550,16550,16550,16550,16550,16550,16550,16550,16550,16550,16550,16550,16460,16460,16460,16460,16460,16460,16460,16460,16460,16460,16460,16460,16542,16542,16542,16542,16542,16542,16542,16542,16542,16542,16542,16542,17011,17011,17011,17011,17011,17011,17011,17011,17011,17011,17011,17011,16234,16234,16234,16234,16234,16234,16234,16234,16234,16234,16234,16234,9572,9572,9572,9572,9572,9572,9572,9572,9572,9572,9572,9572,3476,3476,3476,3476,3476,3476,3476,3476,3476,3476,3476,3476,852,852,852,852,852,852,852,852,852,852,852,852,-470,-470,-470,-470,-470,-470,-470,-470,-470,-470,-470,-470,-920,-920,-920,-920,-920,-920,-920,-920,-920,-920,-920,-920,-867,-867,-867,-867,-867,-867,-867,-867,-867,-867,-867,-867,-539,-539,-539,-539,-539,-539,-539,-539,-539,-539,-539,-539,433,433,433,433,433,433,433,433,433,433,433,433,2371,2371,2371,2371,2371,2371,2371,2371,2371,2371,2371,2371,5346,5346,5346,5346,5346,5346,5346,5346,5346,5346,5346,5346,10220,10220,10220,10220,10220,10220,10220,10220,10220,10220,10220,10220,18436,18436,18436,18436,18436,18436,18436,18436,18436,18436,18436,18436,22843,22843,22843,22843,22843,22843,22843,22843,22843,22843,22843,22843,23445,23445,23445,23445,23445,23445,23445,23445,23445,23445,23445,23445,22436,22436,22436,22436,22436,22436,22436,22436,22436,22436,22436,22436,20744,20744,20744,20744,20744,20744,20744,20744,20744,20744,20744,20744,19225,19225,19225,19225,19225,19225,19225,19225,19225,19225,19225,19225
Demand response event,Net demand,18254,18119,18090,18033,18019,18012,17869,17794,17788,17739,17685,17657,17617,17544,17517,17393,17291,17223,17117,17046,16953,16869,16770,16658,16593,16522,16468,16366,16307,16258,16210,16104,16035,15996,15962,16010,16074,16140,16228,16408,16510,16645,16675,16732,16752,16719,16780,16831,16882,16951,16995,17049,17116,17099,17116,17130,17212,17268,17299,17300,17329,17365,17433,17485,17507,17525,17489,17520,17557,17578,17591,17640,17686,17664,17676,17505,17357,17160,16940,16651,16338,15985,15593,15160,14722,14193,13604,13002,12416,11813,11085,10393,9742,9259,8654,8214,7687,7128,6496,6038,5844,5439,5118,4991,4892,4865,4734,4357,4177,3833,3697,3722,3579,3442,3198,3068,2998,2843,2655,2688,2646,2667,2514,2399,2323,2376,2397,2266,2208,2233,2170,2016,2000,1486,1373,1332,1400,1360,1267,1348,1320,1261,1100,1119,1216,1103,1085,1167,1199,1151,1217,1127,1231,1260,1203,1269,1404,1363,1494,1510,1626,1576,1364,1315,1351,1480,1542,1519,1481,1645,1862,1891,1937,1966,2000,2055,2154,2135,2239,2307,2277,2430,2483,2758,2893,3017,3161,3244,3389,3594,3756,3965,4173,4278,4401,4530,4883,5117,5404,5666,6094,6257,6449,6798,7142,7540,7861,8253,8680,9243,9729,10337,10971,11598,12244,12912,13607,14280,15074,15889,16662,17359,18105,18710,19363,19931,20442,20903,21332,21731,22025,22325,22556,22787,22987,23161,23342,23460,23539,23647,23689,23737,23721,23717,23745,23754,23677,23593,23475,23392,23235,23107,22969,22932,23030,22977,22893,22785,22679,22539,22406,22259,22058,21927,21819,21708,21608,21463,21271,21080,20936,20812,20722,20591,20482,20391,20297,20229,20096,19943,19798,19657,19537,19395,19248,19100,18997,18953,18946
