Net Demand 04/27/2022undefined,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour-ahead forecast,22336,22221,22221,22221,21936,21936,21936,21772,21772,21772,21464,21464,21464,21271,21271,21271,21101,21101,21101,20889,20889,20889,20782,20782,20782,20670,20670,20670,20549,20549,20549,20421,20421,20421,20405,20405,20405,20345,20345,20345,20309,20309,20309,20270,20270,20270,20398,20398,20398,20469,20469,20469,20565,20565,20565,20682,20682,20682,20966,20966,20966,21316,21316,21316,21696,21696,21696,22027,22027,22027,22820,22820,22820,23075,23075,23075,23046,23046,23046,23147,23147,23147,23669,23669,23669,23826,23826,23826,23708,23708,23708,23420,23420,23420,23296,23296,23296,23334,23334,23334,22907,22907,22907,22708,22708,22708,22609,22609,22609,22388,22388,22388,22002,22002,22002,21552,21552,21552,21158,21158,21158,20881,20881,20881,20658,20658,20658,20433,20433,20433,19962,19962,19962,20016,20016,20016,19642,19642,19642,19676,19676,19676,19721,19721,19721,19626,19626,19626,19776,19776,19776,19734,19734,19734,19839,19839,19839,19973,19973,19973,20275,20275,20275,20215,20215,20215,20175,20175,20175,20209,20209,20209,20273,20273,20273,20449,20449,20449,20790,20790,20790,20912,20912,20912,21184,21184,21184,21379,21379,21379,21582,21582,21582,21883,21883,21883,22157,22157,22157,22565,22565,22565,22821,22821,22821,23205,23205,23205,23688,23688,23688,24163,24163,24163,24644,24644,24644,25008,25008,25008,25239,25239,25239,25629,25629,25629,25888,25888,25888,26209,26209,26209,26612,26612,26612,26923,26923,26923,27258,27258,27258,27429,27429,27429,27217,27217,27217,26983,26983,26983,26763,26763,26763,26494,26494,26494,26244,26244,26244,25919,25919,25919,25448,25448,25448,25075,25075,25075,24712,24712,24712,24177,24177,24177,23755,23755,23755,23353,23353,23353,23006,23006,23006,22621,22621,22621,22296,22296,22296
Demand,22507,22471,22416,22344,22263,22195,22034,21963,21866,21784,21699,21641,21565,21513,21423,21337,21260,21211,21145,21106,21062,21007,20990,20916,20802,20808,20794,20763,20693,20655,20636,20596,20552,20524,20501,20464,20433,20377,20334,20347,20321,20312,20299,20310,20291,20288,20239,20266,20305,20278,20334,20368,20407,20446,20481,20528,20595,20426,20461,20678,20812,21002,21195,21302,21467,21570,21629,21880,22069,22170,22225,22325,22365,22628,22882,22769,22808,22933,23046,23158,23263,23313,23341,23420,23446,23617,23748,23772,23757,23705,23651,23618,23574,23608,23609,23493,23399,23463,23525,23557,23435,23350,23240,23164,23069,22981,22899,22822,22732,22595,22525,22356,22223,22077,21941,21774,21642,21476,21372,21253,21144,21061,21036,20938,20845,20760,20530,20336,20243,20200,20220,20290,20188,19861,19823,19796,19751,19847,19887,19875,19818,19779,19775,19739,19700,19697,19713,19717,19717,19690,19660,19695,19672,19728,19760,19807,19841,19908,19990,20132,20018,20035,20021,19967,19995,20033,20020,19965,19822,19854,20057,20160,20134,20181,20279,20365,20442,20457,20446,20511,20651,20667,20726,20785,20853,20968,21019,21058,21163,21246,21411,21487,21495,21497,21562,21651,21733,21854,22040,22206,22327,22434,22551,22689,22820,22850,22916,23064,23233,23379,23621,23749,23923,24109,24284,24464,24605,24571,24641,24846,25038,25175,25341,25456,25594,25703,25794,25913,26018,26095,26200,26286,26382,26432,26554,26652,26863,27077,27216,27304,27341,27378,27414,27393,27391,27317,27240,27212,27115,27057,26957,26867,26752,26765,26759,26670,26622,26523,26426,26294,26199,26098,26003,25858,25719,25505,25379,25241,25081,24932,24775,24619,24510,24357,24223,24045,23901,23731,23608,23430,23317,23126,22983,22861,22759,22598,22494,22415,22301
Day-ahead net forecast,18610,17190,17190,17190,17190,17190,17190,17190,17190,17190,17190,17190,17190,16335,16335,16335,16335,16335,16335,16335,16335,16335,16335,16335,16335,15862,15862,15862,15862,15862,15862,15862,15862,15862,15862,15862,15862,15743,15743,15743,15743,15743,15743,15743,15743,15743,15743,15743,15743,16113,16113,16113,16113,16113,16113,16113,16113,16113,16113,16113,16113,17250,17250,17250,17250,17250,17250,17250,17250,17250,17250,17250,17250,17854,17854,17854,17854,17854,17854,17854,17854,17854,17854,17854,17854,12730,12730,12730,12730,12730,12730,12730,12730,12730,12730,12730,12730,7157,7157,7157,7157,7157,7157,7157,7157,7157,7157,7157,7157,4486,4486,4486,4486,4486,4486,4486,4486,4486,4486,4486,4486,2783,2783,2783,2783,2783,2783,2783,2783,2783,2783,2783,2783,1795,1795,1795,1795,1795,1795,1795,1795,1795,1795,1795,1795,1365,1365,1365,1365,1365,1365,1365,1365,1365,1365,1365,1365,1467,1467,1467,1467,1467,1467,1467,1467,1467,1467,1467,1467,2053,2053,2053,2053,2053,2053,2053,2053,2053,2053,2053,2053,3441,3441,3441,3441,3441,3441,3441,3441,3441,3441,3441,3441,5689,5689,5689,5689,5689,5689,5689,5689,5689,5689,5689,5689,9948,9948,9948,9948,9948,9948,9948,9948,9948,9948,9948,9948,17698,17698,17698,17698,17698,17698,17698,17698,17698,17698,17698,17698,21938,21938,21938,21938,21938,21938,21938,21938,21938,21938,21938,21938,22373,22373,22373,22373,22373,22373,22373,22373,22373,22373,22373,22373,21387,21387,21387,21387,21387,21387,21387,21387,21387,21387,21387,21387,19687,19687,19687,19687,19687,19687,19687,19687,19687,19687,19687,19687,18154,18154,18154,18154,18154,18154,18154,18154,18154,18154,18154,18154
Demand response event,Net demand,17053,16974,16934,16872,16820,16816,16791,16739,16701,16660,16636,16553,16474,16416,16304,16177,16065,15947,15896,15799,15713,15655,15623,15552,15458,15430,15431,15423,15343,15313,15280,15271,15239,15226,15221,15194,15217,15206,15176,15191,15206,15200,15225,15226,15213,15201,15202,15192,15244,15269,15299,15388,15487,15578,15640,15720,15826,15772,15736,15908,16137,16341,16606,16813,16838,17002,17062,17127,17361,17473,17563,17744,17826,18036,18372,18311,18244,18170,18145,18050,17839,17525,17099,16660,16117,15581,15162,14626,14157,13605,13048,12448,11920,11389,10839,10281,9718,9284,9002,8614,8286,8028,7836,7518,7281,7081,6926,6790,6552,6274,5974,5737,5545,5378,5122,4918,4558,4337,4301,4310,4326,4223,4016,4076,4045,4018,4000,3580,3568,3641,3651,3637,3580,3100,2836,2881,2758,2890,3034,2953,2997,3176,3268,3167,3095,2956,2902,2821,2753,2589,2476,2364,2338,2459,2476,2333,2411,2482,2592,2562,2483,2411,2511,2373,2311,2261,2190,2416,2334,2313,2450,2643,2608,2397,2567,2938,3035,3003,3034,3155,3436,3548,3284,3361,3673,3846,3928,3825,4107,4344,4261,4427,4902,5289,5233,5432,5672,5836,6211,6020,6059,6016,6246,6368,6588,6824,6856,7154,7630,8164,8550,8993,9327,10022,10585,11045,11706,12227,12852,13499,14074,14596,15357,16071,16672,17303,17895,18484,18980,19453,19760,20117,20463,20778,20925,21075,21192,21351,21454,21542,21557,21656,21740,21796,21759,21740,21549,21464,21426,21332,21253,21182,21035,20984,21052,21021,20954,20926,20835,20696,20572,20453,20348,20234,20117,20147,20114,20073,19987,19864,19780,19615,19455,19299,19180,19055,18986,18849,18714,18570,18491,18355,18152,18007,17945,17838,17721,17702,17600
