Net Demand 04/17/2022undefined,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour-ahead forecast,20693,20509,20509,20509,20375,20375,20375,20147,20147,20147,19919,19919,19919,19750,19750,19750,19563,19563,19563,19398,19398,19398,19258,19258,19258,19140,19140,19140,19038,19038,19038,18948,18948,18948,18879,18879,18879,18812,18812,18812,18767,18767,18767,18732,18732,18732,18697,18697,18697,18695,18695,18695,18727,18727,18727,18725,18725,18725,18804,18804,18804,18894,18894,18894,18882,18882,18882,18897,18897,18897,19005,19005,19005,19055,19055,19055,19059,19059,19059,18952,18952,18952,18976,18976,18976,18945,18945,18945,18780,18780,18780,18416,18416,18416,18370,18370,18370,18180,18180,18180,17865,17865,17865,17596,17596,17596,17350,17350,17350,17016,17016,17016,16606,16606,16606,16175,16175,16175,15811,15811,15811,15578,15578,15578,15377,15377,15377,15017,15017,15017,14701,14701,14701,14496,14496,14496,14331,14331,14331,14213,14213,14213,14080,14080,14080,13970,13970,13970,14001,14001,14001,13910,13910,13910,13980,13980,13980,14012,14012,14012,14006,14006,14006,14056,14056,14056,14115,14115,14115,14257,14257,14257,14405,14405,14405,14577,14577,14577,14818,14818,14818,15050,15050,15050,15333,15333,15333,15697,15697,15697,16040,16040,16040,16472,16472,16472,16777,16777,16777,17455,17455,17455,17949,17949,17949,18413,18413,18413,19053,19053,19053,19704,19704,19704,20165,20165,20165,20713,20713,20713,21283,21283,21283,21689,21689,21689,22072,22072,22072,22533,22533,22533,23080,23080,23080,23447,23447,23447,23611,23611,23611,23675,23675,23675,23586,23586,23586,23426,23426,23426,23374,23374,23374,23318,23318,23318,23161,23161,23161,22867,22867,22867,22610,22610,22610,22285,22285,22285,21916,21916,21916,21603,21603,21603,21205,21205,21205,20906,20906,20906,20636,20636,20636,20356,20356,20356,20110,20110,20110
Demand,20735,20761,20733,20682,20623,20541,20441,20376,20319,20226,20170,20073,20014,19917,19924,19855,19772,19732,19671,19605,19572,19471,19434,19404,19360,19317,19291,19257,19246,19192,19149,19121,19105,19036,18994,18969,18969,18950,18944,18908,18903,18875,18854,18806,18784,18757,18754,18726,18715,18768,18768,18719,18753,18736,18745,18742,18725,18716,18754,18749,18739,18700,18733,18734,18790,18814,18793,18821,18869,18881,18913,18960,18997,19124,19234,19235,19221,19160,19108,19084,19103,19042,19014,18962,18933,18950,18985,18920,18859,18794,18710,18668,18607,18542,18439,18355,18452,18350,18411,18362,18248,18155,18017,17896,17778,17674,17557,17409,17279,17221,17200,17024,16869,16754,16576,16441,16318,16181,16030,15985,15882,15871,15770,15668,15562,15485,15318,15216,15109,15044,14943,14861,14788,14689,14602,14542,14462,14380,14370,14302,14259,14217,14176,14115,14096,14030,14043,14040,13975,13955,13946,13972,13897,13904,13883,13876,13907,13870,13845,13848,13830,13876,13844,13874,13893,13922,13948,13947,13974,14000,14068,14073,14139,14159,14231,14305,14343,14438,14483,14581,14616,14628,14778,14885,14957,15065,15146,15267,15385,15510,15672,15822,15941,15805,15858,16057,16273,16459,16591,16754,16949,17105,17330,17509,17718,17914,18144,18373,18600,18738,18851,19073,19285,19505,19739,19940,20166,20288,20520,20669,20880,21042,21213,21407,21573,21755,21873,21979,22086,22288,22380,22523,22628,22799,22936,23102,23249,23409,23543,23536,23621,23689,23728,23733,23713,23715,23689,23676,23615,23585,23555,23521,23475,23525,23516,23444,23412,23329,23256,23197,23133,23040,22905,22816,22679,22500,22430,22297,22274,22155,22038,21902,21794,21678,21563,21463,21363,21273,21129,21013,20901,20808,20715,20595,20476,20373,20282,20188,20068
Day-ahead net forecast,16643,16168,16168,16168,16168,16168,16168,16168,16168,16168,16168,16168,16168,15254,15254,15254,15254,15254,15254,15254,15254,15254,15254,15254,15254,14918,14918,14918,14918,14918,14918,14918,14918,14918,14918,14918,14918,14739,14739,14739,14739,14739,14739,14739,14739,14739,14739,14739,14739,14820,14820,14820,14820,14820,14820,14820,14820,14820,14820,14820,14820,15080,15080,15080,15080,15080,15080,15080,15080,15080,15080,15080,15080,14946,14946,14946,14946,14946,14946,14946,14946,14946,14946,14946,14946,9914,9914,9914,9914,9914,9914,9914,9914,9914,9914,9914,9914,4099,4099,4099,4099,4099,4099,4099,4099,4099,4099,4099,4099,1338,1338,1338,1338,1338,1338,1338,1338,1338,1338,1338,1338,-428,-428,-428,-428,-428,-428,-428,-428,-428,-428,-428,-428,-1217,-1217,-1217,-1217,-1217,-1217,-1217,-1217,-1217,-1217,-1217,-1217,-1664,-1664,-1664,-1664,-1664,-1664,-1664,-1664,-1664,-1664,-1664,-1664,-1697,-1697,-1697,-1697,-1697,-1697,-1697,-1697,-1697,-1697,-1697,-1697,-1731,-1731,-1731,-1731,-1731,-1731,-1731,-1731,-1731,-1731,-1731,-1731,-766,-766,-766,-766,-766,-766,-766,-766,-766,-766,-766,-766,1451,1451,1451,1451,1451,1451,1451,1451,1451,1451,1451,1451,5992,5992,5992,5992,5992,5992,5992,5992,5992,5992,5992,5992,14480,14480,14480,14480,14480,14480,14480,14480,14480,14480,14480,14480,19494,19494,19494,19494,19494,19494,19494,19494,19494,19494,19494,19494,20087,20087,20087,20087,20087,20087,20087,20087,20087,20087,20087,20087,19624,19624,19624,19624,19624,19624,19624,19624,19624,19624,19624,19624,18453,18453,18453,18453,18453,18453,18453,18453,18453,18453,18453,18453,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325,17325
Demand response event,Net demand,15903,15884,16006,15919,15894,15821,15799,15804,15808,15791,15728,15627,15591,15561,15590,15606,15581,15573,15530,15438,15379,15259,15179,15075,14976,14852,14769,14713,14651,14566,14493,14480,14494,14424,14318,14231,14126,14069,14027,13953,13832,13792,13715,13648,13585,13536,13488,13501,13476,13496,13573,13504,13519,13503,13537,13554,13545,13507,13544,13587,13581,13535,13575,13614,13711,13771,13779,13805,13871,13913,13948,13971,14045,14144,14321,14412,14390,14302,14148,13940,13703,13442,13126,12793,12357,11865,11342,10815,10208,9506,8766,8240,7976,7818,7825,7680,7319,6251,5624,5352,5206,4930,4927,5062,5238,5314,5269,5264,5202,4815,4538,4375,4332,4302,4108,4098,4123,4006,3833,3757,3714,3716,3798,3712,3598,3517,3554,3701,3717,3725,3620,3546,3588,3397,3167,3319,3414,3312,3509,3340,3435,3410,3147,3099,3096,3127,3180,3040,2942,2932,3057,3096,3034,2892,2913,2909,2888,2769,2787,2894,2957,3001,3060,3003,2991,2997,2921,2949,3052,2946,2932,2881,2768,2912,3008,2975,2896,2828,2869,2977,2958,2852,2915,2778,2803,2816,3013,3026,3180,3239,3340,3308,3290,3448,3696,4035,4262,4229,4323,4299,4353,4464,4689,5076,5429,5329,5671,5899,6171,6151,6193,6451,6796,7378,7943,8625,9340,10097,10811,11636,12481,13189,13909,14755,15511,16136,16661,17142,17520,17902,18162,18392,18664,18857,19023,19184,19392,19538,19700,19733,19729,19752,19703,19693,19617,19615,19612,19581,19530,19520,19473,19491,19471,19514,19587,19523,19494,19423,19376,19350,19270,19136,18951,18837,18705,18610,18551,18510,18469,18420,18323,18206,18129,18020,17985,17955,17987,17966,17938,17823,17737,17659,17619,17532,17344,17204,17071,16976,16878
