Net Demand 04/22/2022undefined,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour-ahead forecast,21673,21509,21509,21509,21306,21306,21306,21160,21160,21160,20969,20969,20969,20824,20824,20824,20692,20692,20692,20495,20495,20495,20378,20378,20378,20263,20263,20263,20116,20116,20116,20000,20000,20000,19943,19943,19943,19948,19948,19948,19912,19912,19912,19931,19931,19931,20053,20053,20053,20091,20091,20091,20205,20205,20205,20280,20280,20280,20598,20598,20598,20901,20901,20901,21097,21097,21097,21355,21355,21355,21847,21847,21847,22246,22246,22246,22471,22471,22471,22643,22643,22643,22981,22981,22981,23051,23051,23051,23189,23189,23189,23046,23046,23046,22804,22804,22804,22662,22662,22662,22456,22456,22456,22258,22258,22258,22026,22026,22026,21755,21755,21755,21474,21474,21474,21351,21351,21351,21009,21009,21009,20688,20688,20688,20590,20590,20590,20305,20305,20305,20177,20177,20177,20081,20081,20081,19945,19945,19945,19894,19894,19894,19841,19841,19841,19667,19667,19667,19565,19565,19565,19302,19302,19302,19066,19066,19066,19094,19094,19094,19120,19120,19120,18802,18802,18802,18870,18870,18870,18888,18888,18888,19001,19001,19001,19053,19053,19053,18865,18865,18865,18948,18948,18948,18927,18927,18927,19109,19109,19109,19276,19276,19276,19495,19495,19495,19721,19721,19721,20045,20045,20045,20359,20359,20359,20706,20706,20706,21266,21266,21266,21621,21621,21621,21896,21896,21896,22373,22373,22373,22741,22741,22741,23122,23122,23122,23424,23424,23424,23915,23915,23915,24357,24357,24357,24857,24857,24857,25019,25019,25019,25112,25112,25112,25053,25053,25053,24863,24863,24863,24733,24733,24733,24640,24640,24640,24480,24480,24480,24318,24318,24318,24030,24030,24030,23782,23782,23782,23521,23521,23521,23099,23099,23099,22745,22745,22745,22430,22430,22430,22109,22109,22109,21790,21790,21790,21554,21554,21554
Demand,21702,21661,21637,21581,21547,21477,21416,21351,21282,21232,21166,21111,21045,20982,20966,20867,20812,20757,20682,20632,20560,20563,20528,20459,20331,20355,20285,20253,20273,20161,20088,20068,20044,20005,20026,20007,19984,19985,19965,19964,19960,19928,19902,19924,19931,19912,19907,19860,19850,19957,19997,19979,20009,20054,20083,20132,20160,20183,20231,20316,20317,20447,20599,20682,20754,20834,20884,20999,21170,21216,21320,21499,21606,21897,22191,22283,22356,22404,22450,22532,22614,22645,22683,22719,22757,22951,23136,23165,23182,23164,23126,23048,22963,22863,22771,22761,22745,22815,22925,22936,22858,22772,22686,22525,22454,22376,22270,22176,22052,21962,22025,21939,21874,21815,21779,21609,21461,21327,21217,21134,21088,20956,21019,20902,20688,20709,20574,20579,20548,20441,20371,20328,20315,20222,20156,20105,20098,20131,20160,20010,19967,19918,19852,19801,19770,19765,19690,19644,19571,19426,19406,19298,19222,19197,19106,19095,19163,19100,19000,18915,18910,18814,18767,18758,18987,18986,18910,19010,18956,18935,18947,18837,18918,18909,18914,18823,18804,18686,18712,18737,18702,18686,18727,18758,18888,18923,18999,19010,19051,19049,19127,19194,19225,19210,19209,19257,19427,19578,19679,19786,19839,19970,20095,20157,20289,20448,20560,20698,20859,20997,21146,21239,21339,21496,21692,21907,21970,21982,22030,22245,22444,22587,22710,22882,22968,23150,23307,23458,23611,23699,23783,23916,24088,24197,24351,24477,24604,24765,24898,24980,25012,25099,25162,25172,25179,25143,25071,25035,24986,24947,24902,24835,24782,24818,24854,24808,24777,24717,24651,24626,24597,24488,24375,24313,24211,24051,23935,23866,23729,23645,23550,23413,23298,23208,23093,22970,22867,22735,22611,22488,22351,22247,22123,22028,21972,21836,21744,21656,21564
Day-ahead net forecast,19035,17605,17605,17605,17605,17605,17605,17605,17605,17605,17605,17605,17605,16821,16821,16821,16821,16821,16821,16821,16821,16821,16821,16821,16821,16091,16091,16091,16091,16091,16091,16091,16091,16091,16091,16091,16091,15700,15700,15700,15700,15700,15700,15700,15700,15700,15700,15700,15700,15708,15708,15708,15708,15708,15708,15708,15708,15708,15708,15708,15708,16525,16525,16525,16525,16525,16525,16525,16525,16525,16525,16525,16525,17242,17242,17242,17242,17242,17242,17242,17242,17242,17242,17242,17242,13222,13222,13222,13222,13222,13222,13222,13222,13222,13222,13222,13222,7771,7771,7771,7771,7771,7771,7771,7771,7771,7771,7771,7771,4920,4920,4920,4920,4920,4920,4920,4920,4920,4920,4920,4920,3280,3280,3280,3280,3280,3280,3280,3280,3280,3280,3280,3280,2054,2054,2054,2054,2054,2054,2054,2054,2054,2054,2054,2054,1382,1382,1382,1382,1382,1382,1382,1382,1382,1382,1382,1382,1157,1157,1157,1157,1157,1157,1157,1157,1157,1157,1157,1157,1241,1241,1241,1241,1241,1241,1241,1241,1241,1241,1241,1241,1989,1989,1989,1989,1989,1989,1989,1989,1989,1989,1989,1989,3793,3793,3793,3793,3793,3793,3793,3793,3793,3793,3793,3793,7441,7441,7441,7441,7441,7441,7441,7441,7441,7441,7441,7441,14712,14712,14712,14712,14712,14712,14712,14712,14712,14712,14712,14712,18979,18979,18979,18979,18979,18979,18979,18979,18979,18979,18979,18979,19720,19720,19720,19720,19720,19720,19720,19720,19720,19720,19720,19720,19171,19171,19171,19171,19171,19171,19171,19171,19171,19171,19171,19171,18164,18164,18164,18164,18164,18164,18164,18164,18164,18164,18164,18164,17139,17139,17139,17139,17139,17139,17139,17139,17139,17139,17139,17139
Demand response event,Net demand,18722,18663,18640,18629,18708,18702,18703,18582,18417,18269,18189,18173,18184,18217,18231,18180,18117,18103,18106,18016,17900,17777,17606,17446,17251,17123,16986,16844,16746,16532,16252,16140,16183,16390,16555,16672,16707,16716,16732,16763,16754,16683,16641,16610,16605,16609,16646,16639,16576,16589,16557,16571,16652,16718,16722,16692,16605,16638,16678,16708,16714,16815,17001,17043,17041,17092,17162,17216,17348,17466,17608,17699,17855,18119,18311,18412,18406,18354,18250,18094,17967,17809,17455,17102,16693,16387,16314,15887,15541,14981,14413,13946,13398,13027,12820,12427,11632,11072,10355,9987,9697,9339,8624,8276,7823,7625,7265,7001,6743,6715,6825,6808,6540,6526,6517,6152,5881,5730,5462,5329,5161,5469,5647,5759,5743,5606,5754,5586,5331,5226,5472,5710,5810,5055,4964,4777,4049,3705,3736,4207,4273,4025,3972,3849,3688,3663,3651,3542,3526,3713,3727,3495,3173,3204,3490,3649,3860,3968,3657,3572,3506,3205,3063,2564,3007,3334,3475,3698,3503,3628,3446,3432,3484,3624,3689,3853,3942,3884,3288,3343,3108,3390,3527,3566,4087,4301,4273,3992,4068,4070,4098,4532,4654,4454,4424,4385,4507,4582,4771,5206,5461,5798,5970,6242,6344,6120,5960,6105,6165,6318,6840,7241,7633,8306,8975,9712,10296,10911,11552,12207,12867,13454,13886,14330,14839,15279,15760,16305,16801,17247,17602,17956,18223,18552,18748,18854,18934,19033,19122,19158,19235,19322,19388,19390,19441,19411,19368,19330,19293,19211,19173,19118,19061,19123,19216,19189,19118,19069,19027,18966,18951,18871,18713,18651,18574,18481,18360,18262,18182,18106,18027,17951,17859,17759,17687,17633,17536,17433,17285,17185,17091,16913,16829,16695,16643,16560,16475,16380,16270
