Net Demand 04/30/2022undefined,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour-ahead forecast,22087,21877,21877,21877,21650,21650,21650,21495,21495,21495,21310,21310,21310,21119,21119,21119,20922,20922,20922,20739,20739,20739,20590,20590,20590,20422,20422,20422,20298,20298,20298,20155,20155,20155,20072,20072,20072,20004,20004,20004,19934,19934,19934,19861,19861,19861,19871,19871,19871,19909,19909,19909,19934,19934,19934,19964,19964,19964,20119,20119,20119,20268,20268,20268,20339,20339,20339,20382,20382,20382,20500,20500,20500,20387,20387,20387,20210,20210,20210,20228,20228,20228,20313,20313,20313,20239,20239,20239,20113,20113,20113,19837,19837,19837,19618,19618,19618,19544,19544,19544,19352,19352,19352,19097,19097,19097,18935,18935,18935,18672,18672,18672,18344,18344,18344,18134,18134,18134,17860,17860,17860,17688,17688,17688,17516,17516,17516,17448,17448,17448,17319,17319,17319,17178,17178,17178,17054,17054,17054,16983,16983,16983,17015,17015,17015,16920,16920,16920,16906,16906,16906,16948,16948,16948,16987,16987,16987,17061,17061,17061,17259,17259,17259,17333,17333,17333,17529,17529,17529,17720,17720,17720,17955,17955,17955,18221,18221,18221,18312,18312,18312,18525,18525,18525,18863,18863,18863,19161,19161,19161,19435,19435,19435,19831,19831,19831,20122,20122,20122,20658,20658,20658,20941,20941,20941,21386,21386,21386,21810,21810,21810,22386,22386,22386,22901,22901,22901,23295,23295,23295,23674,23674,23674,23968,23968,23968,24262,24262,24262,24402,24402,24402,24777,24777,24777,25104,25104,25104,25345,25345,25345,25390,25390,25390,25304,25304,25304,25112,25112,25112,24946,24946,24946,24802,24802,24802,24664,24664,24664,24414,24414,24414,24035,24035,24035,23681,23681,23681,23369,23369,23369,23052,23052,23052,22693,22693,22693,22368,22368,22368,22085,22085,22085,21719,21719,21719,21457,21457,21457
Demand,22138,22160,22212,22181,22151,22008,21913,21867,21799,21726,21642,21532,21450,21391,21317,21274,21173,21125,21064,20999,20930,20839,20820,20725,20665,20641,20577,20567,20511,20453,20374,20342,20324,20244,20247,20203,20162,20150,20142,20101,20083,20033,19986,19983,19950,19952,19945,19949,19931,19951,19995,19987,20003,20006,19994,20031,20056,20055,20079,20073,20100,20179,20183,20185,20211,20253,20291,20331,20358,20348,20385,20405,20396,20459,20507,20499,20461,20436,20389,20362,20336,20293,20249,20227,20226,20221,20235,20221,20168,20054,19992,19932,19890,19816,19790,19701,19624,19683,19813,19766,19669,19573,19486,19350,19255,19116,19040,18936,18831,18790,18765,18717,18599,18509,18396,18307,18248,18158,18082,17989,17903,17887,17935,17877,17810,17732,17678,17589,17528,17480,17413,17371,17312,17282,17282,17211,17131,17168,17149,17142,17095,17066,17066,17025,16940,16939,16986,16949,16957,16946,16942,16946,16980,16970,17009,16979,16977,17017,17111,17142,17150,17207,17230,17295,17309,17347,17394,17467,17479,17548,17564,17705,17754,17836,17912,17935,17888,18013,18074,18142,18176,18230,18304,18385,18463,18593,18738,18828,18910,19033,19182,19303,19368,19390,19394,19554,19716,19867,20003,20172,20331,20437,20601,20748,20857,20879,21031,21292,21488,21662,21868,22085,22276,22401,22595,22741,22933,22970,23149,23305,23494,23646,23752,23888,23981,24127,24105,24115,24192,24321,24372,24488,24548,24633,24692,24809,24925,25022,25109,25226,25284,25371,25411,25413,25418,25367,25349,25304,25227,25201,25132,25095,25019,25060,25015,24989,24916,24854,24770,24647,24533,24432,24356,24281,24154,24013,23899,23813,23689,23586,23482,23356,23268,23138,23035,22936,22827,22633,22504,22387,22284,22183,22071,21983,21896,21798,21697,21594,21472
Day-ahead net forecast,19571,18297,18297,18297,18297,18297,18297,18297,18297,18297,18297,18297,18297,17398,17398,17398,17398,17398,17398,17398,17398,17398,17398,17398,17398,16871,16871,16871,16871,16871,16871,16871,16871,16871,16871,16871,16871,16703,16703,16703,16703,16703,16703,16703,16703,16703,16703,16703,16703,16858,16858,16858,16858,16858,16858,16858,16858,16858,16858,16858,16858,17255,17255,17255,17255,17255,17255,17255,17255,17255,17255,17255,17255,16309,16309,16309,16309,16309,16309,16309,16309,16309,16309,16309,16309,10319,10319,10319,10319,10319,10319,10319,10319,10319,10319,10319,10319,5279,5279,5279,5279,5279,5279,5279,5279,5279,5279,5279,5279,2995,2995,2995,2995,2995,2995,2995,2995,2995,2995,2995,2995,1505,1505,1505,1505,1505,1505,1505,1505,1505,1505,1505,1505,577,577,577,577,577,577,577,577,577,577,577,577,64,64,64,64,64,64,64,64,64,64,64,64,-378,-378,-378,-378,-378,-378,-378,-378,-378,-378,-378,-378,-445,-445,-445,-445,-445,-445,-445,-445,-445,-445,-445,-445,480,480,480,480,480,480,480,480,480,480,480,480,2459,2459,2459,2459,2459,2459,2459,2459,2459,2459,2459,2459,6695,6695,6695,6695,6695,6695,6695,6695,6695,6695,6695,6695,14893,14893,14893,14893,14893,14893,14893,14893,14893,14893,14893,14893,19388,19388,19388,19388,19388,19388,19388,19388,19388,19388,19388,19388,20059,20059,20059,20059,20059,20059,20059,20059,20059,20059,20059,20059,19323,19323,19323,19323,19323,19323,19323,19323,19323,19323,19323,19323,18261,18261,18261,18261,18261,18261,18261,18261,18261,18261,18261,18261,17052,17052,17052,17052,17052,17052,17052,17052,17052,17052,17052,17052
Demand response event,Net demand,20093,19977,20049,20030,19968,19840,19654,19535,19413,19300,19195,19084,18966,18848,18746,18679,18573,18395,18251,18084,17952,17847,17751,17689,17631,17610,17573,17507,17444,17392,17311,17303,17311,17260,17190,17207,17155,17122,17118,17040,16969,16949,16915,16867,16869,16872,16879,16925,16915,16962,17007,17068,17172,17273,17331,17405,17474,17496,17488,17523,17573,17713,17782,17845,17922,18001,18085,18183,18303,18284,18249,18269,18251,18254,18243,18126,17939,17682,17349,16944,16539,16129,15571,14910,14381,13781,13191,12579,11935,11212,10538,9913,9400,9296,9115,9139,8893,7683,6861,6641,6449,6345,6036,6024,5994,5799,5567,5400,5269,4856,4634,4461,4292,4134,4174,4306,4122,4049,3928,3879,3860,3577,3465,3509,3439,3422,3423,3377,3282,3256,3236,3075,3055,2740,2592,2469,2548,2350,2264,2145,2069,2244,2215,2334,2440,2481,2313,2303,2273,2132,2014,1952,1903,1862,1887,1666,1597,1694,1679,1780,2196,2219,1890,1781,1616,1705,1820,1982,1853,1276,1015,1212,1212,1196,1065,950,731,876,807,883,1181,1346,1508,1626,1699,1823,1894,2100,2090,2165,2153,2183,2377,2355,2459,2958,3343,3295,3260,3462,3549,3562,3703,3727,3761,3726,4091,4560,5006,5278,5451,5955,6515,7093,7766,8339,8994,9608,10292,10955,11690,12460,13142,13750,14389,15028,15694,16156,16594,17097,17548,17833,18074,18388,18569,18715,18870,19017,19230,19381,19509,19575,19646,19689,19690,19677,19680,19696,19743,19809,19857,19887,19843,19884,19856,19876,19834,19794,19728,19632,19533,19412,19273,19215,19127,19157,19122,19010,18858,18730,18623,18524,18437,18370,18276,18232,18127,17973,17754,17624,17523,17452,17337,17211,17141,17022,16960,16941,16872
