Net Demand 04/01/2022undefined,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour-ahead forecast,21217,21027,21027,21027,20850,20850,20850,20629,20629,20629,20393,20393,20393,20220,20220,20220,20024,20024,20024,19869,19869,19869,19796,19796,19796,19713,19713,19713,19615,19615,19615,19567,19567,19567,19547,19547,19547,19584,19584,19584,19605,19605,19605,19640,19640,19640,19776,19776,19776,19920,19920,19920,20056,20056,20056,20209,20209,20209,20601,20601,20601,20972,20972,20972,21333,21333,21333,21643,21643,21643,22350,22350,22350,22995,22995,22995,23298,23298,23298,23503,23503,23503,23921,23921,23921,24066,24066,24066,24050,24050,24050,23915,23915,23915,23853,23853,23853,23805,23805,23805,23454,23454,23454,23159,23159,23159,22916,22916,22916,22632,22632,22632,22274,22274,22274,21941,21941,21941,21649,21649,21649,21332,21332,21332,21022,21022,21022,20723,20723,20723,20469,20469,20469,20257,20257,20257,19884,19884,19884,19667,19667,19667,19432,19432,19432,19307,19307,19307,19020,19020,19020,18898,18898,18898,18863,18863,18863,18859,18859,18859,18777,18777,18777,18799,18799,18799,18958,18958,18958,18999,18999,18999,19069,19069,19069,19186,19186,19186,19316,19316,19316,19515,19515,19515,19686,19686,19686,19978,19978,19978,20223,20223,20223,20454,20454,20454,20806,20806,20806,21242,21242,21242,21529,21529,21529,21820,21820,21820,22299,22299,22299,22895,22895,22895,23202,23202,23202,23559,23559,23559,23943,23943,23943,24368,24368,24368,24776,24776,24776,25138,25138,25138,25584,25584,25584,25796,25796,25796,25717,25717,25717,25390,25390,25390,25199,25199,25199,25037,25037,25037,24867,24867,24867,24632,24632,24632,24468,24468,24468,24209,24209,24209,23942,23942,23942,23721,23721,23721,23322,23322,23322,22932,22932,22932,22540,22540,22540,22227,22227,22227,21925,21925,21925,21621,21621,21621,21361,21361,21361
Demand,21217,21226,21229,21138,21044,20958,20844,20803,20722,20683,20617,20518,20425,20374,20289,20258,20220,20160,20110,20070,20019,19987,19942,19908,19851,19834,19820,19791,19788,19778,19749,19719,19699,19654,19652,19666,19669,19674,19670,19688,19711,19692,19696,19701,19701,19723,19710,19731,19734,19830,19887,19943,20002,20029,20087,20144,20222,20255,20306,20354,20448,20699,20902,21004,21082,21218,21276,21379,21501,21590,21679,21824,21974,22328,22682,22816,22967,23113,23211,23365,23484,23511,23601,23637,23700,23843,24098,24157,24223,24155,24100,24152,24207,24185,24113,24025,23955,23999,24049,23961,23891,23788,23676,23607,23499,23428,23329,23162,23053,22994,22906,22826,22703,22578,22457,22351,22213,22099,21989,21883,21739,21666,21582,21456,21344,21227,21117,21001,20836,20760,20638,20530,20445,20315,20254,20157,20028,19961,19874,19771,19709,19672,19588,19546,19456,19349,19115,19066,19062,19034,18978,18967,18910,18904,18917,18846,18876,18855,18673,18643,18669,18779,18809,18809,18831,18857,18830,18885,18874,18869,18916,18892,18897,18934,18970,18962,18995,19058,19139,19188,19225,19209,19315,19353,19485,19548,19570,19692,19761,19855,19964,20010,20058,20058,20145,20314,20414,20566,20642,20839,20929,21081,21235,21398,21502,21566,21678,21847,22044,22258,22349,22555,22745,22920,23116,23250,23399,23416,23488,23660,23803,23913,24020,24128,24233,24368,24472,24571,24693,24750,24832,24977,25087,25226,25385,25465,25543,25592,25570,25547,25530,25519,25463,25460,25451,25397,25316,25271,25186,25094,24990,24948,24865,24872,24843,24793,24766,24689,24651,24547,24494,24449,24372,24271,24163,23981,23809,23696,23570,23474,23371,23253,23125,23021,22903,22816,22749,22622,22413,22273,22184,22084,22036,21899,21722,21637,21500,21385,
Day-ahead net forecast,18528,17827,17827,17827,17827,17827,17827,17827,17827,17827,17827,17827,17827,17194,17194,17194,17194,17194,17194,17194,17194,17194,17194,17194,17194,16998,16998,16998,16998,16998,16998,16998,16998,16998,16998,16998,16998,17022,17022,17022,17022,17022,17022,17022,17022,17022,17022,17022,17022,17607,17607,17607,17607,17607,17607,17607,17607,17607,17607,17607,17607,18990,18990,18990,18990,18990,18990,18990,18990,18990,18990,18990,18990,20859,20859,20859,20859,20859,20859,20859,20859,20859,20859,20859,20859,18519,18519,18519,18519,18519,18519,18519,18519,18519,18519,18519,18519,11361,11361,11361,11361,11361,11361,11361,11361,11361,11361,11361,11361,6931,6931,6931,6931,6931,6931,6931,6931,6931,6931,6931,6931,4676,4676,4676,4676,4676,4676,4676,4676,4676,4676,4676,4676,3473,3473,3473,3473,3473,3473,3473,3473,3473,3473,3473,3473,3037,3037,3037,3037,3037,3037,3037,3037,3037,3037,3037,3037,3031,3031,3031,3031,3031,3031,3031,3031,3031,3031,3031,3031,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,3400,4481,4481,4481,4481,4481,4481,4481,4481,4481,4481,4481,4481,6365,6365,6365,6365,6365,6365,6365,6365,6365,6365,6365,6365,11251,11251,11251,11251,11251,11251,11251,11251,11251,11251,11251,11251,19442,19442,19442,19442,19442,19442,19442,19442,19442,19442,19442,19442,22343,22343,22343,22343,22343,22343,22343,22343,22343,22343,22343,22343,22423,22423,22423,22423,22423,22423,22423,22423,22423,22423,22423,22423,21719,21719,21719,21719,21719,21719,21719,21719,21719,21719,21719,21719,20635,20635,20635,20635,20635,20635,20635,20635,20635,20635,20635,20635,19357,19357,19357,19357,19357,19357,19357,19357,19357,19357,19357,19357
Demand response event,Net demand,18386,18323,18355,18300,18234,18145,18221,18340,18339,18297,18229,18092,18003,17874,17775,17676,17582,17533,17550,17504,17517,17507,17473,17473,17458,17469,17474,17522,17557,17479,17497,17383,17409,17363,17399,17471,17544,17587,17685,17750,17837,17857,17794,17802,17792,17870,17836,17896,17915,17933,18042,18126,18183,18229,18266,18345,18406,18463,18519,18541,18623,18829,19083,19205,19277,19340,19423,19448,19584,19656,19737,19869,20031,20225,20653,20856,20973,21160,21298,21411,21518,21540,21558,21486,21379,21192,21154,20823,20390,19874,19280,18733,18164,17535,16853,16162,15433,14684,14119,13475,12674,11891,11315,10833,10392,10166,9970,9575,9193,8837,8568,8357,8098,7853,7651,7490,7527,7430,7324,7136,6970,6807,6684,6517,6332,6111,6036,6306,6587,6502,6486,6405,6110,5952,5814,5634,5485,5352,5332,5276,5176,5171,5057,4973,4883,4717,4533,4401,4313,4433,4511,4539,4579,4546,4551,4585,4612,4282,3934,3803,3624,3719,3849,4128,4284,4187,4026,4073,3972,3846,3875,4002,4007,4016,4052,4200,4213,4191,4205,4320,4374,4333,4429,4492,4631,4781,4845,4898,5040,5115,5305,5393,5508,5677,5679,5793,5949,6170,6391,6677,6837,7110,7463,7825,8208,8531,9050,9440,9907,10546,11136,11844,12696,13562,14388,15159,15864,16744,17378,18150,18933,19546,20174,20697,21176,21628,21992,22377,22597,22759,22853,23012,23097,23223,23322,23381,23468,23425,23348,23261,23177,23083,23042,22959,22897,22865,22747,22674,22525,22408,22238,22140,22043,21999,21985,21894,21828,21754,21715,21645,21628,21625,21614,21549,21411,21317,21114,20962,20828,20740,20667,20621,20563,20474,20414,20387,20337,20310,20089,20030,19946,19984,19954,19885,19652,19525,19373,19162,
