Net Demand 04/12/2022undefined,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour-ahead forecast,21803,21650,21650,21650,21504,21504,21504,21274,21274,21274,21033,21033,21033,20878,20878,20878,20739,20739,20739,20548,20548,20548,20447,20447,20447,20383,20383,20383,20288,20288,20288,20204,20204,20204,20162,20162,20162,20137,20137,20137,20146,20146,20146,20121,20121,20121,20296,20296,20296,20473,20473,20473,20696,20696,20696,20910,20910,20910,21304,21304,21304,21726,21726,21726,22080,22080,22080,22392,22392,22392,23113,23113,23113,23572,23572,23572,23862,23862,23862,24065,24065,24065,24386,24386,24386,24500,24500,24500,24393,24393,24393,24257,24257,24257,24036,24036,24036,23683,23683,23683,23234,23234,23234,22845,22845,22845,22502,22502,22502,22137,22137,22137,21714,21714,21714,21302,21302,21302,20966,20966,20966,20447,20447,20447,20194,20194,20194,19847,19847,19847,19594,19594,19594,19231,19231,19231,19008,19008,19008,18815,18815,18815,18611,18611,18611,18476,18476,18476,18318,18318,18318,18259,18259,18259,18140,18140,18140,18233,18233,18233,18189,18189,18189,18196,18196,18196,18246,18246,18246,18292,18292,18292,18314,18314,18314,18412,18412,18412,18533,18533,18533,18556,18556,18556,18589,18589,18589,18905,18905,18905,19144,19144,19144,19423,19423,19423,19805,19805,19805,20231,20231,20231,20412,20412,20412,20931,20931,20931,21467,21467,21467,22217,22217,22217,22723,22723,22723,23204,23204,23204,23594,23594,23594,24048,24048,24048,24492,24492,24492,25016,25016,25016,25582,25582,25582,25938,25938,25938,26208,26208,26208,26203,26203,26203,26178,26178,26178,25946,25946,25946,25773,25773,25773,25644,25644,25644,25460,25460,25460,25123,25123,25123,24760,24760,24760,24310,24310,24310,23896,23896,23896,23434,23434,23434,23005,23005,23005,22693,22693,22693,22347,22347,22347,22143,22143,22143,21932,21932,21932
Demand,21827,21819,21813,21753,21691,21589,21494,21459,21368,21300,21206,21171,21104,21088,21029,20963,20890,20848,20761,20728,20662,20628,20574,20542,20529,20487,20451,20412,20426,20375,20318,20298,20292,20245,20205,20169,20182,20218,20200,20166,20141,20152,20176,20195,20211,20198,20223,20254,20272,20413,20501,20562,20631,20669,20686,20765,20859,20911,20972,21076,21162,21330,21542,21687,21781,21817,21963,22110,22243,22348,22456,22589,22729,23086,23409,23572,23704,23824,23864,23912,24019,24094,24136,24168,24161,24315,24454,24536,24609,24583,24513,24490,24392,24278,24165,24075,23977,23935,23938,23766,23649,23530,23424,23270,23103,22970,22827,22656,22549,22439,22325,22182,21968,21871,21764,21594,21429,21281,21156,21042,20896,20818,20742,20613,20525,20403,20269,20129,20049,19914,19791,19636,19575,19418,19366,19245,19199,19039,19005,18900,18848,18735,18735,18632,18606,18517,18479,18440,18373,18325,18301,18206,18196,18249,18177,18171,18171,18134,18164,18186,18092,18111,18196,18101,18090,18102,18130,18159,18153,18160,18192,18168,18186,18259,18217,18229,18251,18283,18278,18278,18307,18297,18118,18240,18364,18491,18538,18605,18655,18731,18862,18917,18970,19016,19113,19230,19403,19495,19601,19588,19671,19870,20084,20315,20493,20637,20798,20950,21165,21403,21599,21813,21982,22149,22406,22564,22758,22709,22838,23018,23207,23425,23604,23774,23902,24033,24224,24428,24577,24725,24866,24970,25050,25290,25502,25713,25884,26001,26061,26154,26219,26281,26261,26271,26267,26226,26199,26107,26056,25997,25928,25865,25814,25827,25849,25755,25702,25625,25551,25437,25347,25216,25104,24973,24851,24685,24515,24374,24216,24068,23964,23812,23681,23525,23392,23297,23212,23047,22879,22761,22731,22651,22606,22420,22349,22288,22159,22049,
Day-ahead net forecast,16185,15467,15467,15467,15467,15467,15467,15467,15467,15467,15467,15467,15467,14944,14944,14944,14944,14944,14944,14944,14944,14944,14944,14944,14944,14614,14614,14614,14614,14614,14614,14614,14614,14614,14614,14614,14614,14610,14610,14610,14610,14610,14610,14610,14610,14610,14610,14610,14610,15222,15222,15222,15222,15222,15222,15222,15222,15222,15222,15222,15222,16619,16619,16619,16619,16619,16619,16619,16619,16619,16619,16619,16619,18282,18282,18282,18282,18282,18282,18282,18282,18282,18282,18282,18282,14715,14715,14715,14715,14715,14715,14715,14715,14715,14715,14715,14715,7887,7887,7887,7887,7887,7887,7887,7887,7887,7887,7887,7887,4120,4120,4120,4120,4120,4120,4120,4120,4120,4120,4120,4120,2069,2069,2069,2069,2069,2069,2069,2069,2069,2069,2069,2069,575,575,575,575,575,575,575,575,575,575,575,575,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-97,-508,-508,-508,-508,-508,-508,-508,-508,-508,-508,-508,-508,-509,-509,-509,-509,-509,-509,-509,-509,-509,-509,-509,-509,323,323,323,323,323,323,323,323,323,323,323,323,2554,2554,2554,2554,2554,2554,2554,2554,2554,2554,2554,2554,7403,7403,7403,7403,7403,7403,7403,7403,7403,7403,7403,7403,16073,16073,16073,16073,16073,16073,16073,16073,16073,16073,16073,16073,19957,19957,19957,19957,19957,19957,19957,19957,19957,19957,19957,19957,20434,20434,20434,20434,20434,20434,20434,20434,20434,20434,20434,20434,19657,19657,19657,19657,19657,19657,19657,19657,19657,19657,19657,19657,18130,18130,18130,18130,18130,18130,18130,18130,18130,18130,18130,18130,16711,16711,16711,16711,16711,16711,16711,16711,16711,16711,16711,16711
Demand response event,Net demand,18037,18037,18073,17955,17835,17797,17726,17716,17600,17514,17406,17272,17200,17137,17114,17055,17020,16935,16877,16853,16859,16895,16909,16879,16879,16915,16880,16858,16919,16901,16818,16639,16593,16580,16565,16529,16551,16559,16536,16527,16541,16561,16616,16649,16654,16682,16692,16701,16733,16810,16922,16969,17061,17106,17098,17159,17231,17309,17322,17461,17550,17677,17946,18119,18220,18292,18387,18488,18669,18778,18912,19024,19097,19342,19754,19957,20097,20181,20201,20158,20112,19950,19761,19603,19259,18857,18534,18095,17691,16954,16264,15760,15288,14545,13886,13523,12954,12414,12121,11808,11363,10802,10485,10514,10735,10443,9886,9593,9591,8611,7998,7795,7926,8097,8134,8090,7879,7759,7793,7735,7750,7635,7467,7347,7153,7109,6953,6207,5954,6056,6676,6830,6789,6420,6087,6142,6189,6162,6053,6062,5960,5931,5795,6044,5927,5358,4962,4960,5796,6001,6027,6149,6209,6235,6126,6106,6153,5588,5338,5033,5775,5893,5999,6160,6083,6208,6143,6022,6057,6002,5875,5811,5207,5042,5137,5678,5864,5804,5734,5693,5642,5350,5087,5077,5005,5214,5469,5683,5740,5961,5870,6095,6073,6078,6186,6535,6917,6848,6831,6678,6708,6950,7705,8034,8267,8250,8431,8935,10268,10788,10243,10019,9987,10050,10236,10469,10961,11417,11994,12659,13220,13888,14632,15340,16065,16666,17354,17942,18487,18922,19291,19637,19768,20021,20290,20517,20726,20845,20868,20915,21043,21108,21189,21242,21266,21276,21305,21318,21233,21177,21122,21060,21034,21118,21242,21261,21247,21278,21229,21124,20973,20808,20663,20592,20543,20419,20266,20153,20100,20026,20043,19999,19887,19809,19715,19603,19497,19356,19266,19165,19135,19104,19055,18939,18829,18815,18718,18618,
