Net Demand 04/25/2022undefined,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour-ahead forecast,20919,20667,20667,20667,20468,20468,20468,20189,20189,20189,19972,19972,19972,19790,19790,19790,19633,19633,19633,19449,19449,19449,19353,19353,19353,19274,19274,19274,19152,19152,19152,19050,19050,19050,19042,19042,19042,19015,19015,19015,19040,19040,19040,19043,19043,19043,19219,19219,19219,19330,19330,19330,19456,19456,19456,19670,19670,19670,20050,20050,20050,20439,20439,20439,20762,20762,20762,21052,21052,21052,21590,21590,21590,21955,21955,21955,22099,22099,22099,22348,22348,22348,22612,22612,22612,22898,22898,22898,22955,22955,22955,22738,22738,22738,22712,22712,22712,22665,22665,22665,22407,22407,22407,22215,22215,22215,22054,22054,22054,21861,21861,21861,21719,21719,21719,21424,21424,21424,21288,21288,21288,21135,21135,21135,21097,21097,21097,21105,21105,21105,21013,21013,21013,20978,20978,20978,20947,20947,20947,20850,20850,20850,20848,20848,20848,20885,20885,20885,20935,20935,20935,21064,21064,21064,21222,21222,21222,21325,21325,21325,21501,21501,21501,21708,21708,21708,21802,21802,21802,22025,22025,22025,22250,22250,22250,22409,22409,22409,22673,22673,22673,22961,22961,22961,23155,23155,23155,23580,23580,23580,23873,23873,23873,24280,24280,24280,24599,24599,24599,25130,25130,25130,25431,25431,25431,25852,25852,25852,26158,26158,26158,26792,26792,26792,27157,27157,27157,27472,27472,27472,27744,27744,27744,27798,27798,27798,27814,27814,27814,28020,28020,28020,28326,28326,28326,28408,28408,28408,28379,28379,28379,28352,28352,28352,28117,28117,28117,27831,27831,27831,27499,27499,27499,27178,27178,27178,26967,26967,26967,26572,26572,26572,26057,26057,26057,25619,25619,25619,25253,25253,25253,24628,24628,24628,24121,24121,24121,23535,23535,23535,23192,23192,23192,22797,22797,22797,22485,22485,22485
Demand,20865,20876,20804,20701,20625,20559,20473,20403,20313,20239,20153,20062,20031,19994,19905,19841,19779,19719,19667,19630,19573,19545,19504,19435,19413,19397,19353,19316,19279,19259,19204,19175,19160,19122,19098,19074,19056,19077,19155,19102,19081,19070,19081,19094,19085,19092,19078,19057,19096,19184,19286,19355,19414,19503,19498,19544,19656,19689,19742,19806,19871,20061,20277,20413,20522,20604,20691,20786,20891,21016,21133,21265,21314,21471,21727,21897,22004,22067,22109,22149,22275,22344,22423,22519,22567,22745,22868,22913,22945,22932,22886,22880,22890,22842,22779,22763,22738,22780,22871,22866,22825,22712,22620,22523,22444,22358,22246,22166,22119,22084,22052,21988,21887,21807,21766,21670,21628,21517,21447,21394,21335,21303,21294,21273,21254,21224,21160,21113,21054,21025,21001,20996,20980,20932,20895,20873,20809,20823,20791,20777,20786,20770,20808,20776,20802,20803,20824,20858,20886,20907,20899,20894,20967,20989,20973,21065,21090,21119,21182,21228,21301,21371,21430,21467,21426,21479,21614,21673,21688,21776,21798,21935,22015,22007,22104,22149,22218,22286,22399,22555,22597,22638,22650,22782,22946,23076,23217,23345,23433,23541,23698,23849,24012,23922,23968,24119,24351,24533,24578,24738,24852,25038,25188,25359,25459,25329,25369,25577,25870,26084,26283,26454,26640,26815,26999,27166,27236,27216,27242,27369,27427,27488,27634,27659,27706,27792,27811,27909,27981,28002,28005,28033,28098,28037,28027,28109,28136,28183,28279,28354,28380,28371,28360,28333,28317,28273,28209,28116,27950,27815,27708,27588,27445,27509,27616,27536,27437,27282,27144,26990,26861,26722,26581,26413,26248,26116,25950,25783,25544,25364,25227,25079,24919,24736,24502,24269,24150,24079,23915,23750,23566,23511,23292,23168,23009,22857,22718,22604,22485
Day-ahead net forecast,19225,18384,18384,18384,18384,18384,18384,18384,18384,18384,18384,18384,18384,17733,17733,17733,17733,17733,17733,17733,17733,17733,17733,17733,17733,17476,17476,17476,17476,17476,17476,17476,17476,17476,17476,17476,17476,17405,17405,17405,17405,17405,17405,17405,17405,17405,17405,17405,17405,17839,17839,17839,17839,17839,17839,17839,17839,17839,17839,17839,17839,19102,19102,19102,19102,19102,19102,19102,19102,19102,19102,19102,19102,19664,19664,19664,19664,19664,19664,19664,19664,19664,19664,19664,19664,14667,14667,14667,14667,14667,14667,14667,14667,14667,14667,14667,14667,9200,9200,9200,9200,9200,9200,9200,9200,9200,9200,9200,9200,7071,7071,7071,7071,7071,7071,7071,7071,7071,7071,7071,7071,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6020,6037,6037,6037,6037,6037,6037,6037,6037,6037,6037,6037,6037,6405,6405,6405,6405,6405,6405,6405,6405,6405,6405,6405,6405,7365,7365,7365,7365,7365,7365,7365,7365,7365,7365,7365,7365,8411,8411,8411,8411,8411,8411,8411,8411,8411,8411,8411,8411,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,10120,12494,12494,12494,12494,12494,12494,12494,12494,12494,12494,12494,12494,16393,16393,16393,16393,16393,16393,16393,16393,16393,16393,16393,16393,22987,22987,22987,22987,22987,22987,22987,22987,22987,22987,22987,22987,26280,26280,26280,26280,26280,26280,26280,26280,26280,26280,26280,26280,26219,26219,26219,26219,26219,26219,26219,26219,26219,26219,26219,26219,24677,24677,24677,24677,24677,24677,24677,24677,24677,24677,24677,24677,22524,22524,22524,22524,22524,22524,22524,22524,22524,22524,22524,22524,20675,20675,20675,20675,20675,20675,20675,20675,20675,20675,20675,20675
Demand response event,Net demand,18946,18938,18923,18758,18666,18559,18505,18421,18334,18252,18182,18123,18048,18083,18039,17980,17899,17812,17730,17665,17610,17560,17481,17381,17297,17258,17198,17154,17121,17069,17030,17021,17047,17048,17044,17015,16982,16960,17021,16964,16945,16937,16993,17025,17084,17102,17124,17121,17153,17247,17407,17509,17600,17673,17662,17590,17657,17674,17731,17788,17884,18049,18329,18504,18642,18729,18782,18857,18943,19071,19196,19360,19437,19596,19862,20018,20086,20044,19936,19744,19602,19326,18973,18596,18131,17763,17526,17004,16518,15937,15396,14843,14323,13723,13129,12538,12085,11699,11283,10998,10553,10222,9914,9647,9466,9260,9068,8887,8743,8572,8503,8385,8177,8059,7777,7565,7447,7371,7301,7212,7136,7069,7068,7155,7026,6806,6630,6492,6533,6468,6447,6430,6390,6421,6390,6321,6260,6313,6295,6258,6284,6246,6251,6263,6383,6200,6093,6094,6130,6071,6045,6060,6036,6036,6125,6230,6347,6268,6364,6424,6495,6626,6784,6903,6909,6980,7037,6997,7066,7098,7069,7145,7328,7293,7358,7544,7714,7952,8116,8189,8229,8312,8458,8483,8550,8624,8779,8974,9096,9415,9645,9848,10060,10154,10280,10762,11083,11615,11883,11905,11903,12092,12409,12808,13250,13375,13518,13838,14348,15071,15586,15902,16053,16664,17331,18030,18837,19396,19745,20476,21261,21749,22285,22719,23241,23786,24304,24796,25177,25525,25707,25824,25956,26019,25923,26007,26013,26087,26237,26339,26387,26411,26437,26383,26330,26239,26140,26077,25934,25781,25658,25487,25320,25259,25354,25294,25238,25072,24889,24722,24567,24436,24256,24103,23941,23745,23564,23361,23174,22929,22719,22629,22462,22305,22109,21887,21682,21625,21531,21387,21249,21133,20996,20815,20654,20465,20358,20210,20082
