Net Demand 04/11/2022undefined,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour-ahead forecast,20765,20607,20607,20607,20455,20455,20455,20279,20279,20279,19969,19969,19969,19781,19781,19781,19637,19637,19637,19445,19445,19445,19350,19350,19350,19281,19281,19281,19189,19189,19189,19098,19098,19098,19089,19089,19089,19082,19082,19082,19051,19051,19051,19059,19059,19059,19182,19182,19182,19352,19352,19352,19514,19514,19514,19610,19610,19610,20106,20106,20106,20490,20490,20490,20833,20833,20833,21218,21218,21218,21816,21816,21816,22247,22247,22247,22553,22553,22553,22782,22782,22782,23141,23141,23141,23384,23384,23384,23483,23483,23483,23521,23521,23521,23625,23625,23625,23743,23743,23743,23798,23798,23798,23854,23854,23854,24077,24077,24077,24073,24073,24073,24001,24001,24001,23847,23847,23847,23618,23618,23618,23482,23482,23482,23462,23462,23462,23270,23270,23270,23033,23033,23033,22836,22836,22836,22638,22638,22638,22260,22260,22260,22002,22002,22002,21749,21749,21749,21453,21453,21453,21240,21240,21240,21021,21021,21021,20957,20957,20957,20861,20861,20861,20773,20773,20773,20709,20709,20709,20541,20541,20541,20488,20488,20488,20530,20530,20530,20715,20715,20715,20658,20658,20658,20707,20707,20707,20854,20854,20854,20963,20963,20963,21035,21035,21035,21440,21440,21440,21817,21817,21817,21895,21895,21895,22276,22276,22276,22693,22693,22693,23239,23239,23239,23590,23590,23590,23986,23986,23986,24408,24408,24408,24660,24660,24660,25067,25067,25067,25506,25506,25506,25988,25988,25988,26273,26273,26273,26313,26313,26313,26292,26292,26292,26077,26077,26077,25835,25835,25835,25724,25724,25724,25543,25543,25543,25342,25342,25342,25001,25001,25001,24651,24651,24651,24341,24341,24341,23913,23913,23913,23480,23480,23480,23062,23062,23062,22622,22622,22622,22370,22370,22370,22061,22061,22061,21797,21797,21797
Demand,20778,20808,20776,20728,20681,20595,20526,20460,20181,20131,20038,19991,19940,19920,19873,19801,19738,19701,19644,19587,19543,19501,19472,19423,19379,19370,19375,19317,19279,19263,19244,19209,19186,19157,19122,19108,19093,19062,19089,19079,19070,19065,19043,19058,19060,19069,19073,19094,19116,19254,19269,19361,19355,19328,19463,19608,19679,19732,19788,19889,19952,20147,20351,20484,20593,20693,20787,20881,21036,21117,21210,21312,21421,21741,22051,22183,22317,22421,22437,22565,22654,22713,22806,22842,22933,23094,23239,23347,23394,23443,23453,23453,23496,23546,23549,23590,23712,23786,23898,23932,23984,23921,24197,24177,24113,24128,24103,24103,24079,24164,24183,24135,24141,24077,23985,23882,23836,23774,23747,23687,23614,23650,23707,23631,23532,23502,23422,23314,23226,23166,23122,23032,22960,22836,22786,22780,22599,22472,22350,22299,22146,22070,21981,21898,21848,21682,21599,21558,21458,21375,21273,21175,21089,21081,21037,21004,21025,20994,20926,20867,20795,20771,20774,20691,20657,20599,20554,20532,20448,20442,20441,20444,20465,20438,20417,20437,20469,20478,20466,20456,20464,20406,20397,20411,20522,20546,20564,20609,20645,20671,20724,20782,20798,20883,20964,21096,21217,21281,21289,21400,21443,21539,21669,21813,21874,21971,22105,22239,22436,22585,22720,22918,23103,23248,23433,23607,23717,23666,23678,23879,23994,24157,24309,24436,24550,24701,24799,24903,24978,25149,25231,25381,25483,25650,25777,25911,26045,26138,26226,26278,26290,26272,26305,26255,26226,26182,26144,26086,26042,25962,25881,25816,25738,25772,25749,25700,25616,25525,25460,25351,25257,25170,25065,24963,24796,24628,24502,24380,24201,24077,23949,23809,23678,23516,23402,23277,23154,23027,22922,22845,22710,22592,22436,22335,22242,22112,22052,21942,
Day-ahead net forecast,15515,14608,14608,14608,14608,14608,14608,14608,14608,14608,14608,14608,14608,14280,14280,14280,14280,14280,14280,14280,14280,14280,14280,14280,14280,13956,13956,13956,13956,13956,13956,13956,13956,13956,13956,13956,13956,13885,13885,13885,13885,13885,13885,13885,13885,13885,13885,13885,13885,14328,14328,14328,14328,14328,14328,14328,14328,14328,14328,14328,14328,15585,15585,15585,15585,15585,15585,15585,15585,15585,15585,15585,15585,17126,17126,17126,17126,17126,17126,17126,17126,17126,17126,17126,17126,13812,13812,13812,13812,13812,13812,13812,13812,13812,13812,13812,13812,8173,8173,8173,8173,8173,8173,8173,8173,8173,8173,8173,8173,6069,6069,6069,6069,6069,6069,6069,6069,6069,6069,6069,6069,4879,4879,4879,4879,4879,4879,4879,4879,4879,4879,4879,4879,4250,4250,4250,4250,4250,4250,4250,4250,4250,4250,4250,4250,4032,4032,4032,4032,4032,4032,4032,4032,4032,4032,4032,4032,3819,3819,3819,3819,3819,3819,3819,3819,3819,3819,3819,3819,3894,3894,3894,3894,3894,3894,3894,3894,3894,3894,3894,3894,4721,4721,4721,4721,4721,4721,4721,4721,4721,4721,4721,4721,6337,6337,6337,6337,6337,6337,6337,6337,6337,6337,6337,6337,10056,10056,10056,10056,10056,10056,10056,10056,10056,10056,10056,10056,16615,16615,16615,16615,16615,16615,16615,16615,16615,16615,16615,16615,19867,19867,19867,19867,19867,19867,19867,19867,19867,19867,19867,19867,20088,20088,20088,20088,20088,20088,20088,20088,20088,20088,20088,20088,19160,19160,19160,19160,19160,19160,19160,19160,19160,19160,19160,19160,17635,17635,17635,17635,17635,17635,17635,17635,17635,17635,17635,17635,16185,16185,16185,16185,16185,16185,16185,16185,16185,16185,16185,16185
Demand response event,Net demand,16147,16095,16060,15961,15930,15868,15796,15726,15542,15460,15396,15361,15345,15332,15298,15213,15101,15077,15050,14979,14987,14942,14955,15021,15030,15057,15111,15110,15082,15008,15046,14993,14979,15029,15038,15048,15052,15021,15057,15077,15089,15133,15175,15190,15195,15200,15195,15168,15197,15322,15473,15553,15640,15578,15706,15938,16064,16132,16160,16247,16331,16456,16711,16898,17037,17205,17298,17418,17569,17629,17708,17748,17811,17976,18297,18513,18669,18804,18844,18852,18891,18756,18558,18312,17896,17537,17243,16830,16291,15814,15297,14853,14367,13761,13275,12833,12229,11642,11263,10824,10487,10177,9798,9993,9863,9747,9445,9065,8872,8695,8729,8623,8632,8480,8293,8426,8380,8441,8417,8292,8056,8053,8165,8038,7985,7926,7840,7741,7562,7448,7357,7240,7088,6948,6785,6480,6147,5914,5942,5654,5495,5495,5488,5624,5555,5259,5184,4978,4639,4712,4739,4738,4981,4825,4630,4459,4489,4369,4466,4412,4290,4260,4340,4370,4388,4467,4526,4610,4425,4399,4230,4061,4063,3986,3984,4036,4090,4156,4188,4337,4374,4379,4248,4206,4427,4531,4310,4451,4471,4587,4738,4843,4939,5188,5441,5559,5964,6345,6378,6638,7155,7383,7578,7893,8309,8045,8320,8372,8686,8844,9375,9960,10328,10832,11424,12131,12805,13611,14178,14978,15689,16343,16974,17624,18154,18617,19090,19515,19853,20349,20678,20867,21018,21197,21326,21446,21603,21700,21698,21727,21749,21769,21697,21662,21575,21400,21404,21424,21396,21418,21471,21474,21408,21416,21362,21264,21228,21094,21138,21031,21064,21076,21050,20775,20560,20265,20112,19929,19870,19842,19872,19803,19712,19552,19398,19331,19241,19062,18930,18897,18827,18605,18538,18445,18356,18240,18094,18093,
