Net Demand 04/21/2022undefined,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour-ahead forecast,21870,21706,21706,21706,21481,21481,21481,21238,21238,21238,20996,20996,20996,20840,20840,20840,20644,20644,20644,20548,20548,20548,20416,20416,20416,20324,20324,20324,20206,20206,20206,20087,20087,20087,20050,20050,20050,19996,19996,19996,19982,19982,19982,19993,19993,19993,20108,20108,20108,20235,20235,20235,20271,20271,20271,20370,20370,20370,20687,20687,20687,20990,20990,20990,21320,21320,21320,21606,21606,21606,22230,22230,22230,22595,22595,22595,22761,22761,22761,22918,22918,22918,23261,23261,23261,23340,23340,23340,23250,23250,23250,23192,23192,23192,23080,23080,23080,22914,22914,22914,22691,22691,22691,22547,22547,22547,22393,22393,22393,22276,22276,22276,22214,22214,22214,22004,22004,22004,21738,21738,21738,21493,21493,21493,21315,21315,21315,21152,21152,21152,20945,20945,20945,20905,20905,20905,20761,20761,20761,20609,20609,20609,20375,20375,20375,20268,20268,20268,20511,20511,20511,20523,20523,20523,20719,20719,20719,20713,20713,20713,20706,20706,20706,20695,20695,20695,20565,20565,20565,20612,20612,20612,20586,20586,20586,20686,20686,20686,20739,20739,20739,20996,20996,20996,21224,21224,21224,21521,21521,21521,21722,21722,21722,22001,22001,22001,22404,22404,22404,22618,22618,22618,22815,22815,22815,22870,22870,22870,23215,23215,23215,23650,23650,23650,23773,23773,23773,24088,24088,24088,24284,24284,24284,24541,24541,24541,24771,24771,24771,25079,25079,25079,25523,25523,25523,25877,25877,25877,26125,26125,26125,26183,26183,26183,25887,25887,25887,25598,25598,25598,25479,25479,25479,25317,25317,25317,25060,25060,25060,24754,24754,24754,24370,24370,24370,23948,23948,23948,23589,23589,23589,23258,23258,23258,22847,22847,22847,22509,22509,22509,22198,22198,22198,21883,21883,21883,21639,21639,21639
Demand,21811,21884,21816,21766,21670,21606,21515,21428,21377,21263,21171,21123,21032,20956,20911,20870,20873,20802,20737,20710,20639,20597,20536,20483,20451,20394,20360,20330,20283,20243,20214,20169,20151,20095,20078,20030,20005,20029,20047,20025,20017,20009,19966,20008,19990,19994,19998,20002,19994,19960,19984,19996,20067,20090,20117,20176,20250,20287,20330,20360,20434,20651,20821,20947,21062,21129,21182,21323,21456,21572,21672,21776,21902,22192,22447,22555,22625,22680,22713,22765,22872,22915,22918,22998,23032,23120,23350,23342,23355,23332,23296,23247,23164,23136,23075,22961,22946,23006,23105,23048,23032,22958,22888,22832,22763,22656,22644,22559,22489,22545,22543,22425,22425,22326,22216,22139,22143,22010,21872,21815,21747,21712,21674,21588,21580,21515,21411,21369,21239,21174,21172,21174,21161,21032,21008,20953,20935,20852,20707,20690,20702,20563,20452,20567,20510,20512,20591,20619,20599,20634,20577,20684,20683,20662,20680,20698,20714,20692,20709,20728,20696,20690,20655,20588,20575,20553,20577,20571,20593,20518,20460,20462,20508,20524,20582,20497,20552,20578,20718,20812,20828,20794,20836,20909,20979,21100,21181,21246,21320,21326,21499,21583,21694,21734,21804,21936,22049,22069,22164,22223,22337,22450,22431,22405,22443,22490,22741,22860,22942,23032,23146,23234,23365,23512,23596,23699,23794,23754,23809,23905,24049,24175,24314,24367,24463,24543,24628,24740,24760,24875,24984,25073,25165,25276,25383,25517,25673,25816,25913,25976,25934,25976,26012,25983,25968,25931,25853,25829,25798,25701,25627,25563,25490,25511,25576,25498,25403,25324,25242,25131,25056,24906,24734,24621,24510,24354,24191,24113,24017,23882,23792,23670,23549,23379,23240,23133,23036,22890,22807,22620,22494,22407,22314,22197,22117,21999,21914,21835,21702
Day-ahead net forecast,18671,17608,17608,17608,17608,17608,17608,17608,17608,17608,17608,17608,17608,16304,16304,16304,16304,16304,16304,16304,16304,16304,16304,16304,16304,15887,15887,15887,15887,15887,15887,15887,15887,15887,15887,15887,15887,15735,15735,15735,15735,15735,15735,15735,15735,15735,15735,15735,15735,16161,16161,16161,16161,16161,16161,16161,16161,16161,16161,16161,16161,17490,17490,17490,17490,17490,17490,17490,17490,17490,17490,17490,17490,18554,18554,18554,18554,18554,18554,18554,18554,18554,18554,18554,18554,14945,14945,14945,14945,14945,14945,14945,14945,14945,14945,14945,14945,9931,9931,9931,9931,9931,9931,9931,9931,9931,9931,9931,9931,7871,7871,7871,7871,7871,7871,7871,7871,7871,7871,7871,7871,6441,6441,6441,6441,6441,6441,6441,6441,6441,6441,6441,6441,5568,5568,5568,5568,5568,5568,5568,5568,5568,5568,5568,5568,5292,5292,5292,5292,5292,5292,5292,5292,5292,5292,5292,5292,5208,5208,5208,5208,5208,5208,5208,5208,5208,5208,5208,5208,5541,5541,5541,5541,5541,5541,5541,5541,5541,5541,5541,5541,6515,6515,6515,6515,6515,6515,6515,6515,6515,6515,6515,6515,8387,8387,8387,8387,8387,8387,8387,8387,8387,8387,8387,8387,11743,11743,11743,11743,11743,11743,11743,11743,11743,11743,11743,11743,18105,18105,18105,18105,18105,18105,18105,18105,18105,18105,18105,18105,21969,21969,21969,21969,21969,21969,21969,21969,21969,21969,21969,21969,22650,22650,22650,22650,22650,22650,22650,22650,22650,22650,22650,22650,21947,21947,21947,21947,21947,21947,21947,21947,21947,21947,21947,21947,20493,20493,20493,20493,20493,20493,20493,20493,20493,20493,20493,20493,19035,19035,19035,19035,19035,19035,19035,19035,19035,19035,19035,19035
Demand response event,Net demand,17416,17428,17407,17384,17291,17253,17194,17158,17158,17094,16995,16948,16896,16783,16784,16673,16613,16520,16370,16232,16141,16096,15981,15925,15927,15859,15909,15908,15895,15907,15879,15837,15810,15778,15746,15647,15558,15536,15482,15445,15388,15354,15326,15341,15337,15288,15280,15238,15246,15249,15251,15315,15408,15543,15649,15732,15912,16012,16116,16222,16358,16584,16896,17073,17218,17331,17248,17207,17268,17399,17637,17850,18058,18344,18759,18963,19038,19012,18893,18712,18594,18424,18160,17856,17425,17028,16765,16262,15543,14907,14313,13770,13123,12552,12363,12504,12409,11546,11163,10841,10803,10756,10613,10652,10622,10650,10742,10718,10455,10223,9819,9652,9552,9567,9351,9293,9154,9082,8872,8749,8630,8229,7967,8100,8099,7879,7645,7349,7201,7141,7046,6992,6848,6775,6408,6345,6371,6378,6339,6439,6478,6430,6405,6507,6593,6267,6284,6474,6306,6379,6509,6320,6158,6324,6503,6601,6617,6354,6148,6103,6214,6096,5945,5915,6013,6049,6219,6357,6285,5937,5917,5888,6159,6304,5956,6017,5918,6017,6298,6501,6611,6835,6775,6968,7133,7133,7244,7440,7770,7759,7904,8302,8435,8572,8430,8757,8830,8976,9072,9610,9919,9919,10503,10867,11196,11378,11582,11983,12562,12862,13076,13383,13552,14103,14555,15005,15517,15929,16280,16879,17485,18030,18388,18603,18882,19335,19682,20072,20387,20534,20757,21006,21372,21637,21813,21954,22033,22205,22264,22270,22209,22155,22176,22110,22073,22077,22033,21989,21958,21935,21860,21858,21777,21802,21873,21844,21753,21628,21531,21399,21324,21211,20994,20844,20741,20712,20627,20721,20781,20669,20540,20417,20275,20145,19976,19866,19782,19677,19641,19571,19486,19463,19405,19316,19189,19075,18912,18807,18722
