Net Demand 04/26/2022undefined,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour-ahead forecast,22485,22250,22250,22250,21874,21874,21874,21608,21608,21608,21342,21342,21342,21149,21149,21149,21078,21078,21078,20881,20881,20881,20743,20743,20743,20597,20597,20597,20437,20437,20437,20307,20307,20307,20253,20253,20253,20204,20204,20204,20100,20100,20100,20113,20113,20113,20193,20193,20193,20257,20257,20257,20355,20355,20355,20539,20539,20539,20947,20947,20947,21258,21258,21258,21496,21496,21496,21762,21762,21762,22267,22267,22267,22607,22607,22607,22736,22736,22736,22878,22878,22878,23174,23174,23174,23366,23366,23366,23487,23487,23487,23208,23208,23208,23196,23196,23196,23024,23024,23024,22964,22964,22964,22714,22714,22714,22603,22603,22603,22391,22391,22391,22172,22172,22172,21787,21787,21787,21539,21539,21539,21485,21485,21485,21012,21012,21012,20843,20843,20843,20896,20896,20896,20783,20783,20783,20649,20649,20649,20600,20600,20600,20611,20611,20611,20704,20704,20704,20826,20826,20826,20966,20966,20966,20949,20949,20949,21232,21232,21232,21166,21166,21166,21361,21361,21361,21509,21509,21509,21687,21687,21687,22035,22035,22035,22054,22054,22054,22229,22229,22229,22536,22536,22536,22840,22840,22840,23040,23040,23040,23112,23112,23112,23794,23794,23794,24293,24293,24293,24772,24772,24772,24919,24919,24919,25177,25177,25177,25460,25460,25460,25675,25675,25675,25917,25917,25917,26126,26126,26126,26384,26384,26384,26625,26625,26625,26739,26739,26739,26951,26951,26951,27359,27359,27359,27691,27691,27691,27794,27794,27794,27845,27845,27845,27644,27644,27644,27278,27278,27278,26873,26873,26873,26779,26779,26779,26607,26607,26607,26314,26314,26314,25807,25807,25807,25419,25419,25419,24807,24807,24807,24241,24241,24241,23675,23675,23675,23334,23334,23334,23028,23028,23028,22638,22638,22638,22336,22336,22336
Demand,22485,22341,22322,22200,22139,22044,21952,21866,21761,21680,21568,21526,21485,21490,21457,21378,21297,21207,21104,21083,21040,20942,20892,20821,20788,20728,20687,20635,20598,20528,20487,20440,20417,20354,20332,20298,20246,20234,20211,20224,20205,20199,20178,20127,20078,20101,20082,20079,20096,20136,20234,20264,20318,20335,20430,20509,20545,20579,20612,20692,20715,20782,20951,21054,21142,21260,21344,21452,21511,21638,21709,21877,21966,22261,22513,22610,22641,22694,22695,22764,22804,22858,22904,22937,23035,23285,23454,23473,23447,23417,23379,23408,23371,23338,23274,23175,23184,23229,23399,23352,23289,23258,23155,23082,22997,22927,22825,22774,22681,22605,22491,22478,22365,22237,22136,21946,21864,21790,21833,21755,21627,21492,21367,21199,21144,21074,21232,21212,21196,21142,21040,20941,20900,20754,20713,20696,20634,20668,20673,20649,20682,20668,20700,20703,20708,20736,20788,20829,20837,20819,20776,20774,20811,20828,20852,20894,20867,20893,21003,21032,21100,21114,21128,21216,21281,21270,21403,21490,21480,21597,21647,21680,21698,21722,21716,21727,21839,21923,22097,22178,22262,22300,22362,22514,22567,22512,22505,22564,22724,23073,23150,23362,23503,23527,23645,23714,23863,23978,24117,24229,24285,24427,24569,24713,24799,24667,24733,24871,24985,25065,25241,25378,25457,25599,25681,25812,25932,25851,25862,26016,26155,26268,26400,26441,26491,26562,26622,26702,26783,26900,26963,26999,27122,27216,27287,27375,27430,27538,27695,27750,27771,27741,27777,27815,27728,27657,27457,27344,27253,27162,27133,27145,27061,27090,27136,27087,27016,26967,26853,26697,26596,26476,26350,26214,26082,25804,25475,25294,25152,24987,24855,24602,24442,24311,24167,24058,23983,23835,23726,23578,23430,23237,23050,22899,22793,22670,22760,22661,22507
Day-ahead net forecast,20675,18716,18716,18716,18716,18716,18716,18716,18716,18716,18716,18716,18716,17579,17579,17579,17579,17579,17579,17579,17579,17579,17579,17579,17579,17076,17076,17076,17076,17076,17076,17076,17076,17076,17076,17076,17076,16963,16963,16963,16963,16963,16963,16963,16963,16963,16963,16963,16963,17429,17429,17429,17429,17429,17429,17429,17429,17429,17429,17429,17429,18712,18712,18712,18712,18712,18712,18712,18712,18712,18712,18712,18712,19541,19541,19541,19541,19541,19541,19541,19541,19541,19541,19541,19541,15525,15525,15525,15525,15525,15525,15525,15525,15525,15525,15525,15525,11250,11250,11250,11250,11250,11250,11250,11250,11250,11250,11250,11250,9397,9397,9397,9397,9397,9397,9397,9397,9397,9397,9397,9397,8203,8203,8203,8203,8203,8203,8203,8203,8203,8203,8203,8203,7642,7642,7642,7642,7642,7642,7642,7642,7642,7642,7642,7642,7288,7288,7288,7288,7288,7288,7288,7288,7288,7288,7288,7288,7752,7752,7752,7752,7752,7752,7752,7752,7752,7752,7752,7752,8484,8484,8484,8484,8484,8484,8484,8484,8484,8484,8484,8484,9807,9807,9807,9807,9807,9807,9807,9807,9807,9807,9807,9807,11663,11663,11663,11663,11663,11663,11663,11663,11663,11663,11663,11663,14690,14690,14690,14690,14690,14690,14690,14690,14690,14690,14690,14690,20153,20153,20153,20153,20153,20153,20153,20153,20153,20153,20153,20153,23237,23237,23237,23237,23237,23237,23237,23237,23237,23237,23237,23237,23587,23587,23587,23587,23587,23587,23587,23587,23587,23587,23587,23587,22383,22383,22383,22383,22383,22383,22383,22383,22383,22383,22383,22383,20456,20456,20456,20456,20456,20456,20456,20456,20456,20456,20456,20456,18610,18610,18610,18610,18610,18610,18610,18610,18610,18610,18610,18610
Demand response event,Net demand,20082,19897,19890,19756,19704,19622,19489,19403,19303,19179,19060,19003,18951,18958,19039,18929,18847,18681,18482,18402,18298,18241,18181,18125,18057,18000,17928,17865,17814,17730,17649,17587,17492,17409,17345,17361,17302,17264,17268,17323,17335,17313,17266,17250,17264,17259,17227,17204,17191,17217,17329,17400,17472,17472,17550,17678,17766,17826,17873,17950,18036,18058,18184,18327,18450,18621,18716,18869,18974,19111,19171,19308,19425,19673,19964,20101,20063,19955,19772,19574,19413,19159,18825,18516,18275,17905,17684,17183,16630,16302,15800,15400,15214,14958,14345,14332,14530,14188,13911,13345,13055,12626,12379,11726,11462,11289,11137,10897,10661,10189,9845,9552,9372,9245,9340,9150,8873,8898,8827,9224,9700,9585,9156,8856,8555,8163,8307,8447,8770,8977,8905,9089,8897,7614,7199,7134,7260,7272,7250,7491,7456,7307,7079,7001,7389,7375,7099,7139,6804,7126,7394,7647,7731,7328,7003,7067,7375,7400,7275,7395,7163,7414,7429,7634,7657,7579,8341,8364,8621,8722,8641,8264,8400,8404,8482,8801,9089,9272,9417,9468,9824,10236,9891,9728,9633,9434,9557,9541,10360,11107,11320,11266,11436,11856,12082,12290,12193,11939,11989,12600,12705,12742,12970,13450,13986,13508,13217,13442,14029,14137,14169,14738,15202,15438,15735,16417,16767,17278,17523,17753,18102,18622,19242,19559,19981,20262,20540,20777,21082,21372,21644,21832,22071,22359,22538,22676,22832,22869,22968,23038,22995,22915,22906,22950,22942,22956,22981,22745,22668,22550,22481,22552,22473,22445,22599,22555,22454,22434,22340,22233,22071,21939,21743,21570,21397,21268,20912,20736,20612,20500,20427,20278,20110,19924,19671,19435,19246,19021,18826,18537,18302,18161,17771,17574,17426,17258,17281,17212,17053
