Net Demand 04/09/2022undefined,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour-ahead forecast,24519,24162,24162,24162,23755,23755,23755,23431,23431,23431,23104,23104,23104,22808,22808,22808,22512,22512,22512,22147,22147,22147,21957,21957,21957,21724,21724,21724,21534,21534,21534,21327,21327,21327,21133,21133,21133,20985,20985,20985,20928,20928,20928,20810,20810,20810,20795,20795,20795,20748,20748,20748,20734,20734,20734,20717,20717,20717,20801,20801,20801,20868,20868,20868,20858,20858,20858,20852,20852,20852,21057,21057,21057,21148,21148,21148,21175,21175,21175,21137,21137,21137,21112,21112,21112,21042,21042,21042,20866,20866,20866,20763,20763,20763,20661,20661,20661,20481,20481,20481,20329,20329,20329,20063,20063,20063,19891,19891,19891,19723,19723,19723,19496,19496,19496,19177,19177,19177,19019,19019,19019,18853,18853,18853,18734,18734,18734,18570,18570,18570,18550,18550,18550,18460,18460,18460,18515,18515,18515,18503,18503,18503,18432,18432,18432,18392,18392,18392,18360,18360,18360,18499,18499,18499,18567,18567,18567,18722,18722,18722,18877,18877,18877,18996,18996,18996,19134,19134,19134,19240,19240,19240,19460,19460,19460,19920,19920,19920,20136,20136,20136,20535,20535,20535,20883,20883,20883,21299,21299,21299,21579,21579,21579,22022,22022,22022,22418,22418,22418,22773,22773,22773,23089,23089,23089,23437,23437,23437,23869,23869,23869,24540,24540,24540,24881,24881,24881,25159,25159,25159,25644,25644,25644,25614,25614,25614,25508,25508,25508,25743,25743,25743,26075,26075,26075,26234,26234,26234,26164,26164,26164,26070,26070,26070,25759,25759,25759,25533,25533,25533,25350,25350,25350,25149,25149,25149,24978,24978,24978,24697,24697,24697,24396,24396,24396,24088,24088,24088,23762,23762,23762,23381,23381,23381,23005,23005,23005,22661,22661,22661,22317,22317,22317,21989,21989,21989,21710,21710,21710
Demand,24501,24421,24443,24359,24250,24099,23962,23844,23716,23598,23464,23343,23233,23134,22994,22871,22762,22653,22546,22481,22370,22277,22191,22099,22003,21948,21907,21820,21754,21667,21603,21547,21445,21378,21319,21263,21214,21217,21189,21165,21110,21080,21060,21001,20945,20911,20899,20834,20811,20816,20840,20827,20799,20781,20773,20771,20778,20758,20743,20755,20726,20663,20688,20719,20736,20758,20790,20827,20858,20856,20863,20925,20978,21113,21251,21263,21301,21285,21187,21204,21134,21096,21055,20988,20982,20952,20968,21022,20955,20884,20830,20794,20744,20680,20634,20491,20341,20623,20640,20607,20489,20482,20347,20247,20152,20040,20002,19892,19818,19832,19793,19705,19611,19533,19459,19373,19290,19239,19149,19107,19010,18983,18938,18896,18804,18763,18701,18750,18698,18615,18549,18497,18512,18472,18474,18439,18454,18460,18420,18392,18360,18378,18333,18343,18322,18297,18359,18386,18423,18494,18451,18502,18508,18434,18462,18554,18641,18544,18618,18710,18686,18743,18749,18805,18855,18951,18951,18994,18994,19038,19149,19347,19437,19564,19666,19725,19818,19844,19980,20092,20043,20281,20383,20501,20660,20804,20934,20971,21083,21204,21392,21513,21615,21687,21696,21892,22029,22154,22296,22349,22560,22699,22837,23003,23105,23188,23444,23625,23811,23972,24136,24238,24438,24677,24764,24816,24969,25160,25324,25392,25324,25422,25389,25407,25417,25392,25452,25513,25532,25594,25668,25730,25803,25873,25941,26012,26057,26134,26162,26179,26192,26140,26138,26099,26088,25985,25897,25819,25749,25652,25606,25493,25394,25380,25405,25395,25313,25209,25127,25065,24983,24862,24748,24657,24524,24428,24357,24191,24087,23982,23817,23732,23623,23523,23392,23277,23155,22989,22886,22765,22648,22528,22417,22280,22173,22069,21937,21836,
Day-ahead net forecast,21522,18399,18399,18399,18399,18399,18399,18399,18399,18399,18399,18399,18399,17203,17203,17203,17203,17203,17203,17203,17203,17203,17203,17203,17203,16444,16444,16444,16444,16444,16444,16444,16444,16444,16444,16444,16444,15926,15926,15926,15926,15926,15926,15926,15926,15926,15926,15926,15926,15685,15685,15685,15685,15685,15685,15685,15685,15685,15685,15685,15685,15887,15887,15887,15887,15887,15887,15887,15887,15887,15887,15887,15887,16065,16065,16065,16065,16065,16065,16065,16065,16065,16065,16065,16065,11903,11903,11903,11903,11903,11903,11903,11903,11903,11903,11903,11903,5562,5562,5562,5562,5562,5562,5562,5562,5562,5562,5562,5562,2291,2291,2291,2291,2291,2291,2291,2291,2291,2291,2291,2291,698,698,698,698,698,698,698,698,698,698,698,698,-91,-91,-91,-91,-91,-91,-91,-91,-91,-91,-91,-91,-139,-139,-139,-139,-139,-139,-139,-139,-139,-139,-139,-139,259,259,259,259,259,259,259,259,259,259,259,259,1054,1054,1054,1054,1054,1054,1054,1054,1054,1054,1054,1054,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,2391,4625,4625,4625,4625,4625,4625,4625,4625,4625,4625,4625,4625,9367,9367,9367,9367,9367,9367,9367,9367,9367,9367,9367,9367,17339,17339,17339,17339,17339,17339,17339,17339,17339,17339,17339,17339,21256,21256,21256,21256,21256,21256,21256,21256,21256,21256,21256,21256,21130,21130,21130,21130,21130,21130,21130,21130,21130,21130,21130,21130,19972,19972,19972,19972,19972,19972,19972,19972,19972,19972,19972,19972,18365,18365,18365,18365,18365,18365,18365,18365,18365,18365,18365,18365,16676,16676,16676,16676,16676,16676,16676,16676,16676,16676,16676,16676
Demand response event,Net demand,19861,19797,19825,19795,19704,19582,19425,19338,19249,19217,19140,19014,18911,18810,18646,18467,18326,18196,18117,18043,17949,17836,17731,17632,17496,17453,17429,17390,17350,17306,17270,17286,17233,17163,17134,17055,17031,17012,17001,16992,16956,16884,16828,16753,16661,16620,16625,16610,16614,16634,16672,16668,16584,16444,16416,16443,16446,16439,16460,16497,16513,16433,16427,16446,16452,16470,16496,16581,16599,16653,16643,16723,16823,16931,17079,17089,17081,17088,16986,16914,16797,16616,16391,16042,15639,15223,14710,14315,13748,13192,12465,11803,11311,10814,10619,10420,9953,9420,9139,8725,8454,8193,7959,7906,7947,7944,7987,7864,7592,7376,7255,7171,7236,7152,7093,6884,6669,6589,6446,6217,5916,5520,5174,5238,5492,5581,5475,5406,5197,5049,4914,4876,4786,4777,4688,4613,4616,4629,4589,4675,4751,4563,4402,4308,4141,4024,4222,4215,4342,4475,4744,4568,4416,4323,4054,4041,4079,4093,4028,4084,4114,4201,4260,3959,3960,4049,3905,3947,4039,4118,4129,4221,4261,4514,4515,4438,4265,4290,4204,4283,4373,4354,4540,4765,4881,4876,4856,4750,4566,4539,4779,4778,5153,5171,4979,5159,5474,5677,6058,6249,6369,6593,6872,7177,7733,8022,8356,8716,8894,9193,9621,10051,10575,11127,11763,12224,12846,13740,14549,15300,15818,16408,16969,17479,18122,18610,19107,19587,19960,20199,20439,20615,20764,20923,21054,21128,21165,21138,21070,20967,20921,20893,20866,20844,20795,20688,20595,20477,20455,20291,20169,20124,20024,20023,20154,20140,20117,20014,19928,19914,19834,19730,19599,19504,19378,19177,19010,18907,18684,18620,18378,18266,18125,18033,17929,17862,17791,17608,17498,17395,17223,17222,17127,17025,16928,16835,16728,16637,
