Net Demand 04/04/2022undefined,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour-ahead forecast,20151,19956,19956,19956,19799,19799,19799,19559,19559,19559,19407,19407,19407,19271,19271,19271,19142,19142,19142,19024,19024,19024,18991,18991,18991,18932,18932,18932,18839,18839,18839,18771,18771,18771,18794,18794,18794,18818,18818,18818,18821,18821,18821,18832,18832,18832,19000,19000,19000,19210,19210,19210,19383,19383,19383,19570,19570,19570,19962,19962,19962,20387,20387,20387,20631,20631,20631,20916,20916,20916,21613,21613,21613,22136,22136,22136,22522,22522,22522,22842,22842,22842,23289,23289,23289,23505,23505,23505,23621,23621,23621,23740,23740,23740,23784,23784,23784,23708,23708,23708,23562,23562,23562,23482,23482,23482,23357,23357,23357,23197,23197,23197,23006,23006,23006,22650,22650,22650,22328,22328,22328,22039,22039,22039,21745,21745,21745,21214,21214,21214,20855,20855,20855,20524,20524,20524,20057,20057,20057,19687,19687,19687,19440,19440,19440,19287,19287,19287,19389,19389,19389,19388,19388,19388,19354,19354,19354,19501,19501,19501,19556,19556,19556,19564,19564,19564,19690,19690,19690,19724,19724,19724,19684,19684,19684,19814,19814,19814,19898,19898,19898,20238,20238,20238,20445,20445,20445,20753,20753,20753,21061,21061,21061,21416,21416,21416,21810,21810,21810,22181,22181,22181,22270,22270,22270,22732,22732,22732,23024,23024,23024,23593,23593,23593,23914,23914,23914,24291,24291,24291,24798,24798,24798,25183,25183,25183,25545,25545,25545,26003,26003,26003,26409,26409,26409,26709,26709,26709,26750,26750,26750,26599,26599,26599,26390,26390,26390,26155,26155,26155,25957,25957,25957,25770,25770,25770,25495,25495,25495,25100,25100,25100,24643,24643,24643,24272,24272,24272,23845,23845,23845,23437,23437,23437,22996,22996,22996,22607,22607,22607,22271,22271,22271,21994,21994,21994,21762,21762,21762
Demand,20145,20143,20112,20045,19972,19867,19827,19740,19722,19636,19562,19542,19495,19433,19469,19390,19347,19306,19260,19220,19152,19154,19097,19068,19021,19000,19000,18995,18954,18944,18907,18892,18932,18875,18856,18840,18859,18865,18902,18892,18884,18852,18853,18857,18874,18887,18917,18993,18951,19094,19218,19257,19335,19360,19367,19440,19509,19580,19650,19733,19810,19910,20102,20209,20329,20391,20494,20637,20755,20841,20966,21078,21285,21604,21923,22162,22287,22480,22569,22708,22824,22875,22981,23040,23133,23310,23524,23636,23775,23783,23854,23826,23826,23817,23799,23766,23716,23758,23835,23740,23804,23777,23747,23673,23656,23598,23504,23494,23362,23361,23295,23190,23113,23023,22936,22795,22708,22608,22484,22443,22316,22216,22048,21897,21760,21561,21366,21256,21115,20982,20836,20741,20646,20483,20330,20124,20008,19992,19831,19763,19680,19593,19534,19480,19446,19522,19503,19454,19466,19434,19339,19310,19345,19362,19415,19400,19445,19512,19481,19359,19334,19354,19405,19465,19475,19577,19627,19607,19565,19554,19534,19568,19594,19635,19607,19609,19664,19743,19827,19975,19963,20046,20141,20194,20276,20341,20453,20532,20670,20785,20894,21022,21110,21031,21152,21289,21398,21514,21575,21689,21787,21942,22117,22261,22357,22362,22372,22509,22697,22885,23071,23249,23424,23622,23795,24002,24113,24189,24313,24467,24605,24731,24857,25022,25111,25211,25331,25475,25636,25646,25702,25886,26022,26209,26329,26486,26587,26681,26718,26735,26768,26761,26736,26684,26672,26614,26547,26459,26409,26308,26240,26146,26065,26007,25988,25893,25819,25695,25570,25450,25352,25305,25131,25023,24894,24695,24540,24367,24269,24098,23957,23805,23684,23543,23395,23253,23113,22967,22857,22765,22606,22524,22433,22296,22173,22097,21975,21920,
Day-ahead net forecast,15040,14592,14592,14592,14592,14592,14592,14592,14592,14592,14592,14592,14592,13941,13941,13941,13941,13941,13941,13941,13941,13941,13941,13941,13941,13740,13740,13740,13740,13740,13740,13740,13740,13740,13740,13740,13740,13849,13849,13849,13849,13849,13849,13849,13849,13849,13849,13849,13849,14419,14419,14419,14419,14419,14419,14419,14419,14419,14419,14419,14419,15709,15709,15709,15709,15709,15709,15709,15709,15709,15709,15709,15709,17477,17477,17477,17477,17477,17477,17477,17477,17477,17477,17477,17477,15183,15183,15183,15183,15183,15183,15183,15183,15183,15183,15183,15183,8812,8812,8812,8812,8812,8812,8812,8812,8812,8812,8812,8812,5432,5432,5432,5432,5432,5432,5432,5432,5432,5432,5432,5432,3524,3524,3524,3524,3524,3524,3524,3524,3524,3524,3524,3524,2367,2367,2367,2367,2367,2367,2367,2367,2367,2367,2367,2367,1889,1889,1889,1889,1889,1889,1889,1889,1889,1889,1889,1889,1675,1675,1675,1675,1675,1675,1675,1675,1675,1675,1675,1675,1811,1811,1811,1811,1811,1811,1811,1811,1811,1811,1811,1811,2779,2779,2779,2779,2779,2779,2779,2779,2779,2779,2779,2779,4779,4779,4779,4779,4779,4779,4779,4779,4779,4779,4779,4779,9730,9730,9730,9730,9730,9730,9730,9730,9730,9730,9730,9730,17749,17749,17749,17749,17749,17749,17749,17749,17749,17749,17749,17749,21034,21034,21034,21034,21034,21034,21034,21034,21034,21034,21034,21034,21159,21159,21159,21159,21159,21159,21159,21159,21159,21159,21159,21159,20073,20073,20073,20073,20073,20073,20073,20073,20073,20073,20073,20073,18373,18373,18373,18373,18373,18373,18373,18373,18373,18373,18373,18373,16828,16828,16828,16828,16828,16828,16828,16828,16828,16828,16828,16828
Demand response event,Net demand,14350,14306,14323,14274,14260,14201,14128,14089,14014,13991,13930,13963,14027,14014,14071,14091,14073,14003,13960,13987,13925,13863,13864,13812,13820,13805,13804,13809,13836,13848,13863,13834,13811,13859,13854,13910,13958,13987,14017,13984,14025,14035,14123,14167,14225,14240,14310,14321,14320,14324,14481,14558,14670,14741,14795,14848,14919,15019,15185,15313,15521,15674,15864,16013,16149,16182,16266,16395,16597,16700,16803,16931,17079,17395,17803,18056,18236,18384,18507,18605,18682,18667,18667,18536,18371,18235,18073,17866,17493,16944,16464,15819,15214,14548,14006,13296,12643,11882,11360,10789,10267,9982,9549,9231,8802,8568,8490,8228,8375,8330,7927,7863,7773,7844,7553,7618,7611,7521,7434,7410,7296,6716,6379,6288,6129,5995,6369,6403,6176,6046,5794,5863,5910,5322,4870,4710,4625,4866,4432,4301,4397,4439,4516,4779,4757,4478,4238,4198,4520,4604,4124,3901,3575,3679,3805,4466,4546,4685,4618,4379,4334,4248,4390,4525,4529,4936,5221,5164,5211,5276,4901,4527,4519,4254,4160,4358,4719,4773,5079,5215,5288,5337,5350,5435,5547,5816,5958,6042,6128,6419,6888,7007,7201,7368,7581,7572,7426,7296,7506,7574,7793,8136,8420,8474,8570,8493,8559,8998,9463,9775,9956,10182,10677,11125,11617,12296,13112,13928,14943,15487,15965,16549,17235,17915,18407,18894,19333,19788,20112,20398,20525,20838,21086,21344,21502,21624,21755,21808,21843,21818,21789,21800,21811,21783,21707,21700,21629,21585,21455,21376,21301,21211,21107,21001,20973,20895,20799,20728,20718,20610,20483,20427,20302,20162,20050,19892,19686,19570,19483,19518,19440,19376,19285,19186,19028,18815,18653,18534,18414,18374,18240,18218,18217,18149,18028,18013,17940,17948,
