Net Demand 04/03/2022undefined,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour-ahead forecast,20551,20353,20353,20353,20114,20114,20114,19902,19902,19902,19711,19711,19711,19535,19535,19535,19365,19365,19365,19219,19219,19219,19123,19123,19123,19019,19019,19019,18882,18882,18882,18773,18773,18773,18703,18703,18703,18634,18634,18634,18536,18536,18536,18497,18497,18497,18509,18509,18509,18498,18498,18498,18549,18549,18549,18569,18569,18569,18633,18633,18633,18737,18737,18737,18760,18760,18760,18764,18764,18764,18936,18936,18936,19058,19058,19058,19007,19007,19007,18977,18977,18977,19018,19018,19018,19057,19057,19057,19009,19009,19009,18934,18934,18934,19042,19042,19042,18979,18979,18979,18869,18869,18869,18680,18680,18680,18606,18606,18606,18519,18519,18519,18355,18355,18355,18090,18090,18090,17997,17997,17997,17830,17830,17830,17779,17779,17779,17576,17576,17576,17456,17456,17456,17327,17327,17327,17179,17179,17179,17123,17123,17123,16943,16943,16943,16864,16864,16864,16753,16753,16753,16636,16636,16636,16617,16617,16617,16639,16639,16639,16644,16644,16644,16575,16575,16575,16619,16619,16619,16688,16688,16688,16820,16820,16820,16939,16939,16939,17113,17113,17113,17352,17352,17352,17647,17647,17647,17905,17905,17905,18232,18232,18232,18540,18540,18540,18904,18904,18904,19297,19297,19297,19610,19610,19610,19950,19950,19950,20312,20312,20312,21043,21043,21043,21476,21476,21476,21814,21814,21814,22213,22213,22213,22704,22704,22704,23166,23166,23166,23644,23644,23644,24158,24158,24158,24408,24408,24408,24384,24384,24384,24191,24191,24191,24034,24034,24034,23895,23895,23895,23777,23777,23777,23640,23640,23640,23402,23402,23402,23085,23085,23085,22766,22766,22766,22401,22401,22401,22065,22065,22065,21702,21702,21702,21254,21254,21254,21006,21006,21006,20772,20772,20772,20390,20390,20390,20151,20151,20151
Demand,20570,20529,20531,20428,20386,20325,20220,20169,20107,20027,19948,19910,19798,19742,19776,19712,19649,19589,19519,19489,19446,19368,19317,19279,19200,19168,19160,19108,19110,19028,19001,18969,18941,18901,18867,18816,18734,18697,18739,18739,18713,18671,18674,18669,18680,18624,18609,18573,18551,18592,18628,18650,18642,18629,18629,18614,18625,18651,18669,18662,18638,18651,18652,18663,18703,18702,18719,18732,18742,18771,18768,18825,18863,18946,19017,19069,19025,19106,18756,18923,19183,19189,18797,18789,18968,19151,19234,19227,19216,19185,19185,19176,19168,19142,19107,19034,19017,19163,19250,19187,19131,19060,19018,18969,18913,18859,18816,18779,18797,18783,18807,18702,18627,18550,18499,18432,18380,18253,18189,18132,18110,18119,18148,18031,17998,17926,17812,17764,17706,17709,17606,17542,17489,17468,17360,17400,17367,17268,17206,17135,17045,17057,16946,16912,16898,16866,16823,16790,16755,16733,16751,16704,16670,16631,16635,16572,16598,16639,16569,16519,16523,16548,16512,16552,16529,16533,16561,16603,16625,16607,16634,16668,16695,16748,16785,16842,16930,16922,16997,17042,17189,17198,17226,17282,17349,17460,17588,17641,17787,17902,18008,18116,18202,18240,18307,18388,18534,18682,18783,18868,18940,19066,19237,19379,19401,19594,19734,19936,20116,20306,20450,20634,20781,20964,21103,21288,21416,21580,21730,21861,22028,22168,22338,22480,22581,22710,22866,23012,23134,23271,23443,23612,23740,23860,23988,24120,24191,24254,24313,24347,24361,24390,24341,24321,24292,24271,24234,24201,24151,24062,24017,23916,23856,23872,23824,23786,23688,23625,23550,23472,23358,23244,23138,23010,22888,22753,22623,22542,22440,22276,22140,21995,21906,21762,21672,21543,21477,21428,21243,21117,20973,20832,20731,20623,20557,20454,20314,20208,
Day-ahead net forecast,16751,15963,15963,15963,15963,15963,15963,15963,15963,15963,15963,15963,15963,15014,15014,15014,15014,15014,15014,15014,15014,15014,15014,15014,15014,14523,14523,14523,14523,14523,14523,14523,14523,14523,14523,14523,14523,14261,14261,14261,14261,14261,14261,14261,14261,14261,14261,14261,14261,14193,14193,14193,14193,14193,14193,14193,14193,14193,14193,14193,14193,14414,14414,14414,14414,14414,14414,14414,14414,14414,14414,14414,14414,14954,14954,14954,14954,14954,14954,14954,14954,14954,14954,14954,14954,12976,12976,12976,12976,12976,12976,12976,12976,12976,12976,12976,12976,8552,8552,8552,8552,8552,8552,8552,8552,8552,8552,8552,8552,5335,5335,5335,5335,5335,5335,5335,5335,5335,5335,5335,5335,3512,3512,3512,3512,3512,3512,3512,3512,3512,3512,3512,3512,1976,1976,1976,1976,1976,1976,1976,1976,1976,1976,1976,1976,734,734,734,734,734,734,734,734,734,734,734,734,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-52,-213,-213,-213,-213,-213,-213,-213,-213,-213,-213,-213,-213,561,561,561,561,561,561,561,561,561,561,561,561,2380,2380,2380,2380,2380,2380,2380,2380,2380,2380,2380,2380,6819,6819,6819,6819,6819,6819,6819,6819,6819,6819,6819,6819,14798,14798,14798,14798,14798,14798,14798,14798,14798,14798,14798,14798,18145,18145,18145,18145,18145,18145,18145,18145,18145,18145,18145,18145,18433,18433,18433,18433,18433,18433,18433,18433,18433,18433,18433,18433,17606,17606,17606,17606,17606,17606,17606,17606,17606,17606,17606,17606,16239,16239,16239,16239,16239,16239,16239,16239,16239,16239,16239,16239,15040,15040,15040,15040,15040,15040,15040,15040,15040,15040,15040,15040
Demand response event,Net demand,15819,15743,15750,15653,15578,15569,15490,15461,15472,15424,15305,15329,15206,15137,15095,15108,15005,14944,14888,14853,14752,14700,14647,14530,14460,14420,14450,14414,14435,14363,14301,14277,14231,14174,14123,14037,13999,13845,13937,13924,13900,13899,13932,13981,14034,14038,13987,13944,13918,14056,14114,14223,14249,14279,14220,14196,14118,14139,14162,14167,14130,14084,14118,14117,14172,14214,14290,14357,14344,14365,14390,14406,14492,14557,14623,14679,14704,14756,14648,14621,14938,15003,14725,14524,14362,14380,14392,14379,14229,13905,13561,13029,12468,11943,11814,11388,10702,10308,9787,9388,8991,8237,7732,7343,6912,6599,6147,6188,6080,5502,5423,5722,6000,6081,5595,5482,5340,5617,5667,5448,5128,4841,4584,4331,4301,4297,4261,4152,4028,4168,4091,4030,3940,3542,3091,3048,3214,3056,3208,3326,3072,2999,3136,3145,3104,2918,2891,2872,3199,3202,2981,2952,2921,2790,2628,2704,2618,2229,2158,2318,2543,2678,2640,2623,2439,2367,2527,2525,2444,2264,2161,1796,1907,1964,1968,1801,1843,1958,1958,1806,1677,1715,1720,1765,1823,1541,1416,1243,1133,1090,1314,1769,2814,3315,3078,2513,2032,2114,2422,2861,3195,3791,4332,4196,4187,4164,4459,4866,5371,6131,6709,7129,7794,8537,9167,9902,10547,11285,12036,12678,13314,14005,14629,15226,15818,16246,16685,17089,17374,17582,17794,18031,18177,18279,18378,18514,18587,18487,18444,18376,18380,18434,18442,18395,18386,18355,18360,18354,18364,18355,18270,18141,18075,18039,18063,18078,18017,17899,17763,17708,17568,17422,17301,17162,17060,16938,16833,16717,16632,16503,16328,16160,16033,15920,15880,15819,15659,15614,15512,15336,15224,15069,14910,14812,14721,14656,14527,14419,
