Net Demand 04/10/2022undefined,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour-ahead forecast,21715,21492,21492,21492,21211,21211,21211,20987,20987,20987,20795,20795,20795,20565,20565,20565,20373,20373,20373,20166,20166,20166,20023,20023,20023,19887,19887,19887,19740,19740,19740,19602,19602,19602,19507,19507,19507,19421,19421,19421,19348,19348,19348,19268,19268,19268,19236,19236,19236,19304,19304,19304,19184,19184,19184,19180,19180,19180,19248,19248,19248,19310,19310,19310,19334,19334,19334,19315,19315,19315,19403,19403,19403,19464,19464,19464,19459,19459,19459,19427,19427,19427,19393,19393,19393,19310,19310,19310,19136,19136,19136,18883,18883,18883,18765,18765,18765,18914,18914,18914,18699,18699,18699,18386,18386,18386,18328,18328,18328,18184,18184,18184,17988,17988,17988,17656,17656,17656,17388,17388,17388,17255,17255,17255,17182,17182,17182,16895,16895,16895,16768,16768,16768,16707,16707,16707,16562,16562,16562,15930,15930,15930,15752,15752,15752,15781,15781,15781,15828,15828,15828,15769,15769,15769,15862,15862,15862,15925,15925,15925,15745,15745,15745,15770,15770,15770,15807,15807,15807,15881,15881,15881,16056,16056,16056,16085,16085,16085,16338,16338,16338,16584,16584,16584,16917,16917,16917,17221,17221,17221,17375,17375,17375,17750,17750,17750,18456,18456,18456,19028,19028,19028,19380,19380,19380,20158,20158,20158,20666,20666,20666,21187,21187,21187,21719,21719,21719,22271,22271,22271,22677,22677,22677,23287,23287,23287,23563,23563,23563,23945,23945,23945,24532,24532,24532,24777,24777,24777,24819,24819,24819,24591,24591,24591,24594,24594,24594,24367,24367,24367,24292,24292,24292,24175,24175,24175,23918,23918,23918,23568,23568,23568,23274,23274,23274,23025,23025,23025,22702,22702,22702,22321,22321,22321,21981,21981,21981,21595,21595,21595,21306,21306,21306,21021,21021,21021,20762,20762,20762
Demand,21730,21683,21733,21665,21610,21522,21417,21380,21260,21126,21024,20944,20863,20818,20753,20673,20626,20543,20482,20431,20370,20313,20221,20198,20117,20066,20059,20023,19981,19908,19856,19790,19746,19718,19667,19627,19582,19597,19554,19512,19498,19474,19422,19411,19657,19608,19523,19419,19268,19258,19261,19251,19225,19211,19222,19229,19247,19212,19214,19219,19225,19217,19251,19266,19294,19276,19271,19297,19307,19283,19313,19349,19399,19512,19612,19645,19641,19660,19619,19560,19511,19452,19387,19310,19265,19283,19270,19233,19200,19119,19074,18984,18943,18955,19032,19118,19190,19077,19016,18861,18763,18789,18749,18703,18607,18525,18473,18530,18583,18434,18387,18254,18183,18097,17923,17866,17796,17694,17647,17532,17478,17529,17447,17525,17402,17297,17212,17129,17100,17075,17030,16943,16926,16792,16427,16314,16244,16111,15960,16142,16193,16187,16020,16025,15972,15953,15912,15853,15794,15765,15787,15768,15756,15761,15686,15792,15940,15637,15531,15437,15478,15629,15761,15569,15666,15640,15673,15680,15728,15743,15799,15754,15734,15771,15804,15843,15878,15955,16036,16167,16266,16292,16402,16523,16568,16700,16677,16710,16796,17025,17060,17146,17368,17556,17729,17940,18185,18319,18463,18584,18726,18958,19198,19445,19624,19745,19978,20156,20272,20453,20639,20854,21023,21224,21428,21675,21878,21956,22066,22344,22668,22771,22905,23073,23154,23181,23262,23373,23485,23599,23744,23907,24034,24191,24275,24456,24555,24541,24531,24633,24739,24745,24782,24772,24729,24690,24668,24616,24586,24521,24452,24394,24289,24323,24283,24220,24140,24049,23953,23878,23802,23752,23682,23563,23453,23318,23251,23125,22991,22851,22728,22666,22554,22446,22332,22201,22089,21943,21817,21716,21601,21489,21379,21265,21176,21060,20975,20871,
Day-ahead net forecast,16676,15049,15049,15049,15049,15049,15049,15049,15049,15049,15049,15049,15049,14248,14248,14248,14248,14248,14248,14248,14248,14248,14248,14248,14248,13724,13724,13724,13724,13724,13724,13724,13724,13724,13724,13724,13724,13580,13580,13580,13580,13580,13580,13580,13580,13580,13580,13580,13580,13725,13725,13725,13725,13725,13725,13725,13725,13725,13725,13725,13725,13929,13929,13929,13929,13929,13929,13929,13929,13929,13929,13929,13929,14219,14219,14219,14219,14219,14219,14219,14219,14219,14219,14219,14219,10016,10016,10016,10016,10016,10016,10016,10016,10016,10016,10016,10016,3490,3490,3490,3490,3490,3490,3490,3490,3490,3490,3490,3490,556,556,556,556,556,556,556,556,556,556,556,556,-797,-797,-797,-797,-797,-797,-797,-797,-797,-797,-797,-797,-1749,-1749,-1749,-1749,-1749,-1749,-1749,-1749,-1749,-1749,-1749,-1749,-2183,-2183,-2183,-2183,-2183,-2183,-2183,-2183,-2183,-2183,-2183,-2183,-2280,-2280,-2280,-2280,-2280,-2280,-2280,-2280,-2280,-2280,-2280,-2280,-1938,-1938,-1938,-1938,-1938,-1938,-1938,-1938,-1938,-1938,-1938,-1938,-852,-852,-852,-852,-852,-852,-852,-852,-852,-852,-852,-852,1456,1456,1456,1456,1456,1456,1456,1456,1456,1456,1456,1456,6569,6569,6569,6569,6569,6569,6569,6569,6569,6569,6569,6569,14978,14978,14978,14978,14978,14978,14978,14978,14978,14978,14978,14978,18750,18750,18750,18750,18750,18750,18750,18750,18750,18750,18750,18750,19091,19091,19091,19091,19091,19091,19091,19091,19091,19091,19091,19091,18287,18287,18287,18287,18287,18287,18287,18287,18287,18287,18287,18287,16877,16877,16877,16877,16877,16877,16877,16877,16877,16877,16877,16877,15515,15515,15515,15515,15515,15515,15515,15515,15515,15515,15515,15515
Demand response event,Net demand,16554,16399,16425,16340,16191,16081,15889,15793,15678,15506,15374,15239,15165,15034,14965,14837,14799,14666,14546,14556,14593,14497,14456,14488,14501,14522,14598,14592,14511,14480,14367,14274,14201,14142,14103,14056,13998,13982,13936,13863,13882,13881,13855,13814,13956,14091,13999,13904,13711,13648,13601,13669,13640,13664,13606,13626,13641,13602,13549,13542,13504,13481,13443,13470,13492,13487,13489,13501,13527,13506,13541,13629,13686,13742,13852,13874,13869,13891,13844,13732,13629,13489,13274,12986,12627,12237,11910,11444,11014,10675,10411,10013,9735,9552,9375,9058,8966,8291,7896,7437,6867,6801,6769,6916,6888,6685,6456,6327,6396,6224,6176,6033,5703,5618,5581,5519,5462,5365,5237,5174,4917,4729,4611,4670,4585,4341,4011,4042,3928,3920,3955,3983,4246,3587,3010,2897,2737,2750,2822,3245,3224,3108,3189,3184,3122,3196,3198,3280,3169,2784,2816,2939,2998,3023,2956,2754,2888,2654,2352,2031,1949,1957,2057,2277,2263,2221,2326,2090,2145,2100,1973,1974,1905,2007,2177,2256,2065,1840,1647,1917,2347,2321,2481,2538,2476,2495,2523,2424,2182,1995,2118,2261,2479,2811,3414,3956,4344,4311,4459,4526,4585,5023,5423,5575,5339,5308,5835,6315,6290,6515,6896,7442,8346,9131,9977,10773,11457,12015,12796,13508,14426,15153,15529,16119,16762,17310,17735,18026,18411,18737,18962,19037,19219,19363,19511,19674,19941,20215,20285,20477,20663,20671,20672,20634,20524,20564,20644,20651,20631,20583,20408,20343,20265,20209,20220,20157,20145,20164,20117,20052,19892,19742,19535,19355,19192,19101,19062,18981,18848,18780,18656,18554,18430,18274,18098,17986,17824,17686,17538,17486,17361,17231,17091,16972,16866,16758,16548,16382,
