Net Demand 04/14/2022undefined,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour-ahead forecast,21909,21742,21742,21742,21542,21542,21542,21304,21304,21304,21095,21095,21095,20917,20917,20917,20756,20756,20756,20628,20628,20628,20514,20514,20514,20429,20429,20429,20333,20333,20333,20204,20204,20204,20181,20181,20181,20161,20161,20161,20155,20155,20155,20172,20172,20172,20310,20310,20310,20449,20449,20449,20634,20634,20634,20780,20780,20780,21171,21171,21171,21553,21553,21553,21897,21897,21897,22236,22236,22236,22926,22926,22926,23391,23391,23391,23572,23572,23572,23806,23806,23806,24098,24098,24098,24317,24317,24317,24356,24356,24356,24232,24232,24232,24247,24247,24247,24063,24063,24063,23828,23828,23828,23524,23524,23524,23355,23355,23355,23149,23149,23149,22867,22867,22867,22522,22522,22522,22330,22330,22330,22061,22061,22061,22012,22012,22012,21846,21846,21846,21760,21760,21760,21650,21650,21650,21396,21396,21396,21215,21215,21215,21264,21264,21264,21304,21304,21304,21173,21173,21173,20992,20992,20992,21022,21022,21022,20967,20967,20967,20963,20963,20963,21021,21021,21021,21085,21085,21085,20984,20984,20984,21010,21010,21010,21084,21084,21084,21115,21115,21115,21207,21207,21207,21343,21343,21343,21560,21560,21560,21936,21936,21936,22178,22178,22178,22402,22402,22402,22644,22644,22644,22849,22849,22849,23139,23139,23139,23445,23445,23445,23772,23772,23772,24055,24055,24055,24362,24362,24362,24706,24706,24706,24980,24980,24980,25208,25208,25208,25613,25613,25613,26046,26046,26046,26369,26369,26369,26467,26467,26467,26413,26413,26413,26149,26149,26149,25902,25902,25902,25633,25633,25633,25354,25354,25354,25214,25214,25214,24976,24976,24976,24628,24628,24628,24305,24305,24305,23883,23883,23883,23516,23516,23516,23065,23065,23065,22794,22794,22794,22453,22453,22453,22156,22156,22156,21891,21891,21891
Demand,21922,21957,21918,21763,21736,21675,21593,21536,21464,21385,21312,21256,21159,21060,21076,21011,20899,20943,20877,20831,20781,20723,20684,20625,20558,20560,20539,20467,20433,20412,20347,20347,20315,20291,20247,20233,20229,20242,20228,20223,20206,20225,20211,20220,20222,20208,20236,20236,20287,20335,20441,20518,20532,20588,20587,20674,20752,20775,20836,20914,20982,21205,21426,21551,21637,21725,21838,21983,22098,22187,22323,22449,22525,22880,23211,23356,23440,23539,23555,23640,23715,23766,23815,23905,24014,24239,24382,24400,24481,24460,24430,24412,24368,24334,24222,24229,24222,24143,24156,24101,24014,23968,23896,23847,23739,23582,23535,23475,23429,23361,23305,23202,23093,22969,22892,22783,22700,22599,22501,22440,22379,22362,22405,22292,22218,22137,22069,22009,21958,21936,21906,21856,21669,21619,21568,21521,21426,21368,21302,21337,21358,21428,21389,21318,21259,21268,21214,21165,21117,21047,21052,21075,21085,21047,21002,20981,20916,20907,20870,20911,20952,21007,20994,21029,21076,21052,20989,20989,20957,20957,20945,20966,21107,22024,21479,21299,20972,20939,21001,21011,21179,21159,21166,21180,21216,21273,21464,21569,21652,21678,21813,21825,21906,21913,21892,21967,22035,22149,22235,22305,22367,22536,22632,22727,22810,22790,22835,22917,23050,23203,23299,23481,23666,23725,23905,24050,24183,24134,24213,24327,24407,24558,24588,24663,24774,24943,25000,25130,25258,25302,25365,25535,25634,25783,25941,26036,26193,26329,26423,26459,26459,26389,26376,26317,26320,26259,26230,26071,25993,25927,25757,25698,25625,25693,25703,25682,25665,25619,25505,25453,25320,25222,25125,25013,24852,24680,24561,24431,24324,24192,24061,23912,23721,23654,23535,23434,23309,23148,23005,22905,22788,22650,22560,22455,22355,22225,22104,22018,21919
Day-ahead net forecast,18064,16978,16978,16978,16978,16978,16978,16978,16978,16978,16978,16978,16978,16340,16340,16340,16340,16340,16340,16340,16340,16340,16340,16340,16340,15948,15948,15948,15948,15948,15948,15948,15948,15948,15948,15948,15948,15954,15954,15954,15954,15954,15954,15954,15954,15954,15954,15954,15954,16558,16558,16558,16558,16558,16558,16558,16558,16558,16558,16558,16558,17920,17920,17920,17920,17920,17920,17920,17920,17920,17920,17920,17920,19399,19399,19399,19399,19399,19399,19399,19399,19399,19399,19399,19399,15858,15858,15858,15858,15858,15858,15858,15858,15858,15858,15858,15858,10112,10112,10112,10112,10112,10112,10112,10112,10112,10112,10112,10112,7709,7709,7709,7709,7709,7709,7709,7709,7709,7709,7709,7709,6197,6197,6197,6197,6197,6197,6197,6197,6197,6197,6197,6197,5013,5013,5013,5013,5013,5013,5013,5013,5013,5013,5013,5013,4103,4103,4103,4103,4103,4103,4103,4103,4103,4103,4103,4103,3515,3515,3515,3515,3515,3515,3515,3515,3515,3515,3515,3515,3481,3481,3481,3481,3481,3481,3481,3481,3481,3481,3481,3481,4113,4113,4113,4113,4113,4113,4113,4113,4113,4113,4113,4113,5919,5919,5919,5919,5919,5919,5919,5919,5919,5919,5919,5919,9539,9539,9539,9539,9539,9539,9539,9539,9539,9539,9539,9539,16574,16574,16574,16574,16574,16574,16574,16574,16574,16574,16574,16574,20943,20943,20943,20943,20943,20943,20943,20943,20943,20943,20943,20943,21453,21453,21453,21453,21453,21453,21453,21453,21453,21453,21453,21453,20583,20583,20583,20583,20583,20583,20583,20583,20583,20583,20583,20583,19088,19088,19088,19088,19088,19088,19088,19088,19088,19088,19088,19088,17665,17665,17665,17665,17665,17665,17665,17665,17665,17665,17665,17665
Demand response event,Net demand,18732,18639,18580,18376,18234,18118,17950,17828,17725,17628,17536,17467,17398,17285,17294,17239,17138,17069,17017,16951,16893,16874,16836,16787,16742,16710,16679,16599,16554,16554,16533,16515,16519,16558,16529,16491,16529,16540,16524,16483,16520,16452,16500,16574,16605,16649,16668,16688,16739,16814,16926,17038,17141,17201,17200,17263,17321,17375,17462,17541,17608,17771,18078,18250,18383,18448,18553,18638,18715,18770,18844,18946,19088,19306,19732,19922,19939,19930,19910,19903,19937,19823,19638,19357,19026,18723,18419,18026,17602,17065,16426,15856,15180,14631,14022,13422,12894,12182,11629,11576,11282,10911,10390,10383,10441,10429,10399,10539,10283,10166,10166,10166,10166,10166,10166,10166,10449,9713,9313,9098,8800,8134,7928,8006,8054,7861,7596,7715,7743,7463,7100,7024,6765,6501,6557,6769,6897,7010,7178,7065,7055,7055,7055,7055,7055,7055,6571,6937,6775,6732,6442,6586,6512,6299,6168,6374,6877,7102,7024,6971,7187,7212,7243,7066,6947,6855,7100,7127,7063,6805,6723,6645,6604,7341,7566,7193,7174,6698,6624,6768,6935,6860,6943,6803,6646,6706,7003,7147,7358,7420,7246,7334,7520,7807,8027,8337,8495,8693,8771,8599,8580,8894,9255,9416,9651,9641,9834,10167,10201,10286,10439,10521,10630,11120,11446,11783,12297,12931,13708,14345,14839,15614,16163,16897,17392,18094,18680,19114,19563,19834,20070,20331,20597,20775,20990,21099,21228,21436,21585,21665,21659,21622,21584,21619,21569,21590,21590,21526,21438,21452,21354,21257,21223,21269,21373,21405,21323,21291,21208,21139,21094,20996,20875,20792,20666,20488,20388,20256,20115,19991,19798,19699,19536,19442,19381,19212,19077,18951,18800,18724,18619,18506,18409,18313,18149,18027,17860,17772,17726
