Net Demand 04/29/2022undefined,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour-ahead forecast,22143,21945,21945,21945,21672,21672,21672,21526,21526,21526,21274,21274,21274,21109,21109,21109,20970,20970,20970,20821,20821,20821,20684,20684,20684,20556,20556,20556,20458,20458,20458,20360,20360,20360,20320,20320,20320,20340,20340,20340,20293,20293,20293,20278,20278,20278,20414,20414,20414,20538,20538,20538,20645,20645,20645,20811,20811,20811,21188,21188,21188,21527,21527,21527,21804,21804,21804,22023,22023,22023,22533,22533,22533,22891,22891,22891,22984,22984,22984,23111,23111,23111,23530,23530,23530,23652,23652,23652,23497,23497,23497,23010,23010,23010,23081,23081,23081,22621,22621,22621,22257,22257,22257,22011,22011,22011,21480,21480,21480,21137,21137,21137,21069,21069,21069,20653,20653,20653,20495,20495,20495,20505,20505,20505,19969,19969,19969,20047,20047,20047,19728,19728,19728,19794,19794,19794,19277,19277,19277,19248,19248,19248,19290,19290,19290,19206,19206,19206,19162,19162,19162,19122,19122,19122,19170,19170,19170,19281,19281,19281,19427,19427,19427,19358,19358,19358,19304,19304,19304,19444,19444,19444,19564,19564,19564,19703,19703,19703,19964,19964,19964,20145,20145,20145,20471,20471,20471,20647,20647,20647,20948,20948,20948,21210,21210,21210,21524,21524,21524,22035,22035,22035,22370,22370,22370,22773,22773,22773,23213,23213,23213,23621,23621,23621,23970,23970,23970,24350,24350,24350,24689,24689,24689,25013,25013,25013,25233,25233,25233,25401,25401,25401,25754,25754,25754,25999,25999,25999,26264,26264,26264,26345,26345,26345,26280,26280,26280,26058,26058,26058,25928,25928,25928,25786,25786,25786,25538,25538,25538,25305,25305,25305,24903,24903,24903,24540,24540,24540,24264,24264,24264,23781,23781,23781,23414,23414,23414,23081,23081,23081,22721,22721,22721,22423,22423,22423,22087,22087,22087
Demand,22110,22117,22077,22003,21921,21856,21772,21708,21656,21565,21504,21433,21378,21305,21292,21241,21195,21113,21064,20995,20938,20906,20849,20760,20720,20671,20683,20664,20614,20589,20548,20514,20486,20416,20428,20396,20371,20383,20369,20357,20341,20344,20326,20316,20346,20328,20337,20336,20343,20415,20500,20542,20573,20617,20636,20688,20761,20809,20871,20906,20937,21042,21226,21329,21461,21532,21620,21712,21836,21933,22020,22151,22228,22514,22732,22831,22866,22938,22971,23064,23176,23189,23242,23299,23331,23452,23574,23596,23370,23346,23422,23429,23385,23232,23037,22920,22808,22922,23002,22920,22861,22713,22572,22326,22130,21980,21810,21682,21568,21621,21696,21596,21474,21283,21195,21005,21106,20959,20924,20847,20742,20597,20539,20429,20414,20371,20269,20111,19979,19924,19946,19924,19750,19563,19567,19601,19536,19507,19382,19418,19417,19392,19350,19336,19288,19210,19187,19174,19140,19131,19151,19109,19109,19115,19126,19093,19112,19145,19181,19202,19172,19215,19195,19170,19169,19189,19177,19184,19246,19232,19290,19351,19360,19431,19409,19516,19583,19654,19732,19822,19885,19912,19945,19997,20074,20174,20270,20386,20472,20561,20677,20706,20750,20774,20896,21038,21166,21352,21474,21613,21755,21877,21989,22168,22300,22304,22394,22570,22712,22901,23067,23261,23415,23588,23780,23953,24100,24061,24090,24231,24373,24521,24692,24778,24891,24968,25067,25176,25240,25302,25345,25293,25398,25500,25583,25680,25774,25869,26009,26068,26132,26217,26275,26273,26278,26227,26211,26160,26120,26063,26011,25927,25854,25796,25804,25735,25695,25629,25519,25430,25362,25267,25180,25075,24935,24847,24773,24690,24513,24409,24282,24150,24020,23909,23778,23702,23590,23447,23334,23209,23077,22965,22828,22661,22521,22418,22309,22230,22138
Day-ahead net forecast,17808,17079,17079,17079,17079,17079,17079,17079,17079,17079,17079,17079,17079,16283,16283,16283,16283,16283,16283,16283,16283,16283,16283,16283,16283,16041,16041,16041,16041,16041,16041,16041,16041,16041,16041,16041,16041,16181,16181,16181,16181,16181,16181,16181,16181,16181,16181,16181,16181,16852,16852,16852,16852,16852,16852,16852,16852,16852,16852,16852,16852,18560,18560,18560,18560,18560,18560,18560,18560,18560,18560,18560,18560,19289,19289,19289,19289,19289,19289,19289,19289,19289,19289,19289,19289,14178,14178,14178,14178,14178,14178,14178,14178,14178,14178,14178,14178,8702,8702,8702,8702,8702,8702,8702,8702,8702,8702,8702,8702,5710,5710,5710,5710,5710,5710,5710,5710,5710,5710,5710,5710,4102,4102,4102,4102,4102,4102,4102,4102,4102,4102,4102,4102,3293,3293,3293,3293,3293,3293,3293,3293,3293,3293,3293,3293,3101,3101,3101,3101,3101,3101,3101,3101,3101,3101,3101,3101,3331,3331,3331,3331,3331,3331,3331,3331,3331,3331,3331,3331,3653,3653,3653,3653,3653,3653,3653,3653,3653,3653,3653,3653,4737,4737,4737,4737,4737,4737,4737,4737,4737,4737,4737,4737,6455,6455,6455,6455,6455,6455,6455,6455,6455,6455,6455,6455,10293,10293,10293,10293,10293,10293,10293,10293,10293,10293,10293,10293,18212,18212,18212,18212,18212,18212,18212,18212,18212,18212,18212,18212,22747,22747,22747,22747,22747,22747,22747,22747,22747,22747,22747,22747,23245,23245,23245,23245,23245,23245,23245,23245,23245,23245,23245,23245,22432,22432,22432,22432,22432,22432,22432,22432,22432,22432,22432,22432,21044,21044,21044,21044,21044,21044,21044,21044,21044,21044,21044,21044,19571,19571,19571,19571,19571,19571,19571,19571,19571,19571,19571,19571
Demand response event,Net demand,18491,18437,18430,18294,18184,18036,17905,17841,17781,17720,17656,17650,17614,17578,17551,17522,17480,17576,17422,17413,17383,17362,17270,17214,17180,17137,17112,17014,16926,16873,16783,16712,16622,16502,16462,16418,16366,16365,16404,16459,16500,16498,16465,16466,16488,16538,16530,16545,16552,16589,16689,16750,16806,16868,16933,16985,17102,17234,17306,17367,17438,17510,17700,17806,17934,17968,18105,18161,18313,18413,18501,18604,18731,18935,19179,19242,19197,19140,19019,18798,18562,18276,17843,17456,16975,16502,16063,15531,14917,14224,13738,13343,12942,12532,12300,11952,11575,10681,10256,9999,9761,9522,9499,9326,8953,8636,8482,8193,7987,7738,7933,7949,7803,7615,7587,7395,6974,6862,6757,6990,7036,6883,6637,6533,6405,6356,6280,6287,5974,5864,6071,5796,5666,5210,5215,5541,5397,5367,5326,5296,5449,5449,5324,5280,5293,5196,5088,5004,4923,4847,4900,4834,4773,4827,4809,4749,4716,4859,4822,4870,4982,5108,5125,5101,5106,5305,5352,5417,5377,5218,5229,5250,5451,5405,5417,5419,5486,5572,5594,5417,5325,5334,5282,5394,5459,5510,5624,5661,5781,5867,5903,5983,6099,6241,6282,6460,6576,6773,6946,7023,7122,7275,7424,7610,7887,8298,8422,8647,8902,9297,9587,10042,10561,11089,11720,12367,13048,13675,14182,14833,15549,16220,16878,17504,18085,18686,19220,19803,20200,20534,20898,21097,21313,21594,21708,21844,21994,22108,22249,22325,22333,22336,22387,22417,22446,22426,22401,22387,22315,22266,22212,22167,22082,22055,22056,22007,21973,21872,21783,21690,21586,21575,21525,21470,21435,21580,21745,21740,21629,21516,21432,21369,21338,21298,21279,21258,21237,21156,21067,21004,20957,20870,20807,20614,20444,20330,20238,20148,20093
