Net Demand 04/02/2022undefined,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour-ahead forecast,21366,21119,21119,21119,20834,20834,20834,20619,20619,20619,20380,20380,20380,20205,20205,20205,20016,20016,20016,19872,19872,19872,19747,19747,19747,19624,19624,19624,19508,19508,19508,19401,19401,19401,19315,19315,19315,19278,19278,19278,19243,19243,19243,19169,19169,19169,19193,19193,19193,19213,19213,19213,19266,19266,19266,19301,19301,19301,19467,19467,19467,19617,19617,19617,19752,19752,19752,19865,19865,19865,20176,20176,20176,20440,20440,20440,20397,20397,20397,20527,20527,20527,20618,20618,20618,20642,20642,20642,20669,20669,20669,20599,20599,20599,20609,20609,20609,20470,20470,20470,20196,20196,20196,20022,20022,20022,19904,19904,19904,19849,19849,19849,19686,19686,19686,19548,19548,19548,19489,19489,19489,19383,19383,19383,19388,19388,19388,19241,19241,19241,19089,19089,19089,18841,18841,18841,18697,18697,18697,18603,18603,18603,18459,18459,18459,18329,18329,18329,18148,18148,18148,17957,17957,17957,17794,17794,17794,17755,17755,17755,17696,17696,17696,17618,17618,17618,17567,17567,17567,17561,17561,17561,17668,17668,17668,17768,17768,17768,17772,17772,17772,17888,17888,17888,18027,18027,18027,18328,18328,18328,18540,18540,18540,18855,18855,18855,19311,19311,19311,19626,19626,19626,19786,19786,19786,20163,20163,20163,20698,20698,20698,21163,21163,21163,21688,21688,21688,22012,22012,22012,22392,22392,22392,22921,22921,22921,23352,23352,23352,23770,23770,23770,24262,24262,24262,24443,24443,24443,24313,24313,24313,24069,24069,24069,23874,23874,23874,23701,23701,23701,23549,23549,23549,23501,23501,23501,23326,23326,23326,23081,23081,23081,22942,22942,22942,22670,22670,22670,22413,22413,22413,22061,22061,22061,21669,21669,21669,21375,21375,21375,21060,21060,21060,20772,20772,20772,20551,20551,20551
Demand,21266,21235,21251,21208,21143,21084,20927,20853,20812,20711,20644,20581,20474,20433,20454,20368,20341,20273,20189,20093,20047,20002,19949,19862,19812,19803,19774,19720,19690,19671,19599,19575,19515,19506,19473,19447,19405,19410,19405,19375,19356,19334,19322,19307,19256,19273,19273,19236,19244,19275,19305,19320,19284,19315,19339,19372,19346,19388,19401,19428,19435,19486,19541,19600,19662,19693,19736,19796,19812,19854,19923,19978,20015,20197,20312,20442,20512,20551,20599,20592,20581,20577,20552,20570,20571,20676,20755,20781,20821,20781,20774,20739,20697,20653,20661,20603,20562,20627,20655,20610,20574,20521,20444,20351,20314,20229,20220,20156,20085,20120,20158,20104,20106,20044,19989,19957,19896,19832,19831,19760,19705,19744,19799,19764,19665,19633,19563,19499,19390,19295,19232,19127,19063,19006,18985,18908,18835,18808,18740,18698,18640,18561,18526,18443,18368,18407,18282,18238,18158,18044,18002,17958,17938,17880,17865,17829,17788,17673,17692,17653,17630,17638,17610,17571,17537,17533,17529,17512,17461,17460,17480,17514,17497,17498,17507,17506,17507,17564,17630,17590,17601,17637,17643,17719,17852,17935,17963,18096,18167,18259,18325,18439,18545,18566,18646,18730,18863,19000,19149,19218,19297,19373,19549,19727,19898,20003,20142,20125,20349,20569,20749,20946,21082,21230,21404,21570,21626,21839,21912,22141,22296,22471,22587,22701,22842,23005,23123,23206,23309,23469,23572,23716,23818,23963,24040,24148,24167,24213,24255,24260,24228,24229,24169,24185,24141,24074,24008,23940,23909,23818,23767,23722,23686,23671,23626,23558,23571,23476,23403,23444,23394,23343,23263,23138,23068,22969,22825,22706,22612,22499,22387,22301,22199,22098,21984,21901,21815,21681,21557,21444,21336,21237,21132,21043,20963,20865,20736,20636,
Day-ahead net forecast,19357,18326,18326,18326,18326,18326,18326,18326,18326,18326,18326,18326,18326,17553,17553,17553,17553,17553,17553,17553,17553,17553,17553,17553,17553,16987,16987,16987,16987,16987,16987,16987,16987,16987,16987,16987,16987,16668,16668,16668,16668,16668,16668,16668,16668,16668,16668,16668,16668,16671,16671,16671,16671,16671,16671,16671,16671,16671,16671,16671,16671,17295,17295,17295,17295,17295,17295,17295,17295,17295,17295,17295,17295,18042,18042,18042,18042,18042,18042,18042,18042,18042,18042,18042,18042,15257,15257,15257,15257,15257,15257,15257,15257,15257,15257,15257,15257,8827,8827,8827,8827,8827,8827,8827,8827,8827,8827,8827,8827,4959,4959,4959,4959,4959,4959,4959,4959,4959,4959,4959,4959,2645,2645,2645,2645,2645,2645,2645,2645,2645,2645,2645,2645,1318,1318,1318,1318,1318,1318,1318,1318,1318,1318,1318,1318,643,643,643,643,643,643,643,643,643,643,643,643,508,508,508,508,508,508,508,508,508,508,508,508,824,824,824,824,824,824,824,824,824,824,824,824,1927,1927,1927,1927,1927,1927,1927,1927,1927,1927,1927,1927,4092,4092,4092,4092,4092,4092,4092,4092,4092,4092,4092,4092,9035,9035,9035,9035,9035,9035,9035,9035,9035,9035,9035,9035,16838,16838,16838,16838,16838,16838,16838,16838,16838,16838,16838,16838,19713,19713,19713,19713,19713,19713,19713,19713,19713,19713,19713,19713,19797,19797,19797,19797,19797,19797,19797,19797,19797,19797,19797,19797,19035,19035,19035,19035,19035,19035,19035,19035,19035,19035,19035,19035,17907,17907,17907,17907,17907,17907,17907,17907,17907,17907,17907,17907,16751,16751,16751,16751,16751,16751,16751,16751,16751,16751,16751,16751
Demand response event,Net demand,18970,18858,18854,18782,18717,18657,18510,18337,18263,18178,18052,18002,17915,17814,17764,17705,17606,17574,17517,17439,17415,17367,17292,17200,17220,17263,17321,17318,17249,17208,17094,17018,16895,16821,16781,16750,16732,16819,16885,16912,16919,16921,16880,16860,16770,16706,16667,16656,16657,16666,16745,16798,16849,16923,17003,17128,17198,17279,17384,17473,17591,17656,17781,17899,18009,18120,18173,18225,18293,18343,18449,18535,18554,18674,18873,19014,19142,19214,19262,19240,19192,19111,18974,18820,18595,18340,18116,17758,17328,16781,16183,15632,14956,14285,13929,13803,13103,12043,11171,10447,10056,9508,9021,8588,8259,8047,7861,7716,7418,6849,6833,6664,6510,6538,6533,6534,6507,6532,6692,6861,6692,5984,5803,5852,6010,6039,6037,6221,6417,6513,6532,6488,6371,5901,5454,5460,5383,5454,5355,5299,5316,5292,5251,5117,4768,4198,3541,3314,3302,3552,3637,3592,3398,3519,3382,3467,3636,3545,3655,3839,3918,3952,3986,3903,3877,3827,3831,3851,3892,3854,4073,4046,4176,3991,3907,4059,4293,4105,3778,3782,4134,4339,4701,4855,5242,5582,5458,5282,5154,5071,4993,5127,5371,5650,5836,6096,6186,6346,6483,6724,6676,6711,7029,7389,7734,8190,8601,9423,9991,9922,9646,9758,10382,11085,11680,12268,12994,13747,14588,15309,15881,16398,16852,17320,17701,18103,18472,18704,19001,19163,19352,19496,19664,19786,19879,19984,19997,20003,20007,20008,19980,19995,19924,19893,19900,19815,19684,19654,19605,19544,19438,19387,19325,19277,19254,19159,19178,19120,18995,18872,18824,18760,18662,18538,18420,18361,18226,18050,17941,17811,17703,17606,17538,17428,17343,17243,17153,17071,16944,16795,16662,16558,16505,16386,16282,16165,16069,15947,
