Net Demand 04/16/2022undefined,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour-ahead forecast,21501,21328,21328,21328,21164,21164,21164,21027,21027,21027,20843,20843,20843,20672,20672,20672,20468,20468,20468,20263,20263,20263,20157,20157,20157,20029,20029,20029,19894,19894,19894,19727,19727,19727,19671,19671,19671,19594,19594,19594,19529,19529,19529,19477,19477,19477,19498,19498,19498,19536,19536,19536,19542,19542,19542,19573,19573,19573,19718,19718,19718,19862,19862,19862,19909,19909,19909,19887,19887,19887,20082,20082,20082,20161,20161,20161,20204,20204,20204,20165,20165,20165,20270,20270,20270,20320,20320,20320,20268,20268,20268,20367,20367,20367,20464,20464,20464,20391,20391,20391,20482,20482,20482,20411,20411,20411,20377,20377,20377,20384,20384,20384,20266,20266,20266,20101,20101,20101,19976,19976,19976,19826,19826,19826,19699,19699,19699,19533,19533,19533,19276,19276,19276,19139,19139,19139,18805,18805,18805,18533,18533,18533,18055,18055,18055,18089,18089,18089,17756,17756,17756,17518,17518,17518,17308,17308,17308,17216,17216,17216,17127,17127,17127,16992,16992,16992,16949,16949,16949,16834,16834,16834,16799,16799,16799,16728,16728,16728,16709,16709,16709,16661,16661,16661,16681,16681,16681,16825,16825,16825,17020,17020,17020,17299,17299,17299,17500,17500,17500,17990,17990,17990,18354,18354,18354,18852,18852,18852,19347,19347,19347,19951,19951,19951,20281,20281,20281,20900,20900,20900,21389,21389,21389,21821,21821,21821,22322,22322,22322,22839,22839,22839,23366,23366,23366,23641,23641,23641,23791,23791,23791,23847,23847,23847,23758,23758,23758,23555,23555,23555,23566,23566,23566,23532,23532,23532,23403,23403,23403,23195,23195,23195,22962,22962,22962,22731,22731,22731,22449,22449,22449,22097,22097,22097,21763,21763,21763,21450,21450,21450,21200,21200,21200,20914,20914,20914,20688,20688,20688
Demand,21605,21631,21672,21687,21597,21533,21412,21363,21266,21222,21118,21057,20966,20886,20838,20768,20676,20624,20559,20523,20482,20409,20368,20294,20247,20204,20186,20148,20051,20015,19902,19906,19909,19872,19807,19776,19737,19741,19710,19682,19650,19636,19632,19591,19568,19552,19586,19564,19552,19558,19589,19604,19602,19601,19596,19602,19643,19636,19658,19665,19694,19689,19679,19671,19705,19741,19778,19798,19861,19850,19897,19933,19971,20164,20252,20315,20326,20296,20311,20264,20258,20248,20207,20189,20178,20233,20316,20373,20389,20371,20411,20398,20430,20387,20374,20348,20401,20526,20628,20642,20584,20565,20545,20563,20539,20517,20456,20427,20415,20497,20545,20556,20489,20419,20325,20272,20226,20102,20072,19991,19924,19918,19993,20005,19983,19861,19755,19639,19601,19517,19412,19311,19355,19178,19030,18869,18719,18548,18442,18428,18359,18259,18208,18258,18145,18054,17962,17853,17764,17712,17636,17519,17512,17505,17439,17442,17345,17274,17243,17179,17072,17028,16971,16960,16959,16881,16844,16832,16799,16735,16672,16611,16582,16566,16552,16515,16493,16491,16474,16493,16434,16345,16284,16302,16375,16439,16510,16575,16602,16693,16819,16887,16962,16880,16879,16950,17172,17290,17417,17560,17705,17812,17956,18160,18270,18399,18614,18764,18987,19201,19365,19443,19570,19745,19988,20188,20308,20430,20688,20914,21074,21279,21464,21627,21785,21952,22100,22260,22369,22591,22682,22741,22889,23054,23187,23307,23500,23614,23723,23774,23813,23974,23883,23878,23885,23907,23840,23813,23839,23765,23699,23720,23636,23699,23683,23653,23615,23570,23528,23466,23421,23327,23259,23164,23063,22998,22819,22720,22614,22522,22483,22377,22272,22181,22081,21957,21867,21799,21716,21622,21514,21391,21307,21206,21108,21027,20898,20832,20735
Day-ahead net forecast,18245,17279,17279,17279,17279,17279,17279,17279,17279,17279,17279,17279,17279,16489,16489,16489,16489,16489,16489,16489,16489,16489,16489,16489,16489,15825,15825,15825,15825,15825,15825,15825,15825,15825,15825,15825,15825,15529,15529,15529,15529,15529,15529,15529,15529,15529,15529,15529,15529,15642,15642,15642,15642,15642,15642,15642,15642,15642,15642,15642,15642,15963,15963,15963,15963,15963,15963,15963,15963,15963,15963,15963,15963,15977,15977,15977,15977,15977,15977,15977,15977,15977,15977,15977,15977,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,11999,7067,7067,7067,7067,7067,7067,7067,7067,7067,7067,7067,7067,4855,4855,4855,4855,4855,4855,4855,4855,4855,4855,4855,4855,3210,3210,3210,3210,3210,3210,3210,3210,3210,3210,3210,3210,1593,1593,1593,1593,1593,1593,1593,1593,1593,1593,1593,1593,366,366,366,366,366,366,366,366,366,366,366,366,-515,-515,-515,-515,-515,-515,-515,-515,-515,-515,-515,-515,-786,-786,-786,-786,-786,-786,-786,-786,-786,-786,-786,-786,-439,-439,-439,-439,-439,-439,-439,-439,-439,-439,-439,-439,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,1119,5222,5222,5222,5222,5222,5222,5222,5222,5222,5222,5222,5222,13273,13273,13273,13273,13273,13273,13273,13273,13273,13273,13273,13273,18368,18368,18368,18368,18368,18368,18368,18368,18368,18368,18368,18368,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,19001,18586,18586,18586,18586,18586,18586,18586,18586,18586,18586,18586,18586,17759,17759,17759,17759,17759,17759,17759,17759,17759,17759,17759,17759,16643,16643,16643,16643,16643,16643,16643,16643,16643,16643,16643,16643
Demand response event,Net demand,17471,17307,17320,17357,17311,17229,17127,17016,16905,16894,16875,16766,16634,16545,16537,16537,16527,16528,16548,16583,16603,16587,16573,16529,16461,16404,16355,16363,16316,16280,16216,16170,16207,16131,16016,15939,15941,15903,15875,15829,15864,15837,15829,15784,15756,15726,15788,15808,15807,15739,15727,15746,15731,15665,15618,15523,15443,15415,15325,15306,15420,15547,15555,15523,15508,15588,15706,15793,15864,15905,15947,15966,16002,16117,16215,16288,16346,16342,16289,16029,15720,15501,15204,14934,14519,14331,13960,13635,13193,12528,11971,11689,11388,11171,11104,10753,10206,9249,8714,8918,8799,8777,8987,8497,8193,7622,7851,7855,7505,7052,7173,7496,7565,7720,7600,7206,6874,6824,6987,6881,6625,6458,6216,6080,5974,5891,5625,5753,5778,5814,6001,5920,5589,4705,4371,4184,4786,4916,4803,4181,3595,3546,4183,4433,4124,3797,3897,4109,4194,4010,3785,3864,3902,3833,3808,4037,4074,3870,3896,3930,4016,4118,4205,4181,4097,4060,3995,3894,3720,3496,3321,3339,3159,3150,3212,3037,2895,2875,2838,3001,2914,2509,2297,2342,2290,2201,2093,1988,2187,2000,2194,2302,2389,2258,2147,2278,2641,2812,2905,2956,3281,3494,3634,3925,4379,4792,5142,5592,6042,5965,5868,5980,5969,6316,6852,7447,8011,8744,9517,10319,11053,11814,12564,13229,14020,14656,15321,15808,16219,16709,17122,17396,17651,17838,17975,18082,18258,18528,18753,18866,18978,19123,19046,19042,19052,19142,19137,19114,19125,19085,18981,18966,18910,18869,18884,18890,18854,18813,18775,18668,18629,18552,18525,18483,18465,18463,18421,18355,18241,18134,18053,17931,17755,17596,17477,17316,17219,17148,17006,16894,16770,16621,16469,16362,16312,16269,16113,16043,15903
