Net Demand 04/19/2022undefined,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour-ahead forecast,22099,21872,21872,21872,21630,21630,21630,21354,21354,21354,21114,21114,21114,20896,20896,20896,20714,20714,20714,20554,20554,20554,20426,20426,20426,20268,20268,20268,20148,20148,20148,20031,20031,20031,19957,19957,19957,19949,19949,19949,19907,19907,19907,19883,19883,19883,20009,20009,20009,20117,20117,20117,20245,20245,20245,20386,20386,20386,20707,20707,20707,21042,21042,21042,21362,21362,21362,21698,21698,21698,22217,22217,22217,22589,22589,22589,22925,22925,22925,23072,23072,23072,23453,23453,23453,23701,23701,23701,23695,23695,23695,23639,23639,23639,23658,23658,23658,23494,23494,23494,23231,23231,23231,23139,23139,23139,22982,22982,22982,22735,22735,22735,22575,22575,22575,22285,22285,22285,22188,22188,22188,21933,21933,21933,21699,21699,21699,21541,21541,21541,21327,21327,21327,21123,21123,21123,21107,21107,21107,20883,20883,20883,20793,20793,20793,20627,20627,20627,20537,20537,20537,20548,20548,20548,20420,20420,20420,20547,20547,20547,20603,20603,20603,20563,20563,20563,20434,20434,20434,20544,20544,20544,20547,20547,20547,20560,20560,20560,20661,20661,20661,20820,20820,20820,20711,20711,20711,21020,21020,21020,21249,21249,21249,21455,21455,21455,21724,21724,21724,22119,22119,22119,22408,22408,22408,22860,22860,22860,23210,23210,23210,23799,23799,23799,24062,24062,24062,24378,24378,24378,24793,24793,24793,25144,25144,25144,25569,25569,25569,25922,25922,25922,26231,26231,26231,26502,26502,26502,26733,26733,26733,26724,26724,26724,26604,26604,26604,26349,26349,26349,26200,26200,26200,26056,26056,26056,25737,25737,25737,25417,25417,25417,24981,24981,24981,24647,24647,24647,24225,24225,24225,23801,23801,23801,23366,23366,23366,22985,22985,22985,22668,22668,22668,22356,22356,22356,22076,22076,22076
Demand,22060,22079,22049,21920,21864,21753,21687,21591,21531,21432,21371,21271,21181,21109,21048,20980,20939,20850,20808,20736,20677,20618,20521,20473,20426,20392,20328,20308,20298,20251,20218,20126,20115,20074,20058,20035,19997,20007,19982,19984,19947,19943,19960,19937,19931,19930,19922,19932,19951,19995,20093,20148,20180,20172,20216,20240,20323,20360,20414,20440,20515,20672,20897,21043,21139,21228,21300,21400,21530,21587,21682,21794,21986,22312,22591,22732,22798,22857,22929,23021,23082,23152,23204,23243,23315,23466,23626,23730,23806,23795,23764,23776,23776,23759,23667,23551,23504,23515,23579,23491,23445,23447,23433,23351,23311,23187,23094,22993,22990,22953,22979,22856,22792,22753,22753,22753,22724,22491,22362,22304,22233,22118,22054,21993,21892,21855,21726,21613,21510,21455,21382,21335,21293,21284,21254,21190,21085,21047,21047,20977,20925,20839,20780,20734,20670,20674,20704,20700,20627,20615,20539,20468,20480,20487,20512,20530,20494,20515,20532,20479,20474,20458,20423,20389,20283,20309,20342,20410,20439,20400,20429,20443,20376,20333,20389,20394,20455,20445,20549,20524,20657,20361,20392,20579,20552,20716,20775,20801,20962,21007,21111,21050,21132,21159,21244,21398,21537,21654,21778,21802,21923,22018,22208,22280,22382,22431,22500,22650,22803,23033,23263,23383,23488,23670,23866,23991,24200,24208,24316,24433,24601,24757,24909,25081,25187,25334,25432,25543,25572,25626,25681,25755,25873,25964,26136,26235,26380,26501,26607,26660,26717,26759,26759,26731,26715,26680,26662,26574,26519,26483,26401,26337,26278,26278,26266,26190,26093,26056,25948,25826,25737,25639,25543,25443,25257,25084,24938,24781,24672,24510,24383,24231,24110,23960,23825,23668,23517,23392,23254,23143,23034,22884,22762,22663,22535,22421,22300,22164,22110
Day-ahead net forecast,17747,16081,16081,16081,16081,16081,16081,16081,16081,16081,16081,16081,16081,15239,15239,15239,15239,15239,15239,15239,15239,15239,15239,15239,15239,14848,14848,14848,14848,14848,14848,14848,14848,14848,14848,14848,14848,14786,14786,14786,14786,14786,14786,14786,14786,14786,14786,14786,14786,15293,15293,15293,15293,15293,15293,15293,15293,15293,15293,15293,15293,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,16627,17754,17754,17754,17754,17754,17754,17754,17754,17754,17754,17754,17754,14415,14415,14415,14415,14415,14415,14415,14415,14415,14415,14415,14415,9420,9420,9420,9420,9420,9420,9420,9420,9420,9420,9420,9420,6654,6654,6654,6654,6654,6654,6654,6654,6654,6654,6654,6654,5137,5137,5137,5137,5137,5137,5137,5137,5137,5137,5137,5137,3676,3676,3676,3676,3676,3676,3676,3676,3676,3676,3676,3676,2751,2751,2751,2751,2751,2751,2751,2751,2751,2751,2751,2751,2264,2264,2264,2264,2264,2264,2264,2264,2264,2264,2264,2264,2294,2294,2294,2294,2294,2294,2294,2294,2294,2294,2294,2294,3038,3038,3038,3038,3038,3038,3038,3038,3038,3038,3038,3038,4878,4878,4878,4878,4878,4878,4878,4878,4878,4878,4878,4878,8885,8885,8885,8885,8885,8885,8885,8885,8885,8885,8885,8885,16280,16280,16280,16280,16280,16280,16280,16280,16280,16280,16280,16280,20898,20898,20898,20898,20898,20898,20898,20898,20898,20898,20898,20898,21398,21398,21398,21398,21398,21398,21398,21398,21398,21398,21398,21398,20479,20479,20479,20479,20479,20479,20479,20479,20479,20479,20479,20479,18792,18792,18792,18792,18792,18792,18792,18792,18792,18792,18792,18792,17185,17185,17185,17185,17185,17185,17185,17185,17185,17185,17185,17185
Demand response event,Net demand,17724,17746,17834,17723,17566,17403,17199,17069,17056,16988,16767,16550,16353,16212,16077,15992,15920,15827,15757,15694,15660,15617,15599,15529,15546,15508,15476,15474,15435,15350,15336,15317,15268,15184,15134,15101,15088,15137,15106,15114,15080,15095,15073,15075,15064,15085,15058,15013,15045,15124,15211,15278,15348,15459,15569,15718,15812,15905,15921,16017,16115,16312,16675,16814,16939,17023,17057,17139,17319,17448,17560,17757,17964,18280,18729,18803,18881,18972,18973,18973,18918,18780,18467,18245,18005,17686,17474,17191,16866,16356,15882,15424,15015,14508,13950,13203,12731,12445,12174,11814,11498,11328,11182,10818,10307,10143,9968,9868,9531,9202,8801,8728,8771,8570,8497,8233,8170,8005,7615,7492,7167,6853,6913,7028,6912,7183,7040,6796,6376,6163,5815,5762,5782,5632,5356,5371,5301,5066,4876,4675,4535,4469,4607,4224,4085,4056,4260,4354,4279,4187,3994,3606,3455,3541,3304,3689,3724,3708,3876,3901,3831,3889,3804,3693,3553,3836,3919,4502,4664,4529,4320,4518,4344,4375,4656,4707,4673,4903,5191,5530,5601,5248,4777,4832,4793,4909,5305,5206,4622,4913,4998,5048,5337,5802,5532,5494,5577,5970,6142,5970,5941,6037,6285,6558,6824,7282,7425,7549,7814,8537,9288,9860,10173,10694,11344,12106,12857,13232,13610,14401,15100,15872,16501,17111,17762,18341,18872,19327,19769,20207,20576,20774,21028,21279,21533,21788,22010,22237,22374,22487,22539,22583,22572,22550,22509,22469,22448,22399,22357,22261,22130,21976,21904,21915,21986,21911,21864,21775,21680,21576,21567,21531,21521,21348,21150,20868,20695,20530,20420,20428,20356,20298,20270,20226,20081,19958,19793,19661,19575,19374,19257,19113,18983,18863,18857,18667,18568,18399,18321
