Net Demand 04/15/2022undefined,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour-ahead forecast,21888,21662,21662,21662,21501,21501,21501,21224,21224,21224,20968,20968,20968,20818,20818,20818,20669,20669,20669,20515,20515,20515,20379,20379,20379,20244,20244,20244,20137,20137,20137,20044,20044,20044,19994,19994,19994,19932,19932,19932,19939,19939,19939,19924,19924,19924,19931,19931,19931,19993,19993,19993,20213,20213,20213,20347,20347,20347,20649,20649,20649,21007,21007,21007,21329,21329,21329,21529,21529,21529,21933,21933,21933,22377,22377,22377,22616,22616,22616,22745,22745,22745,22974,22974,22974,23179,23179,23179,23141,23141,23141,22941,22941,22941,23027,23027,23027,22767,22767,22767,22441,22441,22441,22151,22151,22151,21916,21916,21916,21587,21587,21587,21125,21125,21125,20684,20684,20684,20327,20327,20327,20023,20023,20023,19832,19832,19832,19614,19614,19614,19317,19317,19317,19005,19005,19005,18738,18738,18738,18758,18758,18758,18663,18663,18663,18571,18571,18571,18366,18366,18366,18455,18455,18455,18478,18478,18478,18387,18387,18387,18366,18366,18366,18432,18432,18432,18508,18508,18508,18539,18539,18539,18795,18795,18795,18865,18865,18865,18866,18866,18866,19096,19096,19096,19221,19221,19221,19488,19488,19488,19710,19710,19710,20140,20140,20140,20465,20465,20465,20949,20949,20949,21454,21454,21454,21754,21754,21754,22114,22114,22114,22712,22712,22712,22994,22994,22994,23491,23491,23491,23829,23829,23829,24028,24028,24028,24372,24372,24372,24751,24751,24751,25198,25198,25198,25405,25405,25405,25364,25364,25364,25397,25397,25397,25227,25227,25227,25039,25039,25039,24868,24868,24868,24793,24793,24793,24550,24550,24550,24318,24318,24318,24009,24009,24009,23705,23705,23705,23450,23450,23450,23082,23082,23082,22656,22656,22656,22409,22409,22409,22018,22018,22018,21726,21726,21726,21501,21501,21501
Demand,21919,21917,21861,21761,21697,21604,21497,21431,21375,21332,21265,21170,21130,21067,21020,20924,20901,20842,20793,20739,20676,20603,20543,20486,20420,20384,20374,20334,20293,20251,20234,20223,20178,20160,20103,20081,20070,20067,20026,20042,20035,20031,20003,20021,19972,19983,19988,19989,20013,20111,20146,20219,20246,20296,20339,20388,20463,20503,20519,20613,20659,20810,21024,21071,21204,21282,21269,21393,21510,21602,21668,21815,21924,22209,22480,22593,22667,22734,22740,22786,22834,22858,22902,22964,22995,23242,23316,23359,23357,23346,23307,23315,23207,23146,23055,22992,22955,22965,22983,22850,22822,22703,22569,22480,22357,22227,22134,22017,21889,21775,21666,21535,21414,21279,21187,20961,20779,20748,20634,20503,20386,20373,20321,20190,20186,20065,19905,19820,19708,19606,19462,19348,19256,19087,19192,19200,19143,19074,19005,18990,18897,18830,18805,18716,18680,18657,18562,18485,18511,18567,18547,18546,18544,18555,18433,18399,18334,18316,18333,18301,18300,18354,18357,18316,18379,18469,18463,18436,18364,18410,18445,18526,18488,18529,18569,18621,18552,18639,18687,18742,18757,18707,18696,18802,18919,19036,19090,19160,19236,19341,19451,19545,19634,19702,19814,19991,20167,20233,20344,20577,20715,20838,20981,21067,21215,21325,21390,21594,21786,21991,22086,22252,22411,22581,22775,22989,23128,23045,23177,23295,23373,23559,23685,23821,23983,24078,24183,24285,24414,24467,24552,24688,24815,24924,24905,24964,25088,25238,25305,25362,25381,25366,25351,25336,25316,25292,25217,25197,25157,25101,25039,24966,24921,24939,24951,24917,24888,24820,24728,24707,24590,24508,24376,24325,24215,24127,23958,23835,23720,23629,23528,23405,23290,23192,23084,22970,22833,22711,22623,22501,22403,22271,22172,22087,21982,21877,21826,21701,21605
Day-ahead net forecast,17665,16749,16749,16749,16749,16749,16749,16749,16749,16749,16749,16749,16749,15493,15493,15493,15493,15493,15493,15493,15493,15493,15493,15493,15493,15032,15032,15032,15032,15032,15032,15032,15032,15032,15032,15032,15032,14946,14946,14946,14946,14946,14946,14946,14946,14946,14946,14946,14946,15331,15331,15331,15331,15331,15331,15331,15331,15331,15331,15331,15331,16449,16449,16449,16449,16449,16449,16449,16449,16449,16449,16449,16449,17430,17430,17430,17430,17430,17430,17430,17430,17430,17430,17430,17430,13474,13474,13474,13474,13474,13474,13474,13474,13474,13474,13474,13474,7750,7750,7750,7750,7750,7750,7750,7750,7750,7750,7750,7750,5167,5167,5167,5167,5167,5167,5167,5167,5167,5167,5167,5167,3510,3510,3510,3510,3510,3510,3510,3510,3510,3510,3510,3510,2508,2508,2508,2508,2508,2508,2508,2508,2508,2508,2508,2508,1679,1679,1679,1679,1679,1679,1679,1679,1679,1679,1679,1679,1328,1328,1328,1328,1328,1328,1328,1328,1328,1328,1328,1328,1298,1298,1298,1298,1298,1298,1298,1298,1298,1298,1298,1298,2071,2071,2071,2071,2071,2071,2071,2071,2071,2071,2071,2071,3826,3826,3826,3826,3826,3826,3826,3826,3826,3826,3826,3826,7929,7929,7929,7929,7929,7929,7929,7929,7929,7929,7929,7929,15733,15733,15733,15733,15733,15733,15733,15733,15733,15733,15733,15733,20520,20520,20520,20520,20520,20520,20520,20520,20520,20520,20520,20520,21187,21187,21187,21187,21187,21187,21187,21187,21187,21187,21187,21187,20682,20682,20682,20682,20682,20682,20682,20682,20682,20682,20682,20682,19554,19554,19554,19554,19554,19554,19554,19554,19554,19554,19554,19554,18245,18245,18245,18245,18245,18245,18245,18245,18245,18245,18245,18245
Demand response event,Net demand,17726,17718,17731,17696,17679,17685,17645,17529,17422,17272,17154,17028,16946,16883,16852,16735,16654,16635,16541,16461,16369,16292,16204,16116,16032,15941,15892,15889,15832,15787,15797,15796,15806,15824,15842,15827,15841,15854,15855,15830,15823,15800,15802,15796,15851,15765,15762,15758,15722,15719,15770,15766,15842,15908,15922,15980,16090,16115,16116,16216,16305,16441,16686,16880,17025,17166,17214,17267,17294,17345,17436,17510,17628,17759,18086,18175,18213,18230,18152,18040,17884,17649,17364,17045,16642,16279,15866,15413,14857,14249,13602,12942,12305,11917,11652,11335,10837,10035,9542,9303,8745,8727,8638,8625,8584,8501,8236,8009,7731,7320,7211,7033,6755,6714,6626,6533,6343,6426,6620,6538,6456,6253,5961,5844,5852,5846,5765,5751,5617,5440,5547,5695,5708,5202,5041,5222,5221,5062,5039,5207,5221,5151,4989,4863,4865,4790,4782,4766,4691,4696,4713,4596,4708,4794,4728,4844,4667,4724,4678,4557,4653,4578,4288,4263,4416,4406,4177,4068,4160,4864,5203,5194,5122,5254,5034,4702,4516,4642,4694,4874,4819,4196,3975,4147,4174,4261,4228,3983,3994,4493,4517,4403,4666,4611,4383,4568,4631,4798,4745,4542,4783,4902,4751,5193,5871,5764,6320,6865,6852,7226,7927,8453,9015,9680,10308,10929,11809,12642,13332,13851,14275,15008,15769,16476,17263,17909,18402,18751,19201,19562,19813,20083,20305,20498,20667,20733,20913,21068,21205,21216,21234,21171,21131,21093,21098,21051,21024,20982,20953,20870,20794,20738,20677,20713,20731,20703,20684,20661,20665,20682,20673,20647,20537,20480,20430,20375,20245,20122,20032,19974,19878,19782,19648,19552,19439,19334,19209,19126,19030,18753,18561,18356,18213,18084,17929,17826,17732,17605,17471
