Net Demand 04/05/2022undefined,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour-ahead forecast,21762,21584,21584,21584,21389,21389,21389,21124,21124,21124,20857,20857,20857,20668,20668,20668,20494,20494,20494,20299,20299,20299,20208,20208,20208,20101,20101,20101,19984,19984,19984,19873,19873,19873,19864,19864,19864,19840,19840,19840,19838,19838,19838,19880,19880,19880,20008,20008,20008,20154,20154,20154,20338,20338,20338,20472,20472,20472,20853,20853,20853,21233,21233,21233,21624,21624,21624,21862,21862,21862,22490,22490,22490,23130,23130,23130,23407,23407,23407,23704,23704,23704,23975,23975,23975,24210,24210,24210,24211,24211,24211,23893,23893,23893,23887,23887,23887,23722,23722,23722,23451,23451,23451,23129,23129,23129,22675,22675,22675,22368,22368,22368,21966,21966,21966,21529,21529,21529,21219,21219,21219,20973,20973,20973,20728,20728,20728,20394,20394,20394,20122,20122,20122,19994,19994,19994,19814,19814,19814,19668,19668,19668,19583,19583,19583,19475,19475,19475,19471,19471,19471,19456,19456,19456,19521,19521,19521,19497,19497,19497,19575,19575,19575,19698,19698,19698,19782,19782,19782,19918,19918,19918,20058,20058,20058,20297,20297,20297,20588,20588,20588,20819,20819,20819,21157,21157,21157,21436,21436,21436,21710,21710,21710,22066,22066,22066,22542,22542,22542,23024,23024,23024,23397,23397,23397,23763,23763,23763,24295,24295,24295,24899,24899,24899,25245,25245,25245,25702,25702,25702,25994,25994,25994,26347,26347,26347,26713,26713,26713,27067,27067,27067,27500,27500,27500,27684,27684,27684,27612,27612,27612,27444,27444,27444,27221,27221,27221,26961,26961,26961,26721,26721,26721,26514,26514,26514,26232,26232,26232,25860,25860,25860,25395,25395,25395,24957,24957,24957,24554,24554,24554,24066,24066,24066,23584,23584,23584,23214,23214,23214,22823,22823,22823,22492,22492,22492,22228,22228,22228
Demand,21809,21814,21776,21620,21602,21514,21397,21330,21226,21150,21078,20989,20933,20834,20757,20710,20629,20588,20529,20521,20437,20392,20322,20272,20242,20209,20193,20158,20122,20094,20082,20037,20032,19953,19935,19906,19878,19881,19921,19978,19980,19979,19955,19950,19948,19972,19955,19975,20003,20098,20176,20225,20249,20289,20323,20373,20460,20470,20523,20604,20673,20965,21088,21224,21347,21456,21482,21636,21756,21838,21969,22097,22244,22578,22875,23095,23287,23369,23473,23473,23596,23652,23733,23789,23871,24009,24167,24254,24231,24208,24142,24086,24082,24038,23897,23845,23713,23719,23735,23593,23533,23440,23322,23240,23127,23046,22942,22782,22665,22613,22570,22417,22272,22143,22000,21866,21764,21623,21532,21447,21317,21248,21112,21022,20956,20835,20594,20581,20482,20385,20285,20213,20164,20087,19971,19971,19898,19832,19734,19751,19715,19662,19635,19597,19539,19535,19556,19510,19475,19453,19464,19453,19443,19414,19405,19457,19419,19495,19463,19492,19527,19585,19597,19608,19610,19678,19700,19735,19759,19789,19821,19863,19926,19984,20032,20106,20158,20278,20350,20462,20559,20573,20656,20800,20902,20987,21098,21192,21314,21412,21494,21638,21726,21763,21981,22108,22259,22357,22497,22654,22794,22943,23125,23298,23479,23580,23692,23862,24089,24266,24444,24591,24753,24951,25190,25370,25517,25458,25482,25651,25853,25960,26080,26240,26342,26431,26521,26611,26748,26819,26886,27011,27133,27232,27301,27438,27530,27576,27620,27652,27649,27610,27597,27544,27500,27432,27369,27266,27215,27131,27032,26947,26817,26794,26776,26677,26595,26490,26390,26279,26131,26032,25881,25718,25603,25398,25224,25050,24914,24788,24668,24514,24295,24242,24054,23928,23740,23549,23419,23299,23154,23052,22923,22842,22739,22605,22453,22378,
Day-ahead net forecast,16828,15802,15802,15802,15802,15802,15802,15802,15802,15802,15802,15802,15802,15191,15191,15191,15191,15191,15191,15191,15191,15191,15191,15191,15191,14748,14748,14748,14748,14748,14748,14748,14748,14748,14748,14748,14748,14681,14681,14681,14681,14681,14681,14681,14681,14681,14681,14681,14681,15129,15129,15129,15129,15129,15129,15129,15129,15129,15129,15129,15129,16325,16325,16325,16325,16325,16325,16325,16325,16325,16325,16325,16325,18088,18088,18088,18088,18088,18088,18088,18088,18088,18088,18088,18088,15592,15592,15592,15592,15592,15592,15592,15592,15592,15592,15592,15592,8724,8724,8724,8724,8724,8724,8724,8724,8724,8724,8724,8724,4741,4741,4741,4741,4741,4741,4741,4741,4741,4741,4741,4741,2678,2678,2678,2678,2678,2678,2678,2678,2678,2678,2678,2678,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625,1286,1286,1286,1286,1286,1286,1286,1286,1286,1286,1286,1286,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1785,1785,1785,1785,1785,1785,1785,1785,1785,1785,1785,1785,3023,3023,3023,3023,3023,3023,3023,3023,3023,3023,3023,3023,5232,5232,5232,5232,5232,5232,5232,5232,5232,5232,5232,5232,10159,10159,10159,10159,10159,10159,10159,10159,10159,10159,10159,10159,18672,18672,18672,18672,18672,18672,18672,18672,18672,18672,18672,18672,22096,22096,22096,22096,22096,22096,22096,22096,22096,22096,22096,22096,22267,22267,22267,22267,22267,22267,22267,22267,22267,22267,22267,22267,21288,21288,21288,21288,21288,21288,21288,21288,21288,21288,21288,21288,19712,19712,19712,19712,19712,19712,19712,19712,19712,19712,19712,19712,18321,18321,18321,18321,18321,18321,18321,18321,18321,18321,18321,18321
Demand response event,Net demand,17884,17745,17661,17620,17603,17508,17398,17317,17279,17263,17210,17133,17041,16980,16879,16787,16745,16734,16665,16653,16711,16663,16707,16705,16670,16610,16520,16468,16424,16360,16290,16227,16197,16199,16132,16116,16107,16098,16206,16231,16267,16277,16242,16177,16225,16298,16308,16324,16308,16292,16340,16364,16433,16509,16486,16550,16605,16592,16626,16675,16732,16963,17207,17377,17520,17628,17745,17864,18030,18053,18205,18364,18569,18813,19110,19383,19554,19671,19765,19720,19679,19633,19562,19362,19110,18852,18544,18170,17650,17069,16422,15656,14947,14171,13347,12587,11827,11080,10474,9896,9351,9003,8814,8802,8767,8538,8499,8367,8081,7430,7312,7086,7001,6965,6919,6732,6732,6688,6510,6577,6575,6609,6608,6674,6282,5968,5680,5694,5731,5868,6092,6133,5999,5436,5344,5324,5273,5029,4711,4634,4551,4514,4567,4523,4459,4355,4457,4564,4654,4507,4321,4104,4034,4027,3833,3897,3828,4070,4097,4201,4214,4268,4304,4078,4003,3977,3810,3587,3545,3510,3722,3655,3561,3582,3573,3562,3564,3489,3466,3720,4116,4540,4753,4678,4627,4618,4594,4686,4638,4673,4740,5015,5246,5645,6086,6266,6358,6375,6667,6876,6919,7091,7330,7635,8230,8189,8504,9329,9757,10006,10336,10892,11436,12112,12833,13583,14346,14985,15533,16301,17114,17776,18466,19078,19701,20160,20549,20997,21393,21743,21873,22008,22190,22397,22484,22716,22855,22989,23100,23162,23204,23179,23143,23121,23051,22943,22865,22791,22742,22692,22594,22517,22348,22317,22349,22276,22222,22161,22029,21915,21804,21665,21533,21345,21182,21010,20839,20734,20641,20606,20556,20496,20401,20288,20180,20071,19973,19819,19658,19511,19370,19209,19134,18975,18901,18791,18650,18575,
