Net Demand 04/28/2022undefined,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour-ahead forecast,22296,22084,22084,22084,21895,21895,21895,21648,21648,21648,21466,21466,21466,21308,21308,21308,21148,21148,21148,20991,20991,20991,20847,20847,20847,20759,20759,20759,20609,20609,20609,20493,20493,20493,20467,20467,20467,20430,20430,20430,20419,20419,20419,20405,20405,20405,20524,20524,20524,20653,20653,20653,20757,20757,20757,20888,20888,20888,21250,21250,21250,21679,21679,21679,22013,22013,22013,22338,22338,22338,22922,22922,22922,23302,23302,23302,23461,23461,23461,23673,23673,23673,24102,24102,24102,24254,24254,24254,24198,24198,24198,24032,24032,24032,23867,23867,23867,23765,23765,23765,23512,23512,23512,23383,23383,23383,23182,23182,23182,22924,22924,22924,22521,22521,22521,22333,22333,22333,22201,22201,22201,21785,21785,21785,21399,21399,21399,20972,20972,20972,20687,20687,20687,20389,20389,20389,20202,20202,20202,20075,20075,20075,19908,19908,19908,19689,19689,19689,19561,19561,19561,19629,19629,19629,19540,19540,19540,19560,19560,19560,19639,19639,19639,19626,19626,19626,19495,19495,19495,19621,19621,19621,19611,19611,19611,19708,19708,19708,19713,19713,19713,19938,19938,19938,20088,20088,20088,20470,20470,20470,20598,20598,20598,20829,20829,20829,21187,21187,21187,21541,21541,21541,21699,21699,21699,22168,22168,22168,22639,22639,22639,23036,23036,23036,23385,23385,23385,23796,23796,23796,24166,24166,24166,24591,24591,24591,24959,24959,24959,25227,25227,25227,25639,25639,25639,26025,26025,26025,26263,26263,26263,26440,26440,26440,26350,26350,26350,26177,26177,26177,26069,26069,26069,25944,25944,25944,25790,25790,25790,25397,25397,25397,24883,24883,24883,24528,24528,24528,24196,24196,24196,23774,23774,23774,23381,23381,23381,23056,23056,23056,22722,22722,22722,22401,22401,22401,22143,22143,22143
Demand,22301,22313,22299,22211,22178,22098,21977,21915,21858,21799,21716,21683,21563,21555,21478,21395,21327,21273,21201,21183,21111,21075,20992,20983,20939,20870,20862,20815,20775,20730,20666,20635,20599,20573,20513,20536,20485,20496,20514,20491,20477,20458,20455,20425,20457,20458,20470,20437,20451,20535,20576,20634,20674,20691,20732,20769,20845,20887,20991,21048,21123,21322,21553,21696,21798,21864,21945,22083,22201,22291,22445,22551,22674,22974,23217,23317,23384,23448,23476,23594,23680,23765,23808,23855,23889,24061,24190,24231,24236,24285,24300,24150,24142,24103,24022,23999,23868,23945,23972,23935,23876,23801,23773,23687,23581,23521,23415,23362,23201,23125,23071,23001,22865,22830,22751,22703,22584,22498,22377,22235,22121,21915,21805,21713,21612,21385,21203,21187,21252,21105,20991,20675,20620,20631,20625,20522,20429,20332,20281,20223,20159,20094,20024,19879,19657,19732,19838,19851,19828,19744,19694,19627,19564,19597,19540,19529,19499,19505,19505,19590,19542,19602,19604,19565,19540,19369,19517,19508,19509,19519,19511,19516,19502,19575,19560,19500,19491,19511,19508,19633,19684,19628,19679,19800,19926,19984,20085,20081,20168,20221,20284,20388,20388,20386,20393,20512,20628,20724,20868,21037,21123,21177,21287,21495,21637,21688,21817,21959,22111,22291,22415,22596,22795,22906,23096,23274,23399,23456,23526,23720,23854,24060,24241,24410,24542,24665,24757,24883,25023,25085,25112,25160,25293,25385,25502,25659,25774,25903,26048,26196,26277,26359,26391,26403,26410,26399,26388,26344,26304,26259,26202,26146,26102,26113,26084,26027,25989,25879,25775,25703,25584,25494,25343,25257,25103,24951,24806,24663,24569,24444,24334,24152,24051,23931,23765,23662,23567,23365,23309,23167,23034,22936,22815,22683,22569,22454,22331,22218,22110
Day-ahead net forecast,18154,17105,17105,17105,17105,17105,17105,17105,17105,17105,17105,17105,17105,16285,16285,16285,16285,16285,16285,16285,16285,16285,16285,16285,16285,15700,15700,15700,15700,15700,15700,15700,15700,15700,15700,15700,15700,15458,15458,15458,15458,15458,15458,15458,15458,15458,15458,15458,15458,15656,15656,15656,15656,15656,15656,15656,15656,15656,15656,15656,15656,16677,16677,16677,16677,16677,16677,16677,16677,16677,16677,16677,16677,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,16990,11792,11792,11792,11792,11792,11792,11792,11792,11792,11792,11792,11792,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,3225,3225,3225,3225,3225,3225,3225,3225,3225,3225,3225,3225,1471,1471,1471,1471,1471,1471,1471,1471,1471,1471,1471,1471,366,366,366,366,366,366,366,366,366,366,366,366,-388,-388,-388,-388,-388,-388,-388,-388,-388,-388,-388,-388,-562,-562,-562,-562,-562,-562,-562,-562,-562,-562,-562,-562,-297,-297,-297,-297,-297,-297,-297,-297,-297,-297,-297,-297,675,675,675,675,675,675,675,675,675,675,675,675,2671,2671,2671,2671,2671,2671,2671,2671,2671,2671,2671,2671,6757,6757,6757,6757,6757,6757,6757,6757,6757,6757,6757,6757,14856,14856,14856,14856,14856,14856,14856,14856,14856,14856,14856,14856,20256,20256,20256,20256,20256,20256,20256,20256,20256,20256,20256,20256,21139,21139,21139,21139,21139,21139,21139,21139,21139,21139,21139,21139,20533,20533,20533,20533,20533,20533,20533,20533,20533,20533,20533,20533,19107,19107,19107,19107,19107,19107,19107,19107,19107,19107,19107,19107,17808,17808,17808,17808,17808,17808,17808,17808,17808,17808,17808,17808
Demand response event,Net demand,17600,17593,17661,17564,17471,17389,17233,17033,16946,16839,16758,16690,16621,16608,16653,16583,16576,16614,16585,16578,16610,16622,16565,16532,16440,16406,16387,16328,16245,16136,16070,16035,16035,16011,15975,15966,15884,15876,15901,15844,15852,15892,15931,15950,15937,16002,15978,15911,15901,15881,15979,16023,16095,16122,16110,16092,16059,16010,16036,16058,16078,16189,16479,16655,16761,16775,16845,16901,17043,17111,17211,17412,17671,17796,18078,18201,18185,18107,17869,17728,17569,17283,16958,16572,16116,15645,15194,14749,14273,13842,13256,12596,12117,11525,10960,10385,9770,9293,8948,8686,8276,7939,7710,7391,6870,6707,6521,6376,6101,5918,5691,5587,5425,5286,5092,5059,5007,5056,4935,4754,4565,4199,4041,3928,3841,3803,3517,3460,3491,3627,3525,3471,3390,3392,3379,3227,3232,3348,3470,3509,3390,3484,3419,3239,2965,2862,3151,3376,3468,3413,3424,3488,3411,3408,3210,3202,3329,3190,3192,3296,3401,3394,3351,3332,3347,3234,3147,3421,3515,3340,3339,3592,3886,3950,3833,3657,3545,3752,3672,4057,4259,4031,4102,4412,4372,4438,4379,4657,4826,4834,4815,5032,5313,5411,5643,5586,5628,5772,5833,5759,5843,6345,6747,6862,7117,7264,7400,7744,8133,8227,8444,8679,8849,8854,9058,9694,10365,11226,11894,12584,13311,14020,14683,15451,16099,16716,17340,18063,18669,19184,19685,19966,20236,20613,20876,21084,21342,21570,21783,22013,22151,22248,22293,22365,22385,22384,22356,22317,22250,22271,22158,22076,22058,22035,22048,21984,21929,21842,21679,21551,21399,21278,21178,21108,21068,21197,21195,21039,20951,20856,20783,20615,20467,20369,20214,20117,19959,19793,19601,19540,19392,19290,19198,19124,19006,18882,18752,18595,18491
