Net Demand 04/13/2022undefined,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour-ahead forecast,21932,21789,21789,21789,21582,21582,21582,21345,21345,21345,21132,21132,21132,20966,20966,20966,20825,20825,20825,20721,20721,20721,20634,20634,20634,20561,20561,20561,20464,20464,20464,20461,20461,20461,20422,20422,20422,20390,20390,20390,20427,20427,20427,20413,20413,20413,20572,20572,20572,20758,20758,20758,20927,20927,20927,21139,21139,21139,21541,21541,21541,21984,21984,21984,22365,22365,22365,22682,22682,22682,23303,23303,23303,23769,23769,23769,24088,24088,24088,24288,24288,24288,24594,24594,24594,24807,24807,24807,24636,24636,24636,24432,24432,24432,24224,24224,24224,23800,23800,23800,23396,23396,23396,23006,23006,23006,22732,22732,22732,22520,22520,22520,22096,22096,22096,21729,21729,21729,21350,21350,21350,20903,20903,20903,20653,20653,20653,20463,20463,20463,20288,20288,20288,20008,20008,20008,19796,19796,19796,19669,19669,19669,19465,19465,19465,19353,19353,19353,19165,19165,19165,19139,19139,19139,19075,19075,19075,19091,19091,19091,19008,19008,19008,19032,19032,19032,18968,18968,18968,19029,19029,19029,19133,19133,19133,19303,19303,19303,19478,19478,19478,19586,19586,19586,19652,19652,19652,20054,20054,20054,20347,20347,20347,20690,20690,20690,20963,20963,20963,21299,21299,21299,21753,21753,21753,22264,22264,22264,22815,22815,22815,23190,23190,23190,23689,23689,23689,24126,24126,24126,24548,24548,24548,24845,24845,24845,25300,25300,25300,25710,25710,25710,26155,26155,26155,26515,26515,26515,26692,26692,26692,26599,26599,26599,26363,26363,26363,26140,26140,26140,25926,25926,25926,25760,25760,25760,25527,25527,25527,25299,25299,25299,24828,24828,24828,24464,24464,24464,24078,24078,24078,23656,23656,23656,23125,23125,23125,22736,22736,22736,22451,22451,22451,22145,22145,22145,21911,21911,21911
Demand,21958,21942,21875,21798,21759,21671,21573,21527,21465,21382,21302,21255,21164,21162,21172,21106,21077,21024,21000,20946,20885,20824,20774,20741,20682,20631,20649,20648,20634,20610,20566,20544,20528,20484,20446,20419,20431,20473,20496,20486,20469,20455,20443,20474,20496,20484,20526,20524,20537,20614,20719,20799,20875,20916,20941,20967,21025,21057,21119,21244,21349,21521,21691,21863,21941,22085,22122,22281,22415,22522,22599,22764,22911,23260,23633,23799,23927,23989,24050,24119,24156,24284,24306,24335,24399,24563,24692,24771,24759,24741,24699,24590,24577,24464,24367,24251,24079,24075,24143,24011,23908,23772,23606,23410,23364,23248,23253,23081,22890,22759,22753,22602,22539,22369,22293,22140,21917,21746,21568,21464,21354,21219,21150,21038,21043,20890,20793,20600,20425,20446,20428,20301,20213,20119,20016,19941,19899,19840,19775,19709,19625,19590,19614,19500,19416,19329,19274,19234,19169,19154,19123,19147,19094,19090,19071,19036,19030,18973,18910,18912,18849,18865,18836,18814,18811,18861,18856,18867,18868,18916,18930,18979,19052,19037,19067,19104,19173,19197,19260,19278,19300,19275,19263,19349,19446,19657,19654,19883,19964,19890,20022,20149,20216,20238,20294,20396,20521,20632,20742,20927,21047,21221,21422,21596,21930,21847,21960,22122,22344,22476,22634,22853,23042,23203,23380,23555,23740,23831,23899,24045,24180,24359,24533,24652,24802,24927,24993,25164,25309,25279,25479,25604,25758,25888,26034,26151,26331,26445,26506,26554,26553,26557,26530,26496,26467,26420,26378,26278,26215,26148,26077,26004,25938,26007,26092,26035,25954,25850,25753,25653,25441,25318,25214,25095,24944,24806,24705,24572,24404,24257,24135,23977,23810,23693,23440,23344,23312,23161,23023,22938,22805,22697,22589,22455,22367,22233,22136,22042,
Day-ahead net forecast,16711,16124,16124,16124,16124,16124,16124,16124,16124,16124,16124,16124,16124,16083,16083,16083,16083,16083,16083,16083,16083,16083,16083,16083,16083,15948,15948,15948,15948,15948,15948,15948,15948,15948,15948,15948,15948,16159,16159,16159,16159,16159,16159,16159,16159,16159,16159,16159,16159,16861,16861,16861,16861,16861,16861,16861,16861,16861,16861,16861,16861,18368,18368,18368,18368,18368,18368,18368,18368,18368,18368,18368,18368,19797,19797,19797,19797,19797,19797,19797,19797,19797,19797,19797,19797,15595,15595,15595,15595,15595,15595,15595,15595,15595,15595,15595,15595,8840,8840,8840,8840,8840,8840,8840,8840,8840,8840,8840,8840,5476,5476,5476,5476,5476,5476,5476,5476,5476,5476,5476,5476,3637,3637,3637,3637,3637,3637,3637,3637,3637,3637,3637,3637,2178,2178,2178,2178,2178,2178,2178,2178,2178,2178,2178,2178,1531,1531,1531,1531,1531,1531,1531,1531,1531,1531,1531,1531,1139,1139,1139,1139,1139,1139,1139,1139,1139,1139,1139,1139,1194,1194,1194,1194,1194,1194,1194,1194,1194,1194,1194,1194,1962,1962,1962,1962,1962,1962,1962,1962,1962,1962,1962,1962,4058,4058,4058,4058,4058,4058,4058,4058,4058,4058,4058,4058,8551,8551,8551,8551,8551,8551,8551,8551,8551,8551,8551,8551,16318,16318,16318,16318,16318,16318,16318,16318,16318,16318,16318,16318,21123,21123,21123,21123,21123,21123,21123,21123,21123,21123,21123,21123,21713,21713,21713,21713,21713,21713,21713,21713,21713,21713,21713,21713,20910,20910,20910,20910,20910,20910,20910,20910,20910,20910,20910,20910,19430,19430,19430,19430,19430,19430,19430,19430,19430,19430,19430,19430,18064,18064,18064,18064,18064,18064,18064,18064,18064,18064,18064,18064
Demand response event,Net demand,18508,18460,18466,18395,18331,18155,18093,17975,17900,17828,17772,17619,17510,17484,17526,17489,17430,17436,17427,17408,17353,17366,17401,17446,17437,17430,17465,17486,17530,17501,17448,17428,17429,17432,17404,17384,17392,17495,17614,17692,17722,17751,17790,17873,17981,18064,18105,18148,18138,18174,18301,18334,18384,18417,18437,18457,18527,18564,18613,18742,18888,19049,19272,19448,19610,19662,19749,19847,20022,20127,20207,20362,20533,20778,21205,21384,21489,21559,21553,21498,21396,21230,20996,20662,20303,19972,19601,19042,18377,17766,17139,16435,15906,15398,14953,14413,13792,13066,12753,12353,11625,11189,11019,11552,11830,11492,10941,10369,9893,10184,10220,10157,10141,10126,10080,10075,9889,9642,9457,9387,9309,9231,9268,9104,9031,8944,8800,8702,8562,8583,8745,8538,8306,8099,7909,7863,7910,7824,7797,7749,7660,7618,7523,7520,7467,7331,7285,7232,7180,7225,7392,6768,6606,6206,5733,5535,5712,5952,6050,5752,5469,5374,5354,5385,5525,5700,5830,5828,5812,5850,5789,5696,5749,6110,6262,6262,6222,6341,6405,6284,6278,5915,5766,5836,5911,5943,5994,5971,6053,6001,6112,6095,6459,6679,6749,6821,6873,6848,7172,7318,7419,7533,7696,8115,8823,8889,9114,9026,9190,9530,9642,9720,9957,10512,11162,11946,12735,13595,14356,15374,16153,16872,17659,18425,19099,19918,20451,21043,21545,21787,22179,22471,22779,22954,23084,23182,23246,23406,23518,23589,23554,23574,23507,23479,23462,23406,23323,23187,23100,23018,22930,22865,22740,22685,22835,22726,22635,22540,22378,22337,22162,22007,21861,21787,21680,21576,21497,21467,21356,21204,21115,21034,20849,20735,20544,20319,20251,20092,19914,19855,19785,19652,19535,19433,19386,19242,19089,18909,
