Net Demand 04/18/2022undefined,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour-ahead forecast,20110,19954,19954,19954,19775,19775,19775,19546,19546,19546,19393,19393,19393,19279,19279,19279,19141,19141,19141,19025,19025,19025,18988,18988,18988,18922,18922,18922,18807,18807,18807,18689,18689,18689,18652,18652,18652,18667,18667,18667,18668,18668,18668,18703,18703,18703,18826,18826,18826,18984,18984,18984,19160,19160,19160,19343,19343,19343,19718,19718,19718,20133,20133,20133,20441,20441,20441,20789,20789,20789,21363,21363,21363,21717,21717,21717,21992,21992,21992,22082,22082,22082,22403,22403,22403,22570,22570,22570,22522,22522,22522,22579,22579,22579,22737,22737,22737,22587,22587,22587,22234,22234,22234,21996,21996,21996,21608,21608,21608,21516,21516,21516,21221,21221,21221,20890,20890,20890,20697,20697,20697,20490,20490,20490,20391,20391,20391,20306,20306,20306,20259,20259,20259,20222,20222,20222,20131,20131,20131,19996,19996,19996,19903,19903,19903,19952,19952,19952,19945,19945,19945,19916,19916,19916,19958,19958,19958,20147,20147,20147,20309,20309,20309,20461,20461,20461,20582,20582,20582,20599,20599,20599,20799,20799,20799,21032,21032,21032,21286,21286,21286,21622,21622,21622,21942,21942,21942,22507,22507,22507,22618,22618,22618,22855,22855,22855,23378,23378,23378,23998,23998,23998,24593,24593,24593,24789,24789,24789,25053,25053,25053,25383,25383,25383,25513,25513,25513,25819,25819,25819,26032,26032,26032,26110,26110,26110,26167,26167,26167,26440,26440,26440,26790,26790,26790,27140,27140,27140,27221,27221,27221,27132,27132,27132,26866,26866,26866,26650,26650,26650,26452,26452,26452,26212,26212,26212,25998,25998,25998,25638,25638,25638,25094,25094,25094,24763,24763,24763,24361,24361,24361,23926,23926,23926,23472,23472,23472,23113,23113,23113,22771,22771,22771,22365,22365,22365,22099,22099,22099
Demand,20068,20113,20149,20094,19988,19894,19825,19780,19715,19676,19618,19549,19494,19440,19397,19354,19309,19285,19234,19197,19176,19126,19091,19061,19008,19005,18966,18914,18881,18825,18796,18759,18731,18726,18708,18684,18682,18703,18720,18725,18730,18715,18726,18703,18684,18698,18730,18741,18759,18847,18964,19034,19082,19118,19134,19183,19243,19331,19405,19472,19569,19766,19982,20095,20191,20299,20368,20459,20609,20689,20767,20910,21055,21325,21604,21687,21752,21827,21882,21978,22013,22046,22117,22139,22207,22328,22503,22552,22622,22765,22833,22894,22840,22803,22730,22731,22666,22661,22648,22604,22567,22494,22361,22240,22066,21944,21875,21930,21873,21807,21665,21630,21533,21398,21307,21211,21126,21144,21079,20957,20913,20778,20812,20729,20641,20618,20546,20550,20542,20496,20390,20404,20365,20339,20293,20254,20157,20105,20034,19952,19961,19972,20004,19930,19956,19981,19939,19871,19869,19890,19837,19853,19943,19946,19973,20055,20068,20074,20156,20178,20186,20212,20228,20287,20324,20325,20351,20362,20365,20433,20562,20616,20693,20709,20730,20804,20878,20984,21080,21205,21309,21422,21571,21695,21872,22122,22160,22184,22223,22281,22392,22614,22648,22591,22848,23020,23181,23346,23527,23682,23924,23994,24091,24197,24306,24175,24266,24453,24574,24682,24778,24902,25049,25237,25285,25494,25565,25519,25561,25630,25657,25720,25804,25802,25866,25954,26053,26072,26145,26205,26267,26380,26469,26585,26708,26808,26965,27044,27128,27140,27112,27111,27122,27094,27036,27030,26963,26898,26793,26768,26655,26545,26488,26506,26486,26383,26322,26197,26087,25967,25861,25755,25618,25544,25389,25207,25116,25007,24818,24699,24536,24373,24232,24073,23950,23803,23645,23500,23363,23204,23045,22926,22804,22686,22546,22452,22335,22217,22060
Day-ahead net forecast,17325,17290,17290,17290,17290,17290,17290,17290,17290,17290,17290,17290,17290,16789,16789,16789,16789,16789,16789,16789,16789,16789,16789,16789,16789,16323,16323,16323,16323,16323,16323,16323,16323,16323,16323,16323,16323,16110,16110,16110,16110,16110,16110,16110,16110,16110,16110,16110,16110,16607,16607,16607,16607,16607,16607,16607,16607,16607,16607,16607,16607,17945,17945,17945,17945,17945,17945,17945,17945,17945,17945,17945,17945,19168,19168,19168,19168,19168,19168,19168,19168,19168,19168,19168,19168,15203,15203,15203,15203,15203,15203,15203,15203,15203,15203,15203,15203,9293,9293,9293,9293,9293,9293,9293,9293,9293,9293,9293,9293,6820,6820,6820,6820,6820,6820,6820,6820,6820,6820,6820,6820,5138,5138,5138,5138,5138,5138,5138,5138,5138,5138,5138,5138,3763,3763,3763,3763,3763,3763,3763,3763,3763,3763,3763,3763,3345,3345,3345,3345,3345,3345,3345,3345,3345,3345,3345,3345,3349,3349,3349,3349,3349,3349,3349,3349,3349,3349,3349,3349,3753,3753,3753,3753,3753,3753,3753,3753,3753,3753,3753,3753,4839,4839,4839,4839,4839,4839,4839,4839,4839,4839,4839,4839,6803,6803,6803,6803,6803,6803,6803,6803,6803,6803,6803,6803,10744,10744,10744,10744,10744,10744,10744,10744,10744,10744,10744,10744,17683,17683,17683,17683,17683,17683,17683,17683,17683,17683,17683,17683,21778,21778,21778,21778,21778,21778,21778,21778,21778,21778,21778,21778,21846,21846,21846,21846,21846,21846,21846,21846,21846,21846,21846,21846,20794,20794,20794,20794,20794,20794,20794,20794,20794,20794,20794,20794,19177,19177,19177,19177,19177,19177,19177,19177,19177,19177,19177,19177,17747,17747,17747,17747,17747,17747,17747,17747,17747,17747,17747,17747
Demand response event,Net demand,16878,16876,16965,16983,16927,16871,16797,16744,16714,16655,16597,16545,16437,16379,16419,16445,16470,16427,16406,16355,16361,16268,16169,16055,15898,15755,15641,15511,15377,15321,15286,15259,15229,15166,15077,15033,14996,14979,14984,15032,15033,14965,14908,14888,14934,14951,14950,14991,15052,15128,15212,15289,15335,15374,15331,15320,15302,15262,15219,15201,15187,15258,15478,15653,15822,15964,16048,16179,16360,16552,16687,16825,16984,17123,17401,17564,17603,17643,17698,17728,17728,17541,17253,16948,16532,16108,15828,15394,15165,14964,14367,14098,13753,13130,12352,11567,11022,10442,10125,9819,9441,9286,9443,8788,8348,8030,7811,7893,7780,7683,7594,7653,7615,7353,7055,6880,6843,6965,7091,6944,6876,6696,6658,6449,6338,6314,6512,6395,6041,5917,5967,5966,5979,5767,5461,5343,5218,5355,5389,5338,5158,5136,5033,4852,4703,4699,4753,4619,4736,4716,4458,4531,4516,4747,4476,4595,4676,5027,4699,4823,4761,4568,4269,4281,4276,4670,4696,4846,4849,4865,4589,5227,5775,5513,4968,4842,4548,4650,4887,5236,5378,5176,5358,6208,6633,6817,6703,6863,6914,7186,7641,7277,7633,7489,7583,7659,8144,8865,9175,8725,9206,9921,9667,9950,10223,10450,10649,11025,11004,11153,12120,12695,12840,13104,13464,14234,14890,15627,16322,16786,17132,17690,18172,18586,18988,19495,19902,20323,20679,20949,21059,21249,21348,21457,21614,21834,21966,22084,22198,22366,22412,22415,22469,22511,22438,22289,22260,22170,22077,22029,21965,21766,21623,21573,21550,21470,21482,21460,21429,21296,21179,20999,20856,20821,20807,20591,20464,20340,20140,19997,19964,19819,19727,19618,19472,19363,19158,18847,18701,18608,18534,18497,18429,18369,18275,18168,18141,17884,17723
