Net Demand 04/07/2022undefined,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour-ahead forecast,23310,23006,23006,23006,22712,22712,22712,22446,22446,22446,22186,22186,22186,21954,21954,21954,21697,21697,21697,21476,21476,21476,21346,21346,21346,21221,21221,21221,21057,21057,21057,20895,20895,20895,20813,20813,20813,20702,20702,20702,20653,20653,20653,20629,20629,20629,20716,20716,20716,20807,20807,20807,20917,20917,20917,21053,21053,21053,21376,21376,21376,21739,21739,21739,21986,21986,21986,22270,22270,22270,22920,22920,22920,23331,23331,23331,23539,23539,23539,23730,23730,23730,23951,23951,23951,24066,24066,24066,24042,24042,24042,23875,23875,23875,23759,23759,23759,23601,23601,23601,23220,23220,23220,23258,23258,23258,23046,23046,23046,22977,22977,22977,22954,22954,22954,22823,22823,22823,22802,22802,22802,22860,22860,22860,22716,22716,22716,22704,22704,22704,22724,22724,22724,22830,22830,22830,22878,22878,22878,23091,23091,23091,23336,23336,23336,23416,23416,23416,23590,23590,23590,23906,23906,23906,24206,24206,24206,24541,24541,24541,24966,24966,24966,25374,25374,25374,25658,25658,25658,26013,26013,26013,26306,26306,26306,26753,26753,26753,27433,27433,27433,27892,27892,27892,28404,28404,28404,28954,28954,28954,29283,29283,29283,29729,29729,29729,30255,30255,30255,30885,30885,30885,31246,31246,31246,31471,31471,31471,31852,31852,31852,32296,32296,32296,32379,32379,32379,32576,32576,32576,32769,32769,32769,32915,32915,32915,32876,32876,32876,32856,32856,32856,32946,32946,32946,32835,32835,32835,32637,32637,32637,32299,32299,32299,31832,31832,31832,31500,31500,31500,31116,31116,31116,30656,30656,30656,30306,30306,30306,29716,29716,29716,29006,29006,29006,28469,28469,28469,27871,27871,27871,27220,27220,27220,26446,26446,26446,25989,25989,25989,25461,25461,25461,24976,24976,24976,24630,24630,24630
Demand,23276,23276,23215,23086,23005,22942,22796,22718,22663,22574,22470,22375,22265,22172,22123,22029,21958,21890,21816,21761,21682,21600,21527,21490,21439,21303,21231,21171,21160,21088,21082,21009,20938,20928,20862,20808,20748,20748,20759,20771,20744,20705,20690,20661,20644,20655,20637,20615,20626,20675,20770,20814,20861,20852,20893,20936,20992,21034,21091,21136,21228,21424,21616,21719,21799,21836,21943,22053,22227,22212,22301,22415,22533,22757,23074,23226,23354,23450,23495,23563,23624,23648,23685,23724,23742,23882,24000,24043,24055,24033,24022,23959,23889,23841,23781,23711,23623,23592,23619,23615,23719,23685,23635,23500,23425,23384,23353,23260,23209,23220,23284,23235,23209,23154,23077,22997,23066,23018,23029,22987,22969,22886,22790,22759,22687,22778,22741,22741,22707,22752,22793,22762,22739,22755,22709,22764,22780,22824,22933,22985,23062,23053,23096,23131,23158,23216,23254,23335,23448,23507,23585,23651,23721,23804,23895,24027,24153,24264,24456,24529,24649,24769,24876,25003,25089,25185,25379,25493,25522,25681,25757,25880,26069,26353,26493,26626,26788,26942,27101,27254,27428,27547,27659,27826,28027,28265,28408,28582,28733,28901,29092,29304,29461,29527,29648,29830,30087,30269,30462,30660,30846,30987,31067,31222,31399,31321,31373,31513,31690,31892,32063,32202,32323,32460,32612,32762,32871,32681,32643,32746,32837,32874,32902,32874,32876,32886,32857,32783,32750,32754,32730,32705,32684,32670,32698,32724,32743,32759,32692,32676,32593,32450,32369,32313,32226,32098,31992,31868,31771,31634,31453,31338,31155,31067,30989,30815,30648,30517,30344,30151,30018,29840,29649,29460,29264,29003,28828,28624,28346,28173,27960,27629,27441,27292,27117,26950,26768,26541,26412,26205,26015,25795,25639,25501,25344,25184,25014,24850,
Day-ahead net forecast,22374,21127,21127,21127,21127,21127,21127,21127,21127,21127,21127,21127,21127,20338,20338,20338,20338,20338,20338,20338,20338,20338,20338,20338,20338,19893,19893,19893,19893,19893,19893,19893,19893,19893,19893,19893,19893,19574,19574,19574,19574,19574,19574,19574,19574,19574,19574,19574,19574,19834,19834,19834,19834,19834,19834,19834,19834,19834,19834,19834,19834,20745,20745,20745,20745,20745,20745,20745,20745,20745,20745,20745,20745,21889,21889,21889,21889,21889,21889,21889,21889,21889,21889,21889,21889,18685,18685,18685,18685,18685,18685,18685,18685,18685,18685,18685,18685,11497,11497,11497,11497,11497,11497,11497,11497,11497,11497,11497,11497,8252,8252,8252,8252,8252,8252,8252,8252,8252,8252,8252,8252,7077,7077,7077,7077,7077,7077,7077,7077,7077,7077,7077,7077,7055,7055,7055,7055,7055,7055,7055,7055,7055,7055,7055,7055,7648,7648,7648,7648,7648,7648,7648,7648,7648,7648,7648,7648,8783,8783,8783,8783,8783,8783,8783,8783,8783,8783,8783,8783,10636,10636,10636,10636,10636,10636,10636,10636,10636,10636,10636,10636,12923,12923,12923,12923,12923,12923,12923,12923,12923,12923,12923,12923,15609,15609,15609,15609,15609,15609,15609,15609,15609,15609,15609,15609,20321,20321,20321,20321,20321,20321,20321,20321,20321,20321,20321,20321,28173,28173,28173,28173,28173,28173,28173,28173,28173,28173,28173,28173,30720,30720,30720,30720,30720,30720,30720,30720,30720,30720,30720,30720,30378,30378,30378,30378,30378,30378,30378,30378,30378,30378,30378,30378,28776,28776,28776,28776,28776,28776,28776,28776,28776,28776,28776,28776,26529,26529,26529,26529,26529,26529,26529,26529,26529,26529,26529,26529,24334,24334,24334,24334,24334,24334,24334,24334,24334,24334,24334,24334
Demand response event,Net demand,21942,21826,21799,21663,21582,21520,21424,21301,21315,21287,21201,21128,21031,20919,20877,20814,20738,20689,20617,20567,20498,20424,20353,20304,20268,20167,20067,20058,20051,20007,20041,19985,19941,19901,19867,19797,19774,19757,19772,19796,19763,19748,19687,19658,19625,19643,19639,19621,19647,19704,19836,19882,19932,19931,19955,20015,20060,20118,20183,20250,20303,20462,20678,20786,20840,20907,20967,21079,21190,21283,21281,21384,21499,21664,21966,22168,22249,22350,22411,22448,22426,22374,22234,22040,21752,21458,21197,20801,20338,19774,19250,18680,18012,17432,16941,16344,15723,14895,14079,13508,12913,12582,12277,12036,11888,11687,11469,11234,10958,10779,10732,10676,10484,10362,10270,10178,10035,9980,9926,9868,9772,9626,9394,9334,9391,9492,9327,9153,9121,9061,9101,9160,9110,9052,9024,8999,8767,8583,8534,8507,8551,8461,8665,8869,8904,8979,9223,9202,9117,9168,9200,9225,9160,9091,9155,9326,9423,9750,9802,9862,9966,10092,10166,10130,10115,10232,10463,10622,10652,10747,10809,10860,11088,11314,11464,11531,11570,11659,11797,12008,12178,12309,12503,12757,13023,13436,13670,13760,13811,13986,14156,14636,15031,15213,15367,15703,16072,16307,16479,16608,16894,17247,17485,17687,18055,18303,18522,18989,19470,20002,20598,21237,21717,22349,22988,23698,24470,25013,25516,26200,26932,27612,28248,28803,29308,29796,30132,30415,30603,30827,30961,31107,31142,31171,31209,31257,31310,31316,31289,31305,31305,31214,31151,31075,31017,30874,30730,30576,30446,30316,30132,29975,29808,29652,29609,29422,29261,29098,28954,28774,28632,28458,28294,28061,27852,27590,27367,27153,26888,26642,26485,26216,25982,25895,25712,25559,25401,25214,25039,24857,24651,24404,24248,24110,23998,23875,23771,23613,
