Net Demand 04/20/2022undefined,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour-ahead forecast,22076,21875,21875,21875,21648,21648,21648,21405,21405,21405,21183,21183,21183,21041,21041,21041,20891,20891,20891,20675,20675,20675,20547,20547,20547,20429,20429,20429,20296,20296,20296,20211,20211,20211,20187,20187,20187,20164,20164,20164,20073,20073,20073,20079,20079,20079,20191,20191,20191,20320,20320,20320,20455,20455,20455,20633,20633,20633,20965,20965,20965,21323,21323,21323,21689,21689,21689,21960,21960,21960,22562,22562,22562,22965,22965,22965,23243,23243,23243,23286,23286,23286,23527,23527,23527,23710,23710,23710,23669,23669,23669,23423,23423,23423,23140,23140,23140,23121,23121,23121,22834,22834,22834,22655,22655,22655,22517,22517,22517,22050,22050,22050,21852,21852,21852,21604,21604,21604,21496,21496,21496,21234,21234,21234,20989,20989,20989,20695,20695,20695,20417,20417,20417,20118,20118,20118,19989,19989,19989,19796,19796,19796,19665,19665,19665,19533,19533,19533,19546,19546,19546,19553,19553,19553,19550,19550,19550,19656,19656,19656,19652,19652,19652,19645,19645,19645,19683,19683,19683,19772,19772,19772,19790,19790,19790,19884,19884,19884,19926,19926,19926,20098,20098,20098,20415,20415,20415,20657,20657,20657,20923,20923,20923,21307,21307,21307,21637,21637,21637,22005,22005,22005,22449,22449,22449,22855,22855,22855,23204,23204,23204,23669,23669,23669,23935,23935,23935,24359,24359,24359,24793,24793,24793,25174,25174,25174,25460,25460,25460,25848,25848,25848,26375,26375,26375,26724,26724,26724,26813,26813,26813,26790,26790,26790,26467,26467,26467,26125,26125,26125,25990,25990,25990,25787,25787,25787,25606,25606,25606,25268,25268,25268,24824,24824,24824,24452,24452,24452,24077,24077,24077,23612,23612,23612,23186,23186,23186,22873,22873,22873,22549,22549,22549,22137,22137,22137,21862,21862,21862
Demand,22110,22094,22016,21914,21886,21792,21687,21656,21543,21472,21404,21315,21233,21171,21129,21073,21023,20966,20888,20838,20750,20730,20652,20577,20521,20516,20475,20458,20401,20369,20340,20304,20294,20275,20258,20206,20185,20139,20106,20089,20111,20107,20071,20062,20105,20085,20100,20096,20090,20159,20294,20375,20398,20463,20484,20510,20563,20607,20656,20692,20791,21019,21198,21333,21409,21495,21598,21708,21858,21966,22040,22166,22279,22385,22662,22779,22848,22907,22959,23000,23089,23140,23194,23247,23286,23515,23594,23614,23585,23587,23532,23490,23440,23364,23359,23346,23273,23207,23237,23212,23232,23117,22971,23050,22979,22745,22504,22478,22359,22389,22320,22265,22104,22118,22121,22018,21922,21820,21698,21650,21581,21498,21440,21314,21189,21098,20969,20903,20839,20717,20638,20480,20400,20343,20317,20267,20166,20071,20018,19975,19912,19867,19808,19803,19765,19689,19692,19677,19628,19607,19594,19591,19600,19575,19593,19570,19539,19551,19557,19522,19510,19521,19522,19524,19547,19553,19560,19584,19537,19563,19569,19617,19688,19685,19674,19657,19673,19698,19760,19829,19871,19950,20046,20107,20138,20259,20316,20444,20488,20572,20680,20822,20866,20912,21001,21145,21315,21477,21656,21708,21883,21986,22110,22189,22314,22373,22528,22744,22915,23110,23302,23331,23448,23610,23808,23952,24089,24157,24229,24342,24504,24683,24847,24946,25070,25148,25255,25372,25543,25608,25688,25822,25940,26086,26154,26276,26411,26551,26591,26622,26666,26676,26541,26567,26497,26478,26442,26345,26289,26224,26146,26046,25967,25972,25986,25897,25830,25751,25620,25544,25423,25327,25211,25095,24946,24780,24583,24472,24350,24137,24059,23897,23779,23693,23544,23408,23297,23142,23007,22874,22642,22566,22460,22317,22235,22106,22031,21963,21811
Day-ahead net forecast,17185,16132,16132,16132,16132,16132,16132,16132,16132,16132,16132,16132,16132,15193,15193,15193,15193,15193,15193,15193,15193,15193,15193,15193,15193,14742,14742,14742,14742,14742,14742,14742,14742,14742,14742,14742,14742,14656,14656,14656,14656,14656,14656,14656,14656,14656,14656,14656,14656,15135,15135,15135,15135,15135,15135,15135,15135,15135,15135,15135,15135,16346,16346,16346,16346,16346,16346,16346,16346,16346,16346,16346,16346,17299,17299,17299,17299,17299,17299,17299,17299,17299,17299,17299,17299,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,13340,7376,7376,7376,7376,7376,7376,7376,7376,7376,7376,7376,7376,4728,4728,4728,4728,4728,4728,4728,4728,4728,4728,4728,4728,3069,3069,3069,3069,3069,3069,3069,3069,3069,3069,3069,3069,1789,1789,1789,1789,1789,1789,1789,1789,1789,1789,1789,1789,1087,1087,1087,1087,1087,1087,1087,1087,1087,1087,1087,1087,775,775,775,775,775,775,775,775,775,775,775,775,1122,1122,1122,1122,1122,1122,1122,1122,1122,1122,1122,1122,2436,2436,2436,2436,2436,2436,2436,2436,2436,2436,2436,2436,4738,4738,4738,4738,4738,4738,4738,4738,4738,4738,4738,4738,9231,9231,9231,9231,9231,9231,9231,9231,9231,9231,9231,9231,17512,17512,17512,17512,17512,17512,17512,17512,17512,17512,17512,17512,22301,22301,22301,22301,22301,22301,22301,22301,22301,22301,22301,22301,22834,22834,22834,22834,22834,22834,22834,22834,22834,22834,22834,22834,21898,21898,21898,21898,21898,21898,21898,21898,21898,21898,21898,21898,20299,20299,20299,20299,20299,20299,20299,20299,20299,20299,20299,20299,18671,18671,18671,18671,18671,18671,18671,18671,18671,18671,18671,18671
Demand response event,Net demand,18321,18371,18445,18354,18318,18261,18104,18052,17951,17888,17786,17700,17585,17507,17444,17328,17207,17075,16943,16862,16746,16611,16443,16422,16329,16186,16062,15974,15863,15766,15648,15605,15560,15453,15399,15320,15264,15108,14928,14894,14944,14957,14954,14916,14996,14968,14969,14982,14999,15030,15063,15230,15318,15393,15418,15469,15511,15611,15614,15680,15754,15937,16214,16361,16469,16566,16659,16767,16922,17025,17083,17230,17367,17478,17591,17796,17803,17763,17679,17519,17375,17125,16850,16502,16144,15924,15312,14935,14281,13767,13183,12620,12158,11524,11102,10815,10359,9435,9000,8575,8395,8020,7727,7659,7433,7072,6714,6601,6496,6289,6038,6036,5999,6037,6037,6037,6027,6022,5924,5745,5768,5623,5492,5341,5071,4936,4869,4749,4767,4677,4708,4651,4499,4310,4152,4187,4214,4221,4350,4307,4177,4043,4002,3990,3880,3583,3363,3356,3384,3495,3480,3507,3494,3423,3400,3372,3240,3213,3271,3200,3138,3127,3088,3067,3026,2909,2931,2975,3097,2989,2842,2988,3224,3295,3292,3245,3145,3308,3450,3581,3585,3379,3286,3200,3017,3416,3508,3752,3904,4029,4010,4188,4469,4884,5140,5401,5562,5572,5917,5963,6050,6278,6110,6070,6412,6606,6805,7271,7622,7644,7872,8263,8871,9566,10304,11097,11885,12695,13400,14201,14988,15840,16595,17231,17899,18554,19167,19761,20324,20754,21196,21628,21904,22152,22295,22444,22577,22658,22632,22625,22622,22641,22706,22631,22589,22531,22496,22397,22252,22160,22097,22025,21853,21761,21781,21755,21689,21629,21511,21336,21179,21001,20886,20786,20687,20543,20368,20170,19952,19805,19641,19535,19400,19306,19179,18963,18820,18688,18540,18415,18228,18110,18007,17867,17723,17690,17612,17543,17416
