Net Demand 04/06/2022undefined,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour-ahead forecast,22229,21983,21983,21983,21734,21734,21734,21480,21480,21480,21257,21257,21257,21080,21080,21080,20910,20910,20910,20697,20697,20697,20625,20625,20625,20507,20507,20507,20374,20374,20374,20289,20289,20289,20309,20309,20309,20274,20274,20274,20259,20259,20259,20245,20245,20245,20399,20399,20399,20521,20521,20521,20670,20670,20670,20827,20827,20827,21177,21177,21177,21535,21535,21535,21843,21843,21843,22177,22177,22177,22771,22771,22771,23291,23291,23291,23574,23574,23574,23732,23732,23732,24016,24016,24016,24062,24062,24062,23900,23900,23900,23860,23860,23860,23860,23860,23860,23548,23548,23548,23324,23324,23324,23084,23084,23084,22845,22845,22845,22556,22556,22556,22262,22262,22262,22045,22045,22045,21781,21781,21781,21558,21558,21558,21306,21306,21306,21291,21291,21291,21297,21297,21297,21297,21297,21297,21363,21363,21363,21244,21244,21244,21388,21388,21388,21420,21420,21420,21431,21431,21431,21503,21503,21503,21724,21724,21724,21894,21894,21894,22140,22140,22140,22421,22421,22421,22660,22660,22660,23022,23022,23022,23316,23316,23316,23645,23645,23645,24028,24028,24028,24373,24373,24373,24836,24836,24836,25137,25137,25137,25496,25496,25496,25856,25856,25856,26326,26326,26326,26978,26978,26978,27213,27213,27213,27482,27482,27482,27849,27849,27849,28317,28317,28317,28626,28626,28626,29028,29028,29028,29358,29358,29358,29636,29636,29636,29623,29623,29623,29721,29721,29721,29896,29896,29896,29961,29961,29961,29784,29784,29784,29577,29577,29577,29332,29332,29332,28989,28989,28989,28682,28682,28682,28374,28374,28374,28023,28023,28023,27584,27584,27584,27014,27014,27014,26497,26497,26497,26083,26083,26083,25508,25508,25508,24988,24988,24988,24534,24534,24534,24071,24071,24071,23661,23661,23661,23308,23308,23308
Demand,22195,22227,22144,22057,21994,21874,21805,21733,21645,21580,21453,21392,21343,21291,21282,21210,21123,21064,20995,20964,20888,20848,20752,20701,20672,20641,20668,20618,20572,20544,20518,20510,20504,20440,20409,20397,20370,20402,20391,20373,20336,20335,20324,20345,20337,20342,20319,20370,20371,20488,20581,20597,20672,20699,20701,20746,20812,20848,20916,20949,20981,21089,21325,21498,21611,21682,21731,21865,21945,22043,22158,22273,22432,22669,22974,23132,23284,23362,23431,23549,23623,23704,23719,23702,23582,23832,23941,24018,24077,24072,24038,24034,24011,23969,23894,23833,23753,23729,23789,23730,23663,23584,23409,23335,23261,23151,23046,22906,22797,22727,22691,22596,22601,22488,22286,22251,22128,22082,21983,21908,21694,21535,21580,21613,21582,21528,21520,21477,21386,21393,21326,21342,21302,21261,21261,21260,21220,21210,21235,21232,21250,21233,21229,21266,21257,21201,21270,21245,21242,21270,21328,21367,21435,21469,21516,21550,21608,21694,21707,21837,21933,21973,22065,22165,22234,22310,22454,22515,22614,22639,22824,22860,22978,23123,23190,23327,23368,23506,23661,23723,23858,23981,24444,24217,24342,24488,24629,24767,24883,25009,25165,25327,25507,25519,25634,25838,26083,26221,26400,26507,26587,26754,26931,27098,27269,27357,27317,27406,27617,27829,27976,28125,28361,28564,28747,28941,29053,29073,29148,29263,29375,29488,29496,29487,29593,29591,29591,29607,29521,29538,29558,29590,29582,29626,29671,29780,29818,29785,29824,29875,29840,29817,29774,29671,29602,29504,29419,29322,29191,29086,28992,28885,28749,28706,28775,28674,28557,28424,28317,28159,27988,27846,27644,27468,27268,27107,26974,26775,26575,26418,26244,26078,25922,25687,25523,25374,25187,25004,24799,24619,24481,24329,24215,24051,23905,23734,23591,23437,
Day-ahead net forecast,18321,17757,17757,17757,17757,17757,17757,17757,17757,17757,17757,17757,17757,17714,17714,17714,17714,17714,17714,17714,17714,17714,17714,17714,17714,17429,17429,17429,17429,17429,17429,17429,17429,17429,17429,17429,17429,17689,17689,17689,17689,17689,17689,17689,17689,17689,17689,17689,17689,18380,18380,18380,18380,18380,18380,18380,18380,18380,18380,18380,18380,19806,19806,19806,19806,19806,19806,19806,19806,19806,19806,19806,19806,21423,21423,21423,21423,21423,21423,21423,21423,21423,21423,21423,21423,18182,18182,18182,18182,18182,18182,18182,18182,18182,18182,18182,18182,10956,10956,10956,10956,10956,10956,10956,10956,10956,10956,10956,10956,6853,6853,6853,6853,6853,6853,6853,6853,6853,6853,6853,6853,5069,5069,5069,5069,5069,5069,5069,5069,5069,5069,5069,5069,4440,4440,4440,4440,4440,4440,4440,4440,4440,4440,4440,4440,4777,4777,4777,4777,4777,4777,4777,4777,4777,4777,4777,4777,5615,5615,5615,5615,5615,5615,5615,5615,5615,5615,5615,5615,6890,6890,6890,6890,6890,6890,6890,6890,6890,6890,6890,6890,8603,8603,8603,8603,8603,8603,8603,8603,8603,8603,8603,8603,11065,11065,11065,11065,11065,11065,11065,11065,11065,11065,11065,11065,16058,16058,16058,16058,16058,16058,16058,16058,16058,16058,16058,16058,24417,24417,24417,24417,24417,24417,24417,24417,24417,24417,24417,24417,27387,27387,27387,27387,27387,27387,27387,27387,27387,27387,27387,27387,27176,27176,27176,27176,27176,27176,27176,27176,27176,27176,27176,27176,26050,26050,26050,26050,26050,26050,26050,26050,26050,26050,26050,26050,24154,24154,24154,24154,24154,24154,24154,24154,24154,24154,24154,24154,22374,22374,22374,22374,22374,22374,22374,22374,22374,22374,22374,22374
Demand response event,Net demand,18446,18361,18355,18306,18306,18229,18149,18074,17973,17942,17865,17857,17869,17902,17956,17974,17931,17902,17890,17884,17875,17875,17884,17877,17955,17900,17995,18026,18074,18141,18235,18321,18424,18421,18434,18489,18486,18537,18568,18577,18582,18633,18674,18717,18726,18737,18755,18792,18857,18944,19023,19103,19182,19281,19325,19362,19418,19471,19527,19608,19635,19672,19871,20144,20254,20402,20473,20593,20707,20776,20916,21002,21125,21276,21564,21760,21866,21965,22006,22046,22077,22017,21891,21645,21116,20860,20617,20052,19557,18963,18287,17610,17005,16416,15934,15420,14792,13857,13206,12622,12090,11620,11226,10697,10400,9852,9772,9505,9274,8904,8746,8568,8354,8281,8143,8257,8426,8350,8281,8328,8316,7578,7356,7400,7349,7326,7393,7424,7383,7289,7148,7126,7125,6666,6613,6636,6505,6395,6343,6339,6406,6507,6422,6493,6598,6548,6468,6371,6331,6371,6381,6341,6367,6410,6397,6516,6593,6600,6563,6687,6755,6771,6889,6915,7010,7052,7087,7206,7346,7321,7410,7536,7638,7719,7809,7896,8055,8149,8461,8525,8671,8851,9217,9656,9497,9522,9707,9907,10061,10241,10488,10656,11013,11264,11460,11682,11998,12247,12557,12736,12865,13129,13306,13652,14003,14275,14551,14758,15362,15865,16314,16853,17465,18113,18852,19551,20508,21215,21625,22240,22950,23551,24346,24857,25412,25865,26187,26615,26803,27095,27307,27479,27557,27616,27733,27826,27896,27826,27827,27849,27796,27684,27595,27496,27396,27319,27237,27135,27018,26895,26817,26730,26598,26563,26629,26634,26587,26533,26490,26431,26267,26152,25993,25801,25612,25495,25372,25259,25096,24930,24756,24593,24491,24394,24162,24125,24014,23826,23688,23467,23260,23072,22903,22709,22554,22393,22256,22093,
