Net Demand 04/23/2022undefined,00:00,00:05,00:10,00:15,00:20,00:25,00:30,00:35,00:40,00:45,00:50,00:55,01:00,01:05,01:10,01:15,01:20,01:25,01:30,01:35,01:40,01:45,01:50,01:55,02:00,02:05,02:10,02:15,02:20,02:25,02:30,02:35,02:40,02:45,02:50,02:55,03:00,03:05,03:10,03:15,03:20,03:25,03:30,03:35,03:40,03:45,03:50,03:55,04:00,04:05,04:10,04:15,04:20,04:25,04:30,04:35,04:40,04:45,04:50,04:55,05:00,05:05,05:10,05:15,05:20,05:25,05:30,05:35,05:40,05:45,05:50,05:55,06:00,06:05,06:10,06:15,06:20,06:25,06:30,06:35,06:40,06:45,06:50,06:55,07:00,07:05,07:10,07:15,07:20,07:25,07:30,07:35,07:40,07:45,07:50,07:55,08:00,08:05,08:10,08:15,08:20,08:25,08:30,08:35,08:40,08:45,08:50,08:55,09:00,09:05,09:10,09:15,09:20,09:25,09:30,09:35,09:40,09:45,09:50,09:55,10:00,10:05,10:10,10:15,10:20,10:25,10:30,10:35,10:40,10:45,10:50,10:55,11:00,11:05,11:10,11:15,11:20,11:25,11:30,11:35,11:40,11:45,11:50,11:55,12:00,12:05,12:10,12:15,12:20,12:25,12:30,12:35,12:40,12:45,12:50,12:55,13:00,13:05,13:10,13:15,13:20,13:25,13:30,13:35,13:40,13:45,13:50,13:55,14:00,14:05,14:10,14:15,14:20,14:25,14:30,14:35,14:40,14:45,14:50,14:55,15:00,15:05,15:10,15:15,15:20,15:25,15:30,15:35,15:40,15:45,15:50,15:55,16:00,16:05,16:10,16:15,16:20,16:25,16:30,16:35,16:40,16:45,16:50,16:55,17:00,17:05,17:10,17:15,17:20,17:25,17:30,17:35,17:40,17:45,17:50,17:55,18:00,18:05,18:10,18:15,18:20,18:25,18:30,18:35,18:40,18:45,18:50,18:55,19:00,19:05,19:10,19:15,19:20,19:25,19:30,19:35,19:40,19:45,19:50,19:55,20:00,20:05,20:10,20:15,20:20,20:25,20:30,20:35,20:40,20:45,20:50,20:55,21:00,21:05,21:10,21:15,21:20,21:25,21:30,21:35,21:40,21:45,21:50,21:55,22:00,22:05,22:10,22:15,22:20,22:25,22:30,22:35,22:40,22:45,22:50,22:55,23:00,23:05,23:10,23:15,23:20,23:25,23:30,23:35,23:40,23:45,23:50,23:55,00:00
Hour-ahead forecast,21552,21358,21358,21358,21231,21231,21231,20988,20988,20988,20832,20832,20832,20647,20647,20647,20441,20441,20441,20283,20283,20283,20116,20116,20116,20021,20021,20021,19900,19900,19900,19756,19756,19756,19696,19696,19696,19636,19636,19636,19576,19576,19576,19534,19534,19534,19585,19585,19585,19624,19624,19624,19628,19628,19628,19673,19673,19673,19836,19836,19836,19965,19965,19965,20087,20087,20087,20188,20188,20188,20446,20446,20446,20558,20558,20558,20431,20431,20431,20338,20338,20338,20421,20421,20421,20393,20393,20393,20181,20181,20181,19803,19803,19803,19669,19669,19669,19410,19410,19410,18898,18898,18898,18547,18547,18547,18460,18460,18460,18034,18034,18034,17712,17712,17712,17342,17342,17342,16998,16998,16998,16695,16695,16695,16369,16369,16369,16034,16034,16034,15771,15771,15771,15634,15634,15634,15514,15514,15514,15359,15359,15359,15160,15160,15160,15058,15058,15058,15066,15066,15066,15069,15069,15069,15062,15062,15062,15134,15134,15134,15170,15170,15170,15136,15136,15136,15189,15189,15189,15311,15311,15311,15422,15422,15422,15644,15644,15644,15816,15816,15816,16078,16078,16078,16342,16342,16342,16696,16696,16696,17051,17051,17051,17508,17508,17508,17831,17831,17831,18407,18407,18407,18912,18912,18912,19438,19438,19438,19956,19956,19956,20388,20388,20388,20736,20736,20736,21293,21293,21293,21807,21807,21807,22273,22273,22273,22647,22647,22647,23062,23062,23062,23570,23570,23570,24020,24020,24020,24180,24180,24180,24262,24262,24262,24114,24114,24114,23899,23899,23899,23872,23872,23872,23792,23792,23792,23694,23694,23694,23379,23379,23379,23021,23021,23021,22789,22789,22789,22434,22434,22434,22102,22102,22102,21876,21876,21876,21540,21540,21540,21298,21298,21298,21038,21038,21038,20826,20826,20826
Demand,21564,21560,21614,21538,21514,21404,21332,21279,21216,21123,21058,20964,20911,20788,20754,20751,20692,20609,20510,20457,20423,20371,20325,20259,20210,20189,20145,20098,20067,19970,19931,19892,19860,19820,19789,19759,19737,19753,19768,19725,19688,19675,19647,19644,19622,19599,19607,19588,19588,19581,19612,19652,19640,19662,19657,19688,19715,19713,19716,19764,19803,19856,19987,20038,20067,20082,20122,20169,20213,20268,20315,20391,20438,20526,20630,20634,20617,20572,20524,20496,20483,20458,20454,20385,20361,20403,20400,20337,20301,20204,20127,20072,19957,19843,19778,19652,19580,19480,19531,19404,19281,19197,19074,19025,18881,18782,18619,18512,18438,18404,18307,18145,18054,17924,17789,17687,17544,17417,17284,17189,17051,16992,16898,16764,16452,16597,16471,16235,16270,16193,15990,16057,15968,15697,15811,15749,15654,15609,15551,15481,15401,15332,15313,15279,15199,15158,15123,15119,15086,15059,15026,15024,15026,15069,15072,15085,15026,15023,15023,14985,14962,14967,14971,14973,14982,15007,15027,15059,15058,15040,15103,15204,15203,15265,15293,15348,15419,15513,15549,15625,15611,15682,15756,15875,15988,16090,16152,16270,16449,16552,16677,16783,16908,16961,17047,17141,17374,17591,17745,17934,18085,18240,18445,18623,18752,18828,18949,19116,19335,19544,19650,19804,20002,20212,20407,20606,20792,20883,21139,21345,21535,21697,21859,22041,22168,22328,22459,22561,22620,22798,22963,23104,23232,23324,23420,23538,23663,23830,23920,23981,24055,24113,24097,24098,24106,24103,24096,24054,24011,23953,23918,23882,23829,23843,23872,23828,23783,23709,23668,23594,23533,23432,23324,23233,23140,22977,22906,22829,22728,22621,22519,22421,22342,22266,22157,22049,21955,21848,21815,21710,21612,21514,21405,21293,21245,21130,21031,20955,20850
Day-ahead net forecast,17139,16287,16287,16287,16287,16287,16287,16287,16287,16287,16287,16287,16287,15658,15658,15658,15658,15658,15658,15658,15658,15658,15658,15658,15658,15353,15353,15353,15353,15353,15353,15353,15353,15353,15353,15353,15353,15343,15343,15343,15343,15343,15343,15343,15343,15343,15343,15343,15343,15682,15682,15682,15682,15682,15682,15682,15682,15682,15682,15682,15682,16272,16272,16272,16272,16272,16272,16272,16272,16272,16272,16272,16272,16077,16077,16077,16077,16077,16077,16077,16077,16077,16077,16077,16077,10945,10945,10945,10945,10945,10945,10945,10945,10945,10945,10945,10945,5330,5330,5330,5330,5330,5330,5330,5330,5330,5330,5330,5330,2406,2406,2406,2406,2406,2406,2406,2406,2406,2406,2406,2406,517,517,517,517,517,517,517,517,517,517,517,517,-560,-560,-560,-560,-560,-560,-560,-560,-560,-560,-560,-560,-1039,-1039,-1039,-1039,-1039,-1039,-1039,-1039,-1039,-1039,-1039,-1039,-1193,-1193,-1193,-1193,-1193,-1193,-1193,-1193,-1193,-1193,-1193,-1193,-866,-866,-866,-866,-866,-866,-866,-866,-866,-866,-866,-866,21,21,21,21,21,21,21,21,21,21,21,21,1954,1954,1954,1954,1954,1954,1954,1954,1954,1954,1954,1954,6231,6231,6231,6231,6231,6231,6231,6231,6231,6231,6231,6231,14668,14668,14668,14668,14668,14668,14668,14668,14668,14668,14668,14668,19613,19613,19613,19613,19613,19613,19613,19613,19613,19613,19613,19613,20666,20666,20666,20666,20666,20666,20666,20666,20666,20666,20666,20666,20371,20371,20371,20371,20371,20371,20371,20371,20371,20371,20371,20371,19484,19484,19484,19484,19484,19484,19484,19484,19484,19484,19484,19484,18578,18578,18578,18578,18578,18578,18578,18578,18578,18578,18578,18578
Demand response event,Net demand,16271,16188,16253,16199,16161,16090,15998,15938,15895,15852,15810,15738,15698,15581,15499,15486,15483,15386,15363,15305,15294,15226,15248,15188,15166,15114,15089,15066,15065,14974,14923,14880,14866,14816,14805,14782,14825,14836,14891,14886,14912,14942,14945,14993,15024,15007,15061,15111,15173,15207,15301,15346,15363,15392,15414,15445,15534,15582,15609,15648,15658,15686,15805,15876,15934,16013,16057,16125,16218,16309,16404,16485,16574,16648,16819,16865,16850,16811,16622,16423,16232,15896,15523,15018,14451,13807,13310,12743,12109,11489,10822,10242,9642,9433,9156,8703,8081,7179,6383,6004,5456,5116,4889,4806,5017,5199,5284,4991,4671,4709,4680,4574,4348,4255,4148,4023,3931,3782,3751,3782,3710,3742,3795,3669,3331,3272,3365,3218,3178,3276,3291,3140,3193,2696,2572,2656,2798,2891,2971,2954,2972,2971,3061,3135,3149,3141,3159,3135,3083,3008,2937,2804,2591,2670,2698,2651,2683,2824,3029,3141,3104,3065,3109,2974,2797,2784,2898,2855,2946,2775,2639,2544,2627,2791,2681,2478,2423,2545,2718,3056,3105,2824,2759,2867,2986,2959,3030,3070,3085,3250,3344,3561,3911,4050,4158,4151,4374,4380,4453,4448,4475,4623,4524,4516,4811,4911,4984,5339,5790,5692,5730,6283,6639,6850,7340,8057,8796,9592,10359,11118,11940,12672,13385,14133,14827,15501,16179,16777,17328,17739,18241,18659,19013,19250,19443,19641,19842,20057,20240,20341,20428,20445,20473,20463,20476,20479,20478,20491,20455,20460,20386,20403,20375,20368,20400,20411,20371,20355,20338,20278,20217,20193,20155,20134,20122,20042,20017,19957,19883,19817,19764,19682,19644,19588,19468,19389,19396,19300,19246,19133,19008,18905,18786,18702,18656,18595,18469,18362,18254
